strain,angular_velocity_head_tip_w_backward_IQR_medianDiff_all,angular_velocity_head_tip_w_backward_abs_10th_medianDiff_all,angular_velocity_head_tip_w_backward_abs_50th_medianDiff_all,d_angular_velocity_head_tip_w_backward_10th_medianDiff_all,d_angular_velocity_head_tip_w_backward_90th_medianDiff_all,d_angular_velocity_head_tip_w_backward_IQR_medianDiff_all,d_angular_velocity_head_tip_w_backward_abs_10th_medianDiff_all,d_angular_velocity_head_tip_w_backward_abs_50th_medianDiff_all,d_relative_to_head_base_angular_velocity_head_tip__medianDiff_all,d_relative_to_head_base_radial_velocity_head_tip_w_medianDiff_all,d_relative_to_neck_radial_velocity_head_tip_w_back_medianDiff_all,relative_to_body_radial_velocity_hips_w_backward_5_medianDiff_all,relative_to_body_radial_velocity_neck_w_forward_50_medianDiff_all,relative_to_head_base_angular_velocity_head_tip_w__medianDiff_all,relative_to_head_base_radial_velocity_head_tip_w_b_medianDiff_all,relative_to_neck_radial_velocity_head_tip_w_backwa_medianDiff_all
JU561,-0.1655,-0.022782,-0.083648,0.4644,-0.14717,-0.73265,-0.083548,-0.382,-0.46163,-4.1282,5.1083,0.69025,0.14172,-0.12623,-0.64143,1.537
JU642,-0.47491,-0.05487,-0.23546,1.0584,-0.91921,-1.6573,-0.19746,-0.82743,-0.78798,-7.004,7.4287,0.63652,0.011601,-0.12814,-1.1193,0.70979
JU751,-0.67129,-0.044992,-0.3319,1.0497,-2.0123,-2.4421,-0.33337,-1.2238,-1.0005,3.0123,5.5048,0.70041,-0.0026529,-0.087727,0.17554,-0.092871
JU774,-0.40076,-0.054964,-0.19824,1.0231,-0.92168,-1.3806,-0.14845,-0.6986,-0.61836,-7.292,8.1594,0.57431,0.011865,-0.13618,-1.0943,1.3556
JU775,-0.022035,-0.0056074,-0.0092815,0.44743,-0.58127,-0.9926,-0.11269,-0.49876,-0.64041,-9.7773,-1.0985,0.55107,0.50181,-0.050094,-2.0188,0.16025
JU778,-0.19848,-0.03071,-0.090842,0.89727,-0.68933,-1.0136,-0.083148,-0.50665,-0.50254,-4.4771,4.5971,0.44983,0.12098,-0.11299,-0.50377,-0.010063
JU782,-0.11838,-0.012107,-0.057047,0.24075,0.013005,-0.6826,-0.080751,-0.34037,-0.24531,-6.6514,-0.21588,0.54863,0.36713,-0.037547,-1.2665,0.65066
JU792,-0.33939,-0.044925,-0.16953,1.2184,-0.94579,-1.5512,-0.1673,-0.78864,-0.7642,-3.0141,0.78327,0.52841,0.52601,-0.10059,-0.59708,0.80277
JU830,-0.076994,-0.0053928,-0.036742,-0.17908,0.10287,-0.75234,-0.14834,-0.37441,-0.32511,-1.9835,4.2846,0.46136,0.33589,-0.083918,-0.20628,1.1602
JU847,-0.28019,-0.034311,-0.13827,1.0451,-0.99315,-1.8412,-0.19439,-0.9157,-0.52024,-6.0434,6.5596,0.607,0.093942,-0.10818,-1.1116,0.12363
KR314,-0.052434,-0.015654,-0.02637,-0.35277,0.49482,-0.033987,-0.051003,-0.0043516,-0.09395,-4.2813,-0.19775,0.34326,0.40183,-0.0025115,-0.8946,-0.31643
LKC34,-0.2859,-0.032311,-0.14419,0.67948,-0.65153,-1.0949,-0.12406,-0.54012,-0.4601,-7.656,4.1504,0.47945,0.31564,-0.099551,-1.4838,0.48056
LSJ1,-0.17193,-0.020055,-0.08609,0.55512,-0.16565,-0.74496,-0.13672,-0.3774,-0.12593,-2.6268,2.756,-0.086776,0.22499,-0.058723,-0.67979,0.47494
MY1,0.07034,0.0096074,0.036975,0.13712,0.070431,-0.32953,-0.063736,-0.1627,-0.36215,-2.1773,-2.3228,0.65539,0.40655,-0.0071476,-0.49599,0.65345
MY10,-0.10334,-0.030225,-0.054187,0.20006,-0.12097,-0.8061,-0.11139,-0.402,-0.16589,-8.099,3.3676,0.7047,0.12484,-0.068251,-2.2527,0.9667
MY16,-0.33881,-0.033595,-0.1627,0.54128,-0.6621,-0.71705,-0.12157,-0.35929,-0.47688,-2.7509,4.9417,0.70977,0.16509,-0.1247,-0.51682,0.55701
MY18,-0.69361,-0.08505,-0.33319,1.5603,-1.314,-2.2752,-0.18637,-1.1228,-0.63473,-12.104,19.8502,0.36108,0.049122,-0.26397,-2.0473,1.8148
MY2212,-0.16496,-0.010628,-0.079236,0.64478,-1.282,-1.3615,-0.14352,-0.65875,-0.63531,-11.7093,1.8409,0.59204,0.57457,-0.073095,-2.1216,0.79165
MY23,-0.44406,-0.04941,-0.21084,1.1141,-1.165,-2.0262,-0.24836,-1.0196,-0.93217,-9.0089,5.6974,0.84415,0.41584,-0.13367,-1.6959,1.71
MY2453,0.0025165,-0.0059785,-0.0023147,0.79301,-0.71212,-0.7871,-0.083717,-0.38671,-0.56352,-4.7405,-1.4933,0.65376,-0.022441,-0.071596,-0.82976,0.31079
MY2530,-0.19241,-0.017784,-0.092752,0.55095,-0.29216,-0.87493,-0.11254,-0.45057,-0.29546,-4.519,2.4959,0.13504,0.37959,-0.053842,-0.90736,0.47386
MY2535,-0.22661,-0.0077756,-0.11437,0.68549,-0.72785,-0.84924,-0.093574,-0.41984,-0.62957,-7.0076,5.2527,0.68037,0.27875,-0.095269,-1.3405,0.82373
MY2573,-0.25075,-0.036995,-0.12295,0.78192,-1.0203,-1.2777,-0.13634,-0.63995,-0.55091,-6.4385,0.044464,0.27633,0.49352,-0.07669,-1.4353,0.81496
MY2693,-0.205,-0.02771,-0.096977,0.55737,-0.31709,-0.43439,-0.10339,-0.21868,-0.056984,-4.2,3.7184,0.28866,0.10072,0.021805,-0.52466,0.13213
MY2741,-0.23369,-0.02581,-0.11062,0.41367,-0.75258,-1.1416,-0.12603,-0.56885,-0.63185,-8.3283,7.6768,0.62279,0.20212,-0.1278,-1.6129,1.2049
MY679,0.05394,0.006921,0.034592,0.3449,-0.13372,-0.39748,-0.057899,-0.19987,0.16808,-3.5921,-2.3096,0.20223,0.12878,0.053072,-0.80496,1.2122
MY920,-0.30202,-0.033389,-0.15129,1.2117,-1.2571,-1.9819,-0.18599,-0.99004,-0.58214,-4.6443,2.1769,0.36587,0.1463,-0.075666,-0.79977,0.7837
N2,0.071076,0.0049655,0.035699,-0.31631,0.30996,0.3176,0.026142,0.15944,0.22493,-0.37232,-1.0585,0.12855,0.075524,0.03765,-0.13709,0.049119
NIC1,-0.32736,-0.037578,-0.16332,0.91988,-0.94447,-1.225,-0.13935,-0.60796,-0.61338,-5.3897,3.6084,0.41984,0.070699,-0.14245,-0.99978,1.2644
NIC1107,-0.32413,-0.0285,-0.15919,0.6906,-0.72051,-1.2702,-0.12687,-0.63976,-0.77271,-3.0077,0.11588,-0.036762,0.092194,-0.13333,-0.54363,0.79937
NIC166,-0.27249,-0.023347,-0.13506,0.86166,-0.94678,-1.4119,-0.12682,-0.7064,-0.58553,-5.4501,3.7137,0.23491,0.28392,-0.12985,-1.0838,0.69546
NIC195,-0.53529,-0.059019,-0.26858,0.74037,-1.3392,-2.0797,-0.24099,-1.0358,-0.74723,-5.1554,9.3702,0.57557,0.23681,-0.20269,-0.96032,2.2484
NIC199,-0.26202,-0.034146,-0.13209,0.63872,-0.97225,-1.4306,-0.16925,-0.71676,-0.61456,-8.7214,4.8575,0.68334,0.28682,-0.09608,-1.5848,1.5776
NIC2,-0.40156,-0.053721,-0.19905,0.83606,-0.87953,-1.7424,-0.18155,-0.8708,-0.65505,-3.1015,6.891,0.75688,0.053062,-0.11302,-0.53822,1.8003
NIC207,-0.40181,-0.053687,-0.20214,0.92722,-0.47079,-1.6105,-0.17166,-0.80247,-0.76236,-4.4412,7.1016,0.51019,0.25719,-0.16316,-0.82984,0.67755
NIC231,-0.43877,-0.034857,-0.21657,0.82075,-0.99393,-1.4849,-0.12911,-0.75632,-0.55434,-0.51645,11.386,-0.059868,0.12671,-0.13833,-0.0090685,0.33241
NIC236,-0.18075,-0.033924,-0.087122,1.0896,-1.0958,-1.6077,-0.16556,-0.7998,-0.60042,-7.3862,1.3905,0.6238,0.2812,-0.048158,-1.412,0.52188
NIC242,-0.30309,-0.042382,-0.14753,1.0587,-0.56397,-1.2912,-0.14582,-0.63478,-0.56603,-6.1323,4.3074,0.65866,0.47273,-0.1058,-1.3488,0.88184
NIC251,-0.33663,-0.026188,-0.16692,0.47935,-0.53209,-1.2827,-0.15702,-0.63276,-0.41489,-0.67308,7.1352,0.9595,-0.12494,-0.1,0.13127,2.0943
NIC252,-0.76118,-0.06431,-0.37986,2.6672,-2.6241,-2.815,-0.24628,-1.4092,-1.2139,-6.3817,9.7308,0.26808,0.33845,-0.26157,-1.0356,0.69486
NIC255,-0.40454,-0.044036,-0.20349,0.78506,-0.9667,-1.6163,-0.13831,-0.81964,-0.72855,-2.2942,6.782,0.23204,0.14831,-0.15776,-0.35569,1.5901
NIC256,-0.37692,-0.042729,-0.18875,1.1067,-1.2432,-1.6107,-0.17529,-0.80075,-0.75188,-4.7386,4.6012,0.23072,0.14335,-0.16022,-0.73556,1.0484
NIC258,-0.029728,-0.0070185,-0.012569,-0.11223,-0.063391,-0.066841,-0.0288,-0.029502,-0.012292,0.31612,2.541,0.12462,-0.0016895,-0.025936,-0.07937,0.54073
NIC259,-0.66044,-0.056845,-0.32854,1.3712,-1.3913,-1.9291,-0.17778,-0.97463,-0.86672,-8.9003,6.7702,-0.078491,0.10333,-0.25699,-1.6935,0.90481
NIC260,0.065937,-0.013001,0.03745,-0.13129,-0.02596,-0.44287,-0.088752,-0.22035,-0.046699,-1.1107,-4.4152,0.54709,0.29563,0.060745,-0.070748,0.45507
NIC261,-0.3632,-0.043928,-0.1818,0.92875,-0.6007,-1.2657,-0.1527,-0.64452,-0.5154,-10.7783,6.3954,0.70469,0.72559,-0.13434,-1.8521,1.5855
NIC262,-0.31103,-0.033213,-0.15686,1.2121,-1.3724,-1.8908,-0.17897,-0.95209,-0.9318,-7.3914,2.6336,0.32397,0.00045967,-0.12608,-1.3888,-0.27295
NIC265,-0.044311,-0.01159,-0.019608,0.42787,-0.66892,-0.49087,-0.059508,-0.23743,-0.38996,-6.8122,0.64284,0.73179,0.40502,-0.07534,-1.3458,0.39307
NIC266,-0.054116,-0.0077107,-0.024633,0.41018,-0.49955,-0.8604,-0.10984,-0.42865,-0.34519,-7.7716,0.26244,0.41274,0.3916,-0.0032244,-1.3941,0.55836
NIC267,-0.22218,-0.045364,-0.11433,-0.016652,-0.38356,-0.66946,-0.096099,-0.33479,-0.25549,-10.5786,11.3776,0.36984,0.19766,-0.11058,-2.1111,1.9287
NIC268,-0.61238,-0.043202,-0.30838,1.8462,-1.2441,-2.5141,-0.2329,-1.2533,-0.80898,-6.259,12.0529,0.80964,0.2126,-0.24217,-1.0909,1.1129
NIC269,-0.31786,-0.05191,-0.1576,1.3502,-1.1979,-1.3418,-0.14385,-0.67232,-0.41473,-5.3134,6.229,0.80863,0.084018,-0.14094,-0.99633,0.24122
NIC271,-0.063458,-0.018336,-0.031603,0.49758,-0.56777,-1.2565,-0.1319,-0.62308,-0.60682,-11.0824,0.70201,1.1904,0.60153,-0.053365,-2.1361,1.3064
NIC272,0.14732,0.0058296,0.069516,-0.136,-0.043211,-0.56995,-0.069617,-0.28748,-0.41798,-3.8826,0.83784,0.43205,0.38018,0.039022,-0.60262,0.29507
NIC274,-0.4687,-0.03351,-0.24141,0.71492,-0.58527,-1.0564,-0.12107,-0.5275,-0.49366,-3.2494,4.907,0.41688,0.22102,-0.14233,-0.56423,0.81653
NIC275,-0.092715,-0.012376,-0.045348,0.61891,-0.3363,-0.75257,-0.05519,-0.37633,-0.39926,-3.1638,0.076019,0.38543,0.35841,-0.038202,-0.61918,0.71653
NIC276,0.0076768,-0.0072444,0.0046648,0.37217,-0.32303,-1.3287,-0.12467,-0.67198,-0.50172,-8.4041,-0.25838,0.66948,0.17196,0.010638,-1.9908,0.99613
NIC277,-0.47422,-0.042696,-0.23858,1.1463,-1.1053,-1.9758,-0.20393,-0.99376,-0.79928,-10.3802,9.6881,0.65583,0.28597,-0.19648,-1.9018,1.35
NIC3,-0.27308,-0.017731,-0.11761,0.64993,-0.60519,-1.0099,-0.080465,-0.50686,-0.48012,-3.5357,2.7611,0.4677,0.25962,-0.1045,-0.65927,0.6119
NIC513,-0.31847,-0.042414,-0.16128,0.90973,-0.53521,-1.3028,-0.12952,-0.66956,-0.50038,-7.2573,6.9517,0.34521,0.29742,-0.15909,-0.85119,0.096863
NIC514,-0.19417,-0.038699,-0.096988,0.21482,-0.23724,-0.97047,-0.11891,-0.48536,-0.44421,-4.0577,3.9831,0.30992,0.32979,-0.085956,-0.94771,1.1185
NIC522,-0.066869,-0.021398,-0.033598,0.80673,-0.66001,-0.83245,-0.11495,-0.42892,-0.60995,-10.1774,0.78307,0.33267,0.14196,-0.082973,-1.9852,0.31173
NIC523,-0.076283,-0.0070184,-0.038797,-0.013098,0.0013399,-0.10827,-0.044942,-0.061433,-0.1132,-4.8213,2.3334,0.16573,0.264,-0.039556,-0.95061,0.97747
PB303,-0.10194,0.0025512,-0.049664,0.081368,-0.3468,-0.79746,-0.069597,-0.40046,-0.4315,-1.2843,-1.5073,0.66423,0.34141,-0.0084822,-0.17463,0.35954
PS2025,-0.22306,-0.02167,-0.11069,0.90961,-0.98844,-1.486,-0.12345,-0.80802,-0.2241,-6.6282,2.0268,0.30168,0.33963,-0.075282,-1.1741,0.52862
PX179,-0.19811,-0.026141,-0.0928,0.6232,-0.81143,-1.2024,-0.16193,-0.59886,-0.70176,-6.643,5.5093,0.69581,0.38356,-0.088323,-1.542,1.3666
QG2075,-0.11668,-0.018322,-0.056629,0.85866,-0.88958,-1.2519,-0.12455,-0.62719,-0.48905,-8.2537,5.186,0.47766,0.26186,-0.067421,-1.3383,1.3471
QG536,-0.53856,-0.053887,-0.23482,1.345,-1.1611,-1.9868,-0.24432,-0.99359,-0.91134,-9.5578,13.0333,0.77217,0.18976,-0.21985,-1.7431,1.0144
QG556,-0.25677,-0.039135,-0.13095,0.60009,-0.43187,-0.86582,-0.10842,-0.42983,-0.1611,-6.1401,4.2193,0.30798,0.36095,-0.043965,-1.3141,0.83061
QG557,-0.42251,-0.044875,-0.21071,1.2186,-1.0861,-1.8507,-0.24647,-0.927,-0.66702,-6.1973,9.3026,0.21251,0.43188,-0.20836,-1.2034,1.0219
QW947,-0.36203,-0.049359,-0.18084,0.81536,-0.8914,-1.573,-0.21384,-0.78112,-0.75382,-4.9459,7.0543,0.49917,0.20276,-0.13484,-0.77411,1.3671
QX1212,0.036744,0.0085223,0.016716,-0.038527,-0.14688,-0.39706,-0.052148,-0.19311,-0.23904,-2.4704,-1.8052,0.43747,0.39142,0.024094,-0.33898,0.22164
QX1233,-0.13671,0.0013583,-0.06203,-0.33452,0.050652,-0.33159,-0.035273,-0.16302,-0.18665,0.75286,4.9555,0.43877,0.23342,-0.05499,0.080741,0.87127
QX1791,-0.16586,-0.030594,-0.085139,0.81539,-0.93326,-0.97738,-0.14534,-0.49509,-0.56571,-4.9047,1.2187,0.27903,0.21295,-0.087417,-1.0481,0.7241
QX1792,-0.34557,-0.043316,-0.17025,1.0504,-1.5471,-1.6015,-0.1841,-0.80101,-0.65224,-2.2875,5.5247,0.43056,0.0622,-0.12216,-0.6915,0.8369
QX1793,0.034834,-0.0009703,0.016622,0.5478,-0.7738,-0.94817,-0.077993,-0.47519,-0.73733,-9.5459,0.81725,0.80774,0.35655,-0.12295,-2.109,0.34857
QX1794,0.002852,0.0078086,0.0034528,0.091984,0.031208,-0.57495,-0.035148,-0.2837,-0.39557,-3.3248,0.91793,0.18404,0.44888,0.0032231,-0.71283,0.46111
RC301,-0.26519,-0.019657,-0.13742,0.53545,-0.60134,-1.0807,-0.11012,-0.54202,-0.50408,-3.6267,3.0924,0.7312,0.037751,-0.066762,-0.65219,0.67979
WN2001,-0.36271,-0.072815,-0.17982,1.683,-1.4135,-1.6427,-0.15355,-0.81647,-0.84533,-9.6196,6.7655,0.88339,0.49469,-0.16238,-1.9433,2.0499
WN2002,-0.43349,-0.036648,-0.21973,1.4147,-1.1211,-1.6631,-0.15434,-0.83653,-0.84835,-6.3635,3.9099,0.5693,0.46528,-0.16211,-1.1137,1.0861
WN2033,-0.24558,-0.018191,-0.12311,0.87955,-0.98481,-1.3955,-0.13,-0.69772,-0.56794,-2.6359,3.3183,0.30396,0.10896,-0.060163,-0.45979,0.9471
XZ1513,0.1323,0.0078168,0.074409,0.30505,-0.22248,-0.56463,-0.085777,-0.28712,-0.117,-3.526,-3.7106,0.13272,0.64537,0.058894,-0.38391,-0.37912
XZ1514,0.12309,0.028482,0.060666,-0.50029,0.73749,0.13222,0.018683,0.069636,0.34892,2.6934,-0.37312,0.1975,0.17288,0.071666,0.45278,-0.14854
XZ1516,-0.13351,-0.011392,-0.067272,0.51375,-0.32844,-0.22337,-0.071772,-0.11305,-0.23902,-5.3359,4.5219,0.52099,0.29316,-0.027627,-1.6601,0.71832
