strain,angular_velocity_head_tip_w_backward_IQR_medianDiff_all,angular_velocity_head_tip_w_backward_abs_10th_medianDiff_all,angular_velocity_head_tip_w_backward_abs_50th_medianDiff_all,d_angular_velocity_head_tip_w_backward_10th_medianDiff_all,d_angular_velocity_head_tip_w_backward_90th_medianDiff_all,d_angular_velocity_head_tip_w_backward_IQR_medianDiff_all,d_angular_velocity_head_tip_w_backward_abs_10th_medianDiff_all,d_angular_velocity_head_tip_w_backward_abs_50th_medianDiff_all,d_relative_to_head_base_angular_velocity_head_tip__medianDiff_all,d_relative_to_head_base_radial_velocity_head_tip_w_medianDiff_all,d_relative_to_neck_radial_velocity_head_tip_w_back_medianDiff_all,relative_to_body_radial_velocity_hips_w_backward_5_medianDiff_all,relative_to_body_radial_velocity_neck_w_forward_50_medianDiff_all,relative_to_head_base_angular_velocity_head_tip_w__medianDiff_all,relative_to_head_base_radial_velocity_head_tip_w_b_medianDiff_all,relative_to_neck_radial_velocity_head_tip_w_backwa_medianDiff_all
ED3005,0.11074,0.011053,0.057023,0.022103,-0.16164,-0.73436,-0.068627,-0.3704,-0.43961,-2.3323,-1.6227,0.29088,0.20722,0.0030591,-0.44404,0.55433
ED3011,-0.3165,-0.045233,-0.15828,0.88804,-1.0667,-1.6808,-0.167,-0.8376,-0.81229,-3.5712,6.3143,0.65612,0.37289,-0.11895,-0.73292,1.8627
ED3012,-0.11235,-0.026133,-0.055985,0.39296,-0.54711,-0.74984,-0.090499,-0.37665,-0.39353,-8.4679,3.8235,0.24377,0.27723,-0.069343,-1.4769,0.14316
ED3017,-0.26716,-0.013424,-0.13483,1.3665,-1.698,-1.695,-0.13278,-0.83503,-0.84082,-6.871,6.511,0.88106,0.006242,-0.12376,-1.3494,1.487
ED3040,-0.31133,-0.05303,-0.14912,0.79974,-0.70475,-1.5119,-0.16691,-0.76188,-0.75234,-6.9183,4.8719,0.46267,0.23892,-0.11214,-1.4993,0.97901
ED3046,-0.065644,-0.0099317,-0.030536,0.52229,-0.44289,-0.58799,-0.037894,-0.29431,-0.11043,-3.5627,1.9902,0.084188,0.28146,-0.055463,-0.98718,0.55966
ED3048,-0.1106,-0.0094129,-0.054964,0.88994,-0.88798,-1.1302,-0.11336,-0.57073,-0.48869,-7.4483,2.8993,0.59194,0.062634,-0.029201,-1.4686,1.1433
ED3049,-0.13613,-0.022484,-0.066867,0.87917,-0.7425,-1.0581,-0.12207,-0.52753,-0.29879,-8.1755,3.2143,0.30452,0.16868,-0.064532,-1.5208,0.71773
ED3052,-0.14542,-0.029893,-0.069737,1.0077,-1.134,-1.417,-0.14487,-0.71965,-0.83019,-7.5172,3.9864,0.90746,0.41666,-0.091205,-1.2313,1.2888
ED3073,-0.19551,-0.030848,-0.096527,0.60188,-0.47723,-0.6014,-0.099695,-0.30814,-0.18218,-2.3822,1.671,0.5338,0.24258,-0.010618,-0.40222,0.918
ED3077,-0.3325,-0.03415,-0.1653,1.1415,-0.96487,-1.6947,-0.1472,-0.84753,-0.4811,-5.96,3.8354,0.50123,-0.015737,-0.15918,-1.1309,0.02882
EG4347,-0.35591,-0.034724,-0.17345,0.88152,-0.91804,-1.2709,-0.12362,-0.63915,-0.38773,-6.6765,4.5624,0.42035,0.39891,-0.12234,-1.2072,1.0281
EG4349,-0.013188,-0.0072149,-0.0041364,0.38075,-0.45874,-0.61462,-0.099427,-0.31237,-0.21805,-5.146,-2.7033,0.59921,0.41449,0.028437,-1.2082,0.76619
EG4724,-0.21227,-0.032244,-0.10451,0.13953,-0.048954,-0.42364,-0.081316,-0.21508,0.044459,-3.1333,4.0236,0.18322,0.21336,-0.05733,-0.39646,0.88557
EG4725,-0.19898,-0.016669,-0.10028,0.67845,-0.72367,-1.0118,-0.075655,-0.50528,-0.16103,-6.1471,2.3802,0.63552,0.21589,-0.040646,-1.1729,0.69522
EG4946,-0.12447,-0.0051307,-0.060765,0.47548,-0.45386,-0.70497,-0.051372,-0.35429,-0.4276,-7.2288,1.6321,0.42827,0.3682,-0.051772,-1.9286,1.6346
GXW1,-0.13647,-0.020939,-0.066937,1.4081,-1.2555,-1.4957,-0.15062,-0.74427,-0.5552,-6.8401,-0.091261,0.74754,0.37752,-0.072972,-1.1675,1.1182
JT11398,-0.054696,-0.016785,-0.028583,0.25874,-0.17091,-0.50163,-0.0616,-0.25006,-0.31683,-7.2299,3.3826,0.42566,0.35199,-0.064927,-1.3892,0.83032
JU1088,-0.26197,-0.025919,-0.12668,1.1805,-1.0048,-1.2387,-0.13528,-0.62211,-0.55702,-3.816,4.7432,0.4783,0.19643,-0.098807,-0.58207,1.2897
JU1172,-0.58475,-0.060935,-0.29277,1.7661,-1.7025,-2.297,-0.22561,-1.1541,-0.91541,-11.5088,4.1191,0.77919,0.28113,-0.23154,-2.1343,1.3055
JU1200,-0.063606,-0.011672,-0.032578,0.41315,-0.25749,-0.72254,-0.073535,-0.36717,-0.26696,-1.3565,2.539,0.49485,0.15931,-0.058281,-0.48345,1.0199
JU1212,-0.15851,-0.010426,-0.077228,0.91058,-1.0537,-1.2408,-0.08172,-0.64373,-0.78361,-6.6357,5.156,0.47039,0.45428,-0.13107,-1.1244,0.81244
JU1213,-0.47187,-0.040394,-0.23562,1.7142,-1.5614,-2.391,-0.23006,-1.2009,-0.88529,-8.5713,5.3062,0.68596,0.35878,-0.21483,-1.6489,1.3773
JU1242,-0.029792,-0.0070422,-0.021138,-0.095336,-0.16459,-0.55309,-0.051947,-0.27699,-0.32232,-6.2326,-0.13185,0.7464,0.41927,0.014749,-1.5191,1.0879
JU1246,-0.39761,-0.051377,-0.19091,0.95996,-0.88577,-1.1776,-0.14594,-0.58758,-0.65455,-7.9486,10.2736,-0.093973,0.13857,-0.14235,-1.5167,0.30068
JU1395,-0.078852,-0.010602,-0.042836,0.0065336,-0.2799,-0.27185,-0.050303,-0.14538,0.011092,-0.98845,2.8579,0.26409,0.31159,-0.0059525,-0.37364,0.5405
JU1400,-0.23621,-0.029052,-0.11514,0.61264,-0.61313,-0.646,-0.087874,-0.324,-0.29832,-2.0265,1.239,0.69737,-0.086688,-0.029274,-0.46524,0.73578
JU1409,-0.67804,-0.061364,-0.33736,2.3389,-2.1975,-3.1357,-0.26104,-1.5759,-1.1497,-10.2815,9.7974,0.14266,0.35861,-0.19911,-2.0166,0.84556
