trait	variance explained
curvature_mean_tail_w_backward_abs_IQR	0.083211
curvature_tail_w_backward_abs_90th	0.073979
d_curvature_std_head_abs_90th	0.079347
d_curvature_std_head_abs_IQR	0.08335
d_curvature_std_tail_w_forward_abs_90th	0.1032
d_major_axis_w_backward_10th	0.10755
d_path_curvature_midbody_abs_90th	0.01294
d_relative_to_body_radial_velocity_tail_tip_w_forward_10th	0.084602
d_relative_to_body_radial_velocity_tail_tip_w_forward_90th	0.081862
d_relative_to_head_base_radial_velocity_head_tip_50th	0.00027135
d_relative_to_head_base_radial_velocity_head_tip_w_backward_10th	0.022121
d_relative_to_neck_radial_velocity_head_tip_w_forward_90th	0.049351
d_speed_head_tip_50th	0.036939
length_w_backward_10th	0.030251
minor_axis_10th	0.14921
minor_axis_w_forward_10th	0.14465
minor_axis_w_forward_90th	0.095514
motion_mode_forward_fraction	0.11676
motion_mode_paused_fraction	0.12949
path_coverage_head	0.11295
quirkiness_50th	0.093983
relative_to_body_radial_velocity_tail_tip_w_backward_10th	0.1671
relative_to_head_base_radial_velocity_head_tip_10th	0.0015013
relative_to_head_base_radial_velocity_head_tip_50th	0.1205
relative_to_head_base_radial_velocity_head_tip_w_backward_90th	0.15201
relative_to_head_base_radial_velocity_head_tip_w_forward_10th	0.0015621
relative_to_head_base_radial_velocity_head_tip_w_forward_90th	0.0010381
relative_to_head_base_radial_velocity_head_tip_w_forward_IQR	0.0013036
relative_to_hips_radial_velocity_tail_tip_50th	0.12904
relative_to_neck_radial_velocity_head_tip_w_forward_10th	0.11327
relative_to_neck_radial_velocity_head_tip_w_forward_90th	0.051788
relative_to_neck_radial_velocity_head_tip_w_forward_IQR	0.046038
relative_to_tail_base_radial_velocity_tail_tip_50th	0.10138
relative_to_tail_base_radial_velocity_tail_tip_w_backward_90th	0.084774
speed_hips_w_backward_90th	0.068112
speed_tail_base_w_backward_90th	0.068278
width_midbody_w_backward_10th	0.087064
