width_head_base_w_forward_50th 
speed_tail_base_w_backward_90th 
speed_hips_w_backward_90th 
speed_head_tip_10th 
rel_to_body_radial_vel_tail_tip_w_backward_10th 
rel_to_body_radial_vel_hips_w_forward_90th 
motion_mode_backward_duration_50th 
d_width_head_base_w_forward_IQR 
d_width_head_base_IQR 
d_speed_head_tip_w_forward_50th 
d_rel_to_tail_base_ang_vel_tail_tip_w_forward_abs_90th 
d_rel_to_hips_radial_vel_tail_tip_50th 
d_rel_to_body_radial_vel_tail_tip_w_forward_IQR 
d_rel_to_body_radial_vel_tail_tip_w_forward_90th 
d_rel_to_body_radial_vel_tail_tip_w_forward_10th 
d_rel_to_body_radial_vel_tail_tip_w_backward_50th 
d_rel_to_body_radial_vel_tail_tip_w_backward_10th 
d_rel_to_body_radial_vel_neck_w_forward_90th 
d_rel_to_body_radial_vel_neck_w_forward_10th 
d_rel_to_body_ang_vel_tail_tip_abs_10th 
d_rel_to_body_ang_vel_neck_w_backward_abs_10th 
d_rel_to_body_ang_vel_hips_w_forward_abs_10th 
d_path_curvature_midbody_abs_90th 
d_major_axis_w_backward_10th 
d_major_axis_50th 
d_curvature_std_neck_w_backward_abs_50th 
d_curvature_std_neck_w_backward_abs_10th 
d_curvature_std_midbody_w_backward_abs_10th 
d_curvature_std_hips_w_backward_abs_IQR 
d_curvature_neck_w_backward_abs_10th 
d_curvature_midbody_w_backward_abs_10th 
d_curvature_mean_tail_w_forward_abs_10th 
d_curvature_mean_neck_w_forward_abs_IQR 
d_curvature_mean_neck_w_backward_abs_10th 
d_curvature_mean_midbody_abs_90th 
d_curvature_mean_hips_w_backward_abs_90th 
d_curvature_mean_hips_abs_90th 
d_curvature_mean_head_w_forward_abs_50th 
d_curvature_mean_head_w_forward_abs_10th 
d_curvature_hips_w_backward_abs_10th 
d_curvature_hips_abs_90th 
d_curvature_head_w_forward_abs_10th 
d_ang_vel_tail_base_w_backward_abs_50th 
d_ang_vel_neck_w_forward_abs_10th 
d_ang_vel_midbody_w_backward_abs_50th 
d_ang_vel_head_base_w_forward_abs_90th 
d_ang_vel_abs_10th 
curvature_tail_w_forward_abs_10th 
curvature_mean_tail_abs_90th 
ang_vel_head_base_w_forward_abs_50th 
ang_vel_head_base_w_forward_abs_10th 
ang_vel_head_base_abs_50th 
ang_vel_abs_IQR 
