strain,d_speed_head_base_w_backward_10th_medianDiff_all,d_speed_head_base_w_backward_50th_medianDiff_all,d_speed_head_base_w_backward_90th_medianDiff_all,d_speed_head_base_w_backward_IQR_medianDiff_all,d_speed_head_tip_w_backward_10th_medianDiff_all,d_speed_head_tip_w_backward_90th_medianDiff_all,d_speed_head_tip_w_backward_IQR_medianDiff_all,d_speed_hips_w_backward_50th_medianDiff_all,d_speed_hips_w_backward_IQR_medianDiff_all,d_speed_midbody_w_backward_10th_medianDiff_all,d_speed_midbody_w_backward_50th_medianDiff_all,d_speed_midbody_w_backward_IQR_medianDiff_all,d_speed_neck_w_backward_10th_medianDiff_all,d_speed_neck_w_backward_50th_medianDiff_all,d_speed_neck_w_backward_90th_medianDiff_all,d_speed_neck_w_backward_IQR_medianDiff_all,d_speed_tail_base_w_backward_50th_medianDiff_all,d_speed_tail_tip_w_backward_50th_medianDiff_all,d_speed_w_backward_50th_medianDiff_all,d_speed_w_backward_IQR_medianDiff_all,speed_head_base_norm_10th_medianDiff_all,speed_head_tip_10th_medianDiff_all,speed_head_tip_norm_10th_medianDiff_all,speed_hips_norm_10th_medianDiff_all,speed_midbody_norm_10th_medianDiff_all,speed_neck_norm_10th_medianDiff_all,speed_norm_10th_medianDiff_all,speed_tail_base_10th_medianDiff_all,speed_tail_base_norm_10th_medianDiff_all,speed_tail_tip_10th_medianDiff_all,speed_tail_tip_norm_10th_medianDiff_all
JU1530,63.2146,-11.4192,-65.2849,-74.9914,66.8576,-115.0834,-106.4141,-13.1229,-20.0468,26.4497,-12.5181,-38.4785,57.4258,-11.018,-64.9027,-71.2132,-11.0463,-8.2193,-11.7185,-43.1923,-0.004883,-4.3589,-0.005734,-0.0098105,-0.0060865,-0.0059075,-0.0053536,-7.9318,-0.010325,-11.0208,-0.012112
JU1543,-11.7437,-10.2338,10.3581,3.985,-3.1922,-45.302,-2.0485,-8.2551,-4.7633,-10.6116,-9.1047,4.9203,-7.7695,-6.6156,15.4885,3.6641,-5.4322,-6.2238,-8.5551,2.093,-0.026099,-37.2962,-0.033922,-0.031355,-0.026875,-0.02497,-0.024704,-33.4398,-0.034,-39.1847,-0.039922
JU1568,-14.0728,-3.1154,31.3952,19.3126,-35.8648,68.7651,10.549,-2.5048,40.1935,-35.0593,-2.2757,33.5849,-19.9684,-3.9546,32.1461,21.9111,-2.5161,-2.107,-2.9033,33.9045,-0.039634,-34.6541,-0.045578,-0.041224,-0.040172,-0.040806,-0.037762,-32.5283,-0.043523,-35.3652,-0.049856
JU1580,38.0135,-9.7568,-84.422,-44.8794,32.862,-170.379,-61.4293,-8.5919,-50.3018,35.1462,-9.7913,-45.649,39.757,-10.5159,-86.7137,-59.6839,-8.0928,-7.2141,-9.6481,-48.4275,-0.024458,-43.402,-0.050857,-0.021177,-0.019885,-0.021304,-0.018387,-19.8457,-0.022861,-21.0505,-0.02428
JU1581,140.2659,-21.3456,-111.2972,-132.0236,170.4722,-275.0404,-159.799,-24.2251,-113.2823,102.7306,-21.6758,-106.4343,119.2057,-20.9316,-98.7003,-119.2693,-24.3831,-22.9682,-20.3458,-99.476,-0.071963,-95.5196,-0.101,-0.072138,-0.066785,-0.070848,-0.059574,-72.0084,-0.076596,-78.1584,-0.08713
JU1586,117.6907,-19.6178,-89.499,-122.4268,108.8658,-156.4416,-144.2235,-20.9713,-96.3877,88.2364,-22.1078,-107.2155,104.6192,-20.4289,-90.3987,-119.4661,-21.5797,-19.2969,-21.8618,-107.034,-0.043596,-37.2398,-0.049468,-0.051588,-0.046918,-0.046913,-0.043174,-41.2262,-0.054197,-43.1416,-0.056974
JU1652,29.6933,-7.9218,-48.7777,-29.9812,22.7503,-139.169,-27.2825,-6.1775,-26.2832,16.9545,-8.7063,-32.4797,18.5055,-6.0398,-44.847,-29.9155,-4.6211,-4.5659,-7.8265,-29.096,-0.032672,-46.0786,-0.05293,-0.018916,-0.019306,-0.025207,-0.018472,-17.1763,-0.019702,-21.8094,-0.024882
JU1793,43.4253,-14.0754,-67.398,-56.3103,74.7036,-177.7338,-79.0751,-10.8602,-48.3255,31.4798,-10.8673,-46.9205,39.3297,-14.2007,-62.1514,-58.0425,-10.7702,-9.9982,-9.5872,-37.6611,-0.019503,-43.2795,-0.052993,-0.01625,-0.0135,-0.015087,-0.012356,-14.9094,-0.018398,-18.3946,-0.022818
JU1808,34.758,-13.579,-39.5519,-53.3944,78.3713,-248.6353,-83.8117,-10.7507,-27.2827,28.0133,-10.3688,-27.7116,31.0398,-11.893,-29.8051,-41.5061,-11.7418,-11.3825,-11.6801,-34.1276,-0.041033,-45.949,-0.050332,-0.03965,-0.038003,-0.037858,-0.034931,-40.0819,-0.043387,-47.404,-0.050949
JU1896,97.0188,-17.3168,-59.7459,-69.7943,98.5485,-157.7897,-109.3128,-13.5533,-52.7448,83.2776,-16.4274,-56.4009,87.6151,-18.5964,-54.1098,-65.8288,-15.3076,-11.6839,-16.1981,-40.938,-0.011934,-15.7152,-0.016197,-0.014403,-0.012283,-0.011701,-0.01137,-13.954,-0.016425,-16.0522,-0.019124
JU2001,103.3962,-12.5115,-91.6646,-93.276,96.0722,-207.1519,-100.7014,-17.9714,-77.174,83.6099,-16.3337,-74.2794,101.5979,-10.4044,-86.0379,-89.9744,-18.0424,-18.7008,-17.8432,-71.9128,-0.014208,-18.5996,-0.023432,-0.016602,-0.013497,-0.01423,-0.011176,-10.8313,-0.018408,-11.1716,-0.019897
JU2007,3.1281,-2.7175,-54.212,-60.1919,30.8151,-84.2515,-104.2274,-5.2905,19.5376,-30.5491,-7.2334,-12.0753,-8.0811,-5.9398,-39.2631,-39.1069,-2.9395,1.503,-7.0124,-11.6519,-0.027912,-40.1175,-0.036361,-0.036222,-0.03233,-0.030848,-0.029992,-35.0094,-0.038128,-38.8277,-0.043234
JU2131,22.38,-1.434,-60.8325,-15.6888,31.4073,-70.1294,-21.946,-1.1601,-26.9743,21.9312,0.73852,-12.1229,19.1262,0.090185,-48.2904,-6.0204,0.56241,2.3721,0.64725,-13.5212,0.012092,11.4231,0.01752,0.0088479,0.010756,0.012185,0.011166,5.4067,0.0079945,2.9794,0.0042445
JU2141,34.4912,-5.6964,-33.7115,-28.3858,58.5945,-114.6165,-114.2564,-2.4231,5.2206,27.5048,-3.7307,-11.2215,28.2185,-5.4984,-14.6969,-18.7499,-1.5301,0.68349,-4.9561,-12.171,0.0016804,0.54403,-0.0010543,0.00084597,0.00088206,0.00088385,0.0011897,0.68656,-5.8964e-05,-0.1302,-0.0010441
JU2234,-5.6855,-2.6277,19.4023,-30.213,7.9882,-76.1396,-35.7191,-4.1857,12.2253,-23.1865,-4.6833,9.1237,-13.8834,-3.8851,34.2959,-14.3604,-3.033,-4.0878,-4.9745,9.7447,-0.038995,-33.9652,-0.048061,-0.023819,-0.022421,-0.028696,-0.020264,-19.4395,-0.025065,-23.2319,-0.030145
JU2464,34.119,-4.6575,-47.6478,-45.4489,44.6577,-91.4057,-69.0529,-5.7581,-31.11,30.2144,-4.8972,-38.9394,35.9684,-7.2022,-46.3103,-43.9281,-6.2936,-5.1232,-4.4481,-40.0658,-0.01739,-6.2489,-0.015848,-0.017638,-0.013619,-0.015633,-0.011396,-11.7771,-0.021199,-16.6703,-0.027998
JU2466,55.7168,-1.5722,-66.7698,-60.2976,39.3298,-73.1967,-74.4717,-6.3963,-19.0328,34.9817,-6.7036,-37.9493,44.7975,-5.0165,-64.3508,-51.8355,-6.7706,-4.9776,-6.187,-35.7172,0.008456,12.792,0.0068352,0.010223,0.0078136,0.0078977,0.0063856,12.7212,0.010092,8.5167,0.0088225
JU2513,82.0638,-21.3253,-91.5138,-108.9963,95.7155,-169.1817,-156.4655,-21.0393,-88.6809,65.786,-22.6752,-96.3655,76.8864,-22.1236,-85.5208,-102.6869,-20.359,-18.468,-20.4304,-100.3205,-0.024465,-23.0853,-0.030887,-0.031556,-0.02781,-0.026781,-0.025332,-26.7614,-0.033894,-32.7574,-0.039104
JU2519,46.8936,-8.6548,-44.9901,-24.0819,42.8413,-49.2012,-37.587,1.3378,-3.2868,33.68,-1.6166,-13.8344,43.2894,-5.925,-42.052,-25.9825,3.2686,0.97783,-1.8436,-22.8335,-0.015669,-17.3331,-0.024357,-0.01557,-0.013361,-0.014973,-0.012593,-14.9742,-0.017763,-18.1972,-0.021689
JU2522,68.7816,-11.2142,-94.4315,-65.3281,76.9688,-187.8032,-70.3553,-6.1289,-30.157,64.5123,-6.1434,-37.1507,72.687,-10.4108,-91.5025,-60.6422,-5.2054,-4.0807,-6.7321,-34.8501,-0.021112,-36.4657,-0.045646,-0.020937,-0.018212,-0.019051,-0.017279,-18.3604,-0.022905,-19.9911,-0.025029
JU2526,95.6771,-12.2046,-76.3777,-88.0511,96.7272,-129.213,-121.4502,-13.822,-62.5728,69.0395,-12.8769,-51.9016,83.592,-10.3954,-81.9998,-73.7041,-15.1442,-12.6773,-13.4539,-53.4419,-0.068429,-99.2819,-0.10912,-0.051565,-0.050439,-0.058252,-0.04734,-52.2167,-0.05368,-58.0366,-0.059338
JU2534,59.994,-1.7246,-89.6084,-57.9554,33.7647,-196.6584,-53.452,-1.8132,-27.8826,44.1954,-2.5223,-40.6253,53.1951,-1.8034,-71.6555,-62.0174,-1.5938,-0.01812,-3.2655,-43.8965,-0.022687,-27.0074,-0.034275,-0.027564,-0.023287,-0.023063,-0.02167,-23.8505,-0.029919,-27.6065,-0.03264
JU2565,34.1117,-6.7252,-43.4627,-46.6444,39.4249,-156.6432,-49.2329,-8.4154,-41.3691,33.6068,-7.2772,-42.0889,35.675,-7.3716,-39.8042,-35.7156,-7.6613,-6.5736,-7.4692,-41.5607,0.0029104,6.324,0.0074703,0.0052496,0.003981,0.0027536,0.0036716,3.1873,0.0059174,3.9173,0.0069753
JU2566,78.3273,-10.4033,-68.2468,-71.4344,37.5474,-161.8043,-55.4943,-7.782,-54.5559,54.4181,-6.7449,-62.4729,70.8297,-9.5727,-59.5594,-70.5739,-7.5505,-5.4391,-7.1817,-64.5168,-0.021667,-32.8742,-0.034661,-0.025461,-0.021522,-0.02081,-0.02004,-25.4142,-0.02804,-29.9899,-0.033354
JU2578,116.918,-20.0494,-103.2684,-113.6111,94.0621,-210.6773,-128.0294,-23.1914,-101.5307,97.8844,-21.5435,-102.4165,102.3911,-22.4669,-98.5653,-108.0035,-22.1622,-21.7036,-19.6299,-114.7682,0.011795,15.7059,0.016532,0.0049248,0.008866,0.010753,0.008997,3.4847,0.0020184,-1.4702,-1.2331e-05
JU258,21.1436,-15.7523,-28.9205,-50.4428,31.2188,-155.7361,-77.5564,-14.4761,-28.8521,7.8315,-14.613,-30.0404,15.0785,-13.9139,-18.2217,-42.044,-14.0702,-11.1799,-13.8745,-36.8341,-0.041828,-57.6727,-0.073424,-0.040084,-0.036422,-0.038511,-0.03346,-36.5016,-0.042985,-42.6943,-0.048362
JU2587,22.871,-5.82,7.2296,-27.6512,34.6847,-65.6317,-62.4693,-4.9065,37.8815,-17.1615,-4.2975,11.9337,5.6625,-4.9664,14.8853,-8.1165,-3.9339,-1.1498,-3.7304,2.8849,-0.027869,-22.1769,-0.025374,-0.034437,-0.031489,-0.031435,-0.029257,-30.5566,-0.036501,-33.1028,-0.039081
JU2593,59.7271,-11.8612,-29.7309,-51.8388,22.7186,-38.5837,-63.4148,-10.1218,17.1347,14.7868,-10.4003,-5.5419,42.9934,-10.4434,-14.053,-32.2008,-7.8455,-3.5494,-10.9441,-11.0655,-0.012594,-24.1345,-0.019217,-0.018461,-0.015675,-0.014387,-0.014475,-22.75,-0.019617,-25.3185,-0.022239
JU2600,21.6693,-7.8997,-76.379,-61.4914,100.755,-138.2163,-107.2833,-9.8561,-53.7484,15.4129,-7.769,-44.9782,7.5967,-8.5688,-43.0629,-39.5155,-8.6435,-11.8163,-8.0996,-38.2606,-0.041386,-47.5154,-0.060827,-0.042865,-0.039917,-0.041536,-0.037309,-35.2175,-0.044785,-40.2872,-0.051243
JU2800,156.8157,-24.1829,-128.5371,-124.7055,198.5654,-380.7477,-195.8872,-14.7967,-103.0639,130.7361,-18.4377,-91.7428,128.3894,-20.7805,-114.3228,-95.5628,-15.6416,-12.7004,-15.8774,-91.5993,-0.017519,-35.288,-0.043352,-0.012408,-0.01076,-0.013503,-0.0099012,-10.5778,-0.014178,-14.1016,-0.018668
JU2862,128.8259,-21.2168,-121.9606,-162.5029,150.9955,-361.8863,-170.2377,-21.366,-107.7717,92.6067,-23.0512,-111.8592,113.0993,-21.4719,-102.2661,-141.1715,-21.9772,-21.4191,-19.6749,-111.8043,-0.063127,-99.737,-0.1126,-0.04331,-0.040634,-0.050872,-0.037412,-40.7898,-0.047038,-46.4541,-0.053853
JU2866,6.5467,-8.0464,-0.40341,-32.5468,51.1614,-113.4256,-75.0452,-8.9531,-11.1615,14.3247,-9.0572,-0.79907,-1.4709,-8.7496,18.5055,-12.2489,-9.0369,-7.8293,-9.8754,2.3121,-0.025463,-47.7086,-0.065784,-0.023848,-0.02045,-0.022031,-0.018204,-19.6344,-0.026853,-24.6061,-0.033962
JU2878,168.5513,-36.5314,-121.611,-143.584,147.3041,-299.386,-168.8243,-31.6861,-151.1915,150.2841,-32.319,-134.5109,159.9977,-33.034,-124.6331,-137.653,-32.3635,-29.7506,-32.0367,-141.602,-0.051296,-47.6023,-0.06346,-0.05125,-0.049163,-0.052243,-0.045038,-40.7351,-0.054155,-45.8634,-0.06082
JU2879,119.8204,-9.4485,-107.9148,-87.5578,108.7162,-295.5374,-91.7603,-17.2237,-77.4311,89.7069,-12.0266,-71.0473,104.8335,-11.2411,-111.7893,-78.8544,-16.9315,-16.8026,-11.4473,-74.7932,-0.08104,-91.7122,-0.11463,-0.063207,-0.058586,-0.068892,-0.054715,-53.075,-0.067188,-60.3616,-0.076233
JU2906,15.5478,-13.4604,-63.9569,-11.829,26.9296,-224.7858,-3.0703,-18.729,-21.484,9.2816,-16.1169,-20.6717,14.6144,-14.5449,-42.7162,-20.3009,-18.4593,-15.0983,-16.1269,-11.2482,0.014983,25.8966,0.034218,0.0060863,0.0072357,0.011101,0.0066351,4.6227,0.006523,6.3778,0.0089957
JU310,39.0494,-7.7034,-25.5359,-42.1969,28.5782,-87.0531,-75.9127,-5.0501,-8.1572,28.3933,-6.0129,-23.3636,33.7104,-8.4259,-20.4041,-36.9268,-4.8666,-3.0473,-7.0312,-25.8343,-0.039429,-37.8785,-0.057556,-0.038387,-0.035622,-0.038582,-0.032621,-28.6957,-0.041533,-32.9663,-0.047713
JU311,75.7679,-10.4688,-75.7073,-81.4288,85.3085,-149.6679,-105.0457,-13.5113,-57.6069,46.4812,-13.2162,-61.3064,59.3274,-9.5803,-58.0828,-73.9391,-12.7091,-12.9452,-12.251,-58.4871,-0.059576,-52.4922,-0.066114,-0.067065,-0.060053,-0.060834,-0.055453,-56.64,-0.072122,-64.2394,-0.081583
JU3125,-25.9154,-4.6607,30.9436,8.5548,-0.95789,-88.0461,-50.7109,-1.8804,43.5531,-32.7458,-3.3098,33.029,-26.8005,-3.6954,35.1289,21.375,-4.5718,-0.92684,-4.0904,28.4804,-0.095496,-104.1318,-0.11961,-0.094532,-0.087475,-0.091615,-0.080221,-88.7228,-0.10115,-100.4907,-0.1145
JU3127,116.8163,-11.1838,-91.0852,-106.3218,97.553,-135.3359,-150.3356,-13.8004,-48.737,72.3005,-12.942,-61.1025,102.7016,-10.6089,-78.4996,-86.248,-14.8116,-15.2465,-11.4808,-60.3601,0.010894,13.3427,0.020562,0.0059687,0.0057731,0.0076385,0.0058768,3.348,0.0060918,1.8034,0.0045486
JU3134,109.2668,-22.4462,-97.8134,-108.075,116.9407,-197.9271,-139.4706,-20.0559,-66.1942,80.5355,-21.1692,-77.7121,102.0676,-21.2041,-83.7412,-99.9479,-20.9745,-16.9944,-21.5154,-84.8224,-0.035357,-31.3101,-0.043289,-0.041891,-0.037833,-0.037858,-0.035156,-35.1535,-0.045866,-41.4576,-0.053675
JU3135,116.3909,-20.3289,-120.227,-117.1676,124.5441,-291.387,-162.1541,-17.4447,-110.393,101.9229,-19.438,-102.3009,99.3552,-20.7177,-100.5786,-103.5084,-16.1834,-16.2715,-15.983,-102.8012,-0.035968,-63.751,-0.071854,-0.025386,-0.022516,-0.025531,-0.020969,-24.7641,-0.027878,-28.9782,-0.032644
JU3137,44.3485,-13.9791,-44.3,-41.7582,85.6793,-176.8632,-90.5501,-10.8782,-29.5067,29.0267,-10.3315,-22.7759,30.5659,-10.5987,-35.584,-27.2284,-13.2298,-9.631,-9.9624,-27.3905,-0.045805,-78.5603,-0.091429,-0.03677,-0.034068,-0.037279,-0.031264,-34.6243,-0.039437,-38.7309,-0.044221
JU3140,113.6782,-15.011,-93.2729,-90.231,102.2756,-191.6308,-114.9818,-13.3143,-71.4733,84.0474,-13.6654,-67.7291,94.9547,-13.2117,-72.9296,-77.8901,-13.9153,-10.4017,-11.9798,-65.3097,-0.01041,-16.9897,-0.015781,-0.012383,-0.0099403,-0.0094087,-0.009035,-14.6641,-0.014812,-17.8453,-0.017523
JU323,15.4105,-11.9563,-28.1936,-22.259,35.7592,-102.913,-71.8111,-13.1122,1.6988,10.3201,-13.1908,-2.4596,12.4598,-12.4073,-24.4368,-9.7324,-13.1239,-13.1496,-12.2181,-2.2665,-0.025666,-25.1608,-0.029792,-0.027937,-0.027169,-0.02664,-0.025505,-24.4875,-0.029157,-28.8542,-0.032962
JU346,28.7708,-5.6993,-2.1149,-20.914,18.995,-9.0549,-46.2907,-9.3069,-1.7822,2.1772,-8.2994,-8.7158,20.5349,-6.3906,4.5147,-16.011,-9.5279,-8.553,-7.0194,-10.1338,-0.015215,-21.6883,-0.022823,-0.014887,-0.012962,-0.012828,-0.011812,-15.3871,-0.016595,-17.7468,-0.019042
JU360,139.6614,-23.723,-150.045,-149.1651,171.5325,-446.2588,-179.9695,-24.0559,-128.1349,93.7079,-21.7093,-118.2435,120.939,-17.0077,-122.1349,-137.7601,-23.6772,-21.8986,-24.5227,-128.57,-0.043302,-35.0134,-0.047848,-0.027867,-0.027602,-0.035743,-0.026068,-22.7197,-0.028676,-25.1889,-0.031559
JU367,56.7238,-5.5677,-62.2724,-56.783,40.4365,-62.3247,-77.3461,-9.3043,-6.2316,18.8243,-6.6108,-28.2985,37.0985,-4.2704,-52.6273,-50.9332,-11.428,-9.8256,-5.5757,-30.0664,-0.04604,-41.6844,-0.053988,-0.045141,-0.043694,-0.046895,-0.040671,-29.8014,-0.047888,-32.8793,-0.052988
JU393,102.6768,-9.4504,-132.7262,-92.5202,117.9185,-258.7769,-99.1363,-9.933,-70.8444,90.2025,-11.6348,-74.5612,100.2686,-9.3006,-129.554,-87.3498,-10.1997,-11.5599,-9.901,-72.6627,-0.032453,-50.7779,-0.059718,-0.031523,-0.028668,-0.02969,-0.027135,-28.6367,-0.033975,-31.8796,-0.037605
JU394,46.9155,-17.5467,-50.7041,-49.4474,41.2912,-56.6259,-75.3345,-14.6033,-35.2599,45.3131,-15.8793,-33.2986,44.4754,-16.3278,-39.6483,-43.3448,-14.5125,-12.0832,-14.3835,-37.2513,-0.0043254,-10.7775,-0.0038799,-0.014078,-0.0088905,-0.006214,-0.0069092,-18.8851,-0.016119,-22.0412,-0.018898
JU397,125.9499,-17.7254,-110.506,-101.0234,163.1259,-362.0422,-115.6996,-13.886,-91.2958,109.756,-15.4366,-77.8857,114.8178,-15.3508,-88.0482,-81.5645,-14.839,-13.5338,-12.3179,-89.8755,-0.067924,-85.826,-0.11708,-0.050146,-0.044534,-0.055459,-0.041931,-42.7028,-0.056158,-53.9608,-0.070671
JU406,27.5869,-5.5989,-19.8977,-29.9691,36.9397,-35.4493,-71.8841,-7.6219,11.0412,-0.55267,-5.9582,-12.7361,21.6848,-5.777,-19.4417,-22.377,-6.9899,-3.7921,-7.3595,-11.4586,-0.0069629,-9.9727,-0.006389,-0.013751,-0.0099299,-0.0081086,-0.0078693,-16.2964,-0.016106,-22.495,-0.021829
JU440,85.6666,-7.6416,-85.7294,-109.779,101.9568,-175.8094,-121.102,-15.3844,-63.8616,44.4247,-9.1454,-70.0221,68.4044,-8.2493,-72.1208,-96.8033,-14.805,-10.9036,-10.4868,-65.4984,-0.061178,-73.9104,-0.094364,-0.045757,-0.042369,-0.049972,-0.040076,-39.3171,-0.050177,-45.7187,-0.058222
JU561,59.5961,-12.3133,-50.0295,-53.7805,56.9195,-105.0728,-75.0966,-8.6127,-44.7525,44.5134,-11.4968,-43.613,54.0489,-13.1296,-56.7144,-60.9796,-7.2419,-4.9004,-11.8153,-41.2287,-0.066829,-58.8898,-0.072901,-0.06871,-0.064105,-0.067783,-0.058928,-59.7335,-0.071616,-65.8429,-0.077928
JU642,70.4521,-19.8362,-72.7967,-62.675,75.5359,-183.1168,-73.9214,-17.3032,-57.8015,67.8032,-18.8917,-48.7509,61.6145,-17.0192,-74.0271,-60.3201,-16.3842,-16.0763,-17.6707,-51.1907,-0.082006,-98.0423,-0.12354,-0.064654,-0.061925,-0.072634,-0.057222,-55.0898,-0.070485,-62.1897,-0.079638
JU751,65.1597,0.53618,-51.0088,-83.3547,152.8736,-328.1356,-133.4474,-6.6487,-52.6124,50.8657,-8.4602,-51.8714,33.561,0.23977,-19.333,-43.7242,-8.7285,-9.6657,-9.3111,-35.7647,-0.043117,-65.872,-0.080185,-0.018374,-0.017772,-0.028663,-0.018681,-17.125,-0.021438,-18.3037,-0.022937
JU774,66.527,-17.1299,-79.3194,-64.6854,89.4555,-207.2725,-101.8088,-11.316,-57.5693,62.4535,-14.6569,-45.5336,68.0618,-15.3811,-86.3081,-59.9405,-11.1838,-7.7465,-13.682,-47.9793,-0.06601,-75.6572,-0.099417,-0.064325,-0.057633,-0.060764,-0.053644,-55.403,-0.07115,-65.5858,-0.083668
JU775,38.6053,-2.3871,-60.5712,-56.5704,65.154,-67.7141,-100.6888,-4.7921,9.1625,12.996,-4.8264,-14.1328,26.0331,-3.9196,-44.8962,-40.5036,-2.6716,0.45167,-5.6644,-17.9818,-0.0090408,-9.1064,-0.013872,-0.014329,-0.010703,-0.010032,-0.0097664,-13.8053,-0.016802,-15.8051,-0.020859
JU778,72.0152,-12.7129,-71.0423,-63.5214,78.471,-137.9538,-82.6298,-12.9882,-46.2436,67.6138,-13.9571,-54.5861,68.9007,-13.672,-71.7913,-60.2244,-11.2431,-11.6598,-14.2339,-55.4123,-0.068611,-65.7372,-0.076257,-0.066833,-0.063978,-0.069173,-0.057789,-60.017,-0.069202,-64.0607,-0.073762
JU782,28.0959,0.64107,-34.5976,-24.8672,6.9014,-49.6158,-38.1686,-1.3647,3.308,8.3849,-1.0891,-7.0672,18.9722,1.801,-28.2471,-16.4608,-3.4498,-0.77891,-0.98966,-5.8568,-0.014802,-30.3115,-0.022431,-0.019906,-0.017993,-0.016238,-0.017135,-24.2236,-0.020731,-26.6144,-0.022301
JU792,-41.2029,-3.8531,30.9774,0.88904,11.5963,-25.5452,-40.3994,-4.5237,30.3959,-38.3809,-5.2447,21.3433,-38.43,-3.8682,38.4584,19.42,-4.2119,-2.9271,-6.2308,23.2898,-0.021793,-27.1857,-0.034681,-0.021615,-0.018756,-0.019162,-0.017431,-19.079,-0.023954,-21.3736,-0.026842
JU830,43.4441,2.8951,-42.5547,7.3378,41.359,-113.2328,13.8593,-2.3672,-8.1684,23.4422,-0.67562,-8.2409,33.0835,1.7079,-31.4759,11.8145,-0.97135,-0.86057,-0.18438,-0.72968,-0.014816,-9.9762,-0.0064648,-0.016995,-0.013398,-0.014519,-0.011826,-22.4365,-0.01754,-28.6117,-0.018695
JU847,45.8103,-15.5267,-76.4156,-68.2654,94.6378,-240.948,-123.0807,-9.0278,-44.2935,56.2451,-11.9295,-45.7219,44.5913,-14.0512,-71.178,-53.2595,-8.2945,-5.8338,-10.4307,-51.489,-0.01782,-32.1023,-0.036568,-0.014502,-0.013156,-0.015248,-0.012245,-13.368,-0.016153,-15.9711,-0.02061
KR314,-25.7423,-8.349,24.3355,21.8534,-41.0213,45.6557,10.9485,-4.3407,11.8881,-13.9533,-4.8671,15.2051,-27.0525,-6.8877,20.719,22.8008,-3.2515,0.58789,-4.5976,10.7173,-0.015663,-15.0074,-0.016945,-0.018203,-0.017024,-0.017102,-0.015926,-16.8204,-0.019453,-18.9079,-0.021938
LKC34,90.7579,-16.8201,-71.124,-79.3214,96.362,-137.9241,-91.5475,-20.4703,-72.0327,92.9042,-18.2537,-78.1378,85.5885,-17.9017,-73.4102,-79.3915,-18.6332,-18.1467,-17.9946,-79.6736,-0.010218,-13.3371,-0.012412,-0.017228,-0.013499,-0.011176,-0.012341,-17.9112,-0.020482,-25.3806,-0.027223
LSJ1,57.9805,-6.5479,-36.5944,-45.4362,49.7178,-133.425,-68.0286,-9.314,-8.8322,36.0595,-5.9923,-18.4352,46.9081,-7.4776,-23.1128,-31.1158,-8.9619,-7.5064,-8.6544,-19.835,-0.057969,-70.3763,-0.093393,-0.041737,-0.04098,-0.048959,-0.038815,-33.9792,-0.044085,-38.5764,-0.050037
MY1,5.3588,-7.1356,-6.3624,-31.2215,0.6319,3.9761,-55.2906,-6.1871,24.049,-31.2039,-6.1925,2.7069,-2.9761,-7.204,2.6034,-18.215,-6.7312,-4.2472,-5.9667,4.2968,-0.010673,-14.5106,-0.014779,-0.0172,-0.012535,-0.011694,-0.010853,-15.0599,-0.019686,-19.6995,-0.02552
MY10,-0.9693,-13.1423,-36.1674,-4.2432,38.1804,-85.2086,-50.5058,-8.3859,-5.986,3.4333,-9.9444,-4.3724,-11.8849,-12.9126,-14.5215,-0.009552,-6.833,-6.2154,-11.9549,-6.4398,-0.013718,-17.4723,-0.021447,-0.013967,-0.012137,-0.012866,-0.011345,-14.5173,-0.015682,-15.9775,-0.017117
MY16,4.135,-5.4602,-22.7476,-29.6395,18.15,-94.0111,-54.0331,-8.6144,-25.9321,2.8026,-8.1879,-23.2057,5.436,-4.7527,-22.1621,-29.6399,-7.2176,-5.8978,-10.0399,-26.6528,-0.024622,-25.0996,-0.035189,-0.019918,-0.020771,-0.022842,-0.020225,-14.3595,-0.020899,-16.8494,-0.023924
MY18,127.9199,-7.7632,-166.093,-157.6965,131.3683,-420.325,-119.4135,-14.1103,-135.6705,115.3282,-12.5814,-132.5905,125.6329,-5.4566,-164.1417,-146.5273,-16.7829,-16.511,-12.6736,-125.0844,-0.051057,-77.7127,-0.082952,-0.033694,-0.032825,-0.040455,-0.031012,-32.726,-0.035557,-33.9976,-0.036913
MY2212,131.9387,-24.7548,-93.6861,-140.7652,105.1617,-169.9662,-165.4267,-22.6617,-90.6846,88.3785,-24.69,-97.9965,108.3413,-25.3682,-80.7694,-117.0782,-23.8663,-21.5298,-24.6036,-97.6671,0.0095527,17.0359,0.019488,0.0030699,0.004951,0.0070674,0.0052899,2.5582,0.0023795,0.70187,0.00011268
MY23,69.3492,-9.7292,-98.9899,-107.442,80.2938,-250.7395,-127.895,-10.185,-43.0547,46.0322,-9.1975,-61.9673,55.4615,-7.203,-80.9461,-89.5513,-11.048,-7.961,-10.4812,-57.6211,-0.040099,-54.2027,-0.063021,-0.026566,-0.024632,-0.029937,-0.023204,-24.1002,-0.028357,-30.9548,-0.036198
MY2453,-30.9492,-1.9159,32.6693,11.107,-7.4762,-35.75,-35.0508,0.2817,46.5786,-42.2058,1.7056,32.8887,-33.9825,-0.7808,28.2425,22.0246,-0.087133,2.2796,0.55213,33.3893,-0.018448,-24.951,-0.019591,-0.020317,-0.020339,-0.019796,-0.019199,-23.014,-0.021129,-26.1307,-0.024418
