strain,d_speed_head_base_w_backward_10th_medianDiff_all,d_speed_head_base_w_backward_50th_medianDiff_all,d_speed_head_base_w_backward_90th_medianDiff_all,d_speed_head_base_w_backward_IQR_medianDiff_all,d_speed_head_tip_w_backward_10th_medianDiff_all,d_speed_head_tip_w_backward_90th_medianDiff_all,d_speed_head_tip_w_backward_IQR_medianDiff_all,d_speed_hips_w_backward_50th_medianDiff_all,d_speed_hips_w_backward_IQR_medianDiff_all,d_speed_midbody_w_backward_10th_medianDiff_all,d_speed_midbody_w_backward_50th_medianDiff_all,d_speed_midbody_w_backward_IQR_medianDiff_all,d_speed_neck_w_backward_10th_medianDiff_all,d_speed_neck_w_backward_50th_medianDiff_all,d_speed_neck_w_backward_90th_medianDiff_all,d_speed_neck_w_backward_IQR_medianDiff_all,d_speed_tail_base_w_backward_50th_medianDiff_all,d_speed_tail_tip_w_backward_50th_medianDiff_all,d_speed_w_backward_50th_medianDiff_all,d_speed_w_backward_IQR_medianDiff_all,speed_head_base_norm_10th_medianDiff_all,speed_head_tip_10th_medianDiff_all,speed_head_tip_norm_10th_medianDiff_all,speed_hips_norm_10th_medianDiff_all,speed_midbody_norm_10th_medianDiff_all,speed_neck_norm_10th_medianDiff_all,speed_norm_10th_medianDiff_all,speed_tail_base_10th_medianDiff_all,speed_tail_base_norm_10th_medianDiff_all,speed_tail_tip_10th_medianDiff_all,speed_tail_tip_norm_10th_medianDiff_all
CX11307,42.591,-11.9214,4.8322,-33.361,61.7255,-93.2904,-100.7159,-12.1278,5.0219,26.4768,-9.7516,-1.0281,31.0309,-10.2498,6.7228,-12.492,-12.8321,-9.9323,-8.9416,-0.32298,-0.026204,-43.0248,-0.058159,-0.023843,-0.020336,-0.022654,-0.018281,-19.4093,-0.026548,-23.3816,-0.031832
CX11314,66.3141,-7.2322,-84.3201,-109.2129,38.6337,-140.4302,-116.4264,-13.0896,-51.0194,33.7803,-9.6559,-71.5446,56.1898,-6.7606,-80.5679,-94.2899,-10.9509,-8.0573,-9.732,-70.1347,-0.03177,-33.9162,-0.048305,-0.033864,-0.030751,-0.031596,-0.028551,-28.4473,-0.036656,-31.2207,-0.040877
CX11315,27.59,-8.407,-4.2978,-65.437,72.864,-183.0622,-131.6935,-5.4081,-9.437,22.3435,-7.9183,-18.1943,10.5441,-7.1928,11.4287,-30.4731,-5.8447,-5.6829,-6.8059,-20.6551,-0.07681,-51.3219,-0.072934,-0.082897,-0.075868,-0.079064,-0.069196,-62.4137,-0.087839,-67.2341,-0.094275
DL200,48.9457,-7.6724,-59.4272,-40.9121,62.1328,-127.9323,-46.263,-7.0205,-22.9909,36.6703,-8.2002,-27.7195,43.823,-8.4278,-53.7586,-37.898,-6.8836,-4.5422,-8.449,-26.1703,-0.024464,-37.6416,-0.047596,-0.023514,-0.020258,-0.021733,-0.018852,-22.1727,-0.025456,-23.4396,-0.029225
DL226,37.342,-0.90653,-44.1356,-41.8358,41.7152,-82.6298,-58.2405,-3.3563,-14.0635,20.7115,-3.9189,-15.637,29.8003,-2.8295,-31.8267,-29.4822,-2.5403,1.1428,-5.1537,-16.199,-0.020915,-42.228,-0.049136,-0.014011,-0.012472,-0.014582,-0.011563,-13.7913,-0.015573,-17.6784,-0.020032
DL238,0.7646,-6.1284,-7.6227,-1.8291,9.2569,-66.0255,-42.33,-3.2674,33.7333,-11.8643,-4.8531,19.2997,-10.5938,-5.1766,1.5646,3.2201,-3.8891,-1.9599,-4.4071,18.2715,-0.055411,-63.0003,-0.07191,-0.04316,-0.041938,-0.050795,-0.037359,-41.2366,-0.046313,-46.4968,-0.051935
ECA246,25.4194,-5.0496,-32.4166,-20.1412,48.791,-103.7782,-35.215,-7.7673,-6.3548,7.0318,-7.3278,-12.6579,13.4921,-6.3912,-22.1123,-13.1341,-6.8802,-5.7774,-6.8573,-6.2571,-0.082106,-41.8548,-0.075705,-0.084513,-0.074371,-0.080979,-0.068382,-48.9852,-0.088548,-51.7311,-0.094065
ECA248,73.0989,-16.8475,-65.3533,-81.1565,113.765,-154.9183,-159.0556,-19.6595,-54.117,68.8988,-18.1636,-53.9011,62.9924,-17.1567,-51.8495,-68.8625,-19.208,-19.8717,-15.6775,-52.4944,0.0428,43.3902,0.054979,0.033208,0.033888,0.04111,0.031613,25.5518,0.032638,20.9663,0.027837
ECA250,64.8837,-12.7955,-73.0184,-64.3644,57.2126,-132.8672,-69.3366,-14.0898,-29.8106,47.3095,-12.9867,-39.1048,55.6925,-10.6604,-62.1991,-50.4855,-13.3446,-14.2771,-12.0281,-40.3127,-0.02625,-39.6443,-0.035934,-0.024073,-0.025327,-0.026851,-0.023526,-27.3213,-0.023521,-28.8201,-0.024473
ECA251,116.4148,-22.2201,-93.5175,-119.5165,127.0822,-191.7589,-173.4064,-23.0452,-46.1765,68.4793,-21.5918,-66.6857,92.6145,-21.8441,-81.8169,-88.0769,-22.3147,-20.7192,-19.8515,-65.3949,-0.0066921,-10.7242,-0.0056861,-0.010572,-0.0095019,-0.0085462,-0.0086548,-12.0529,-0.0103,-12.3987,-0.010308
