strain	min	10prc	25prc	median	mean	75prc	90prc	max	iqr
JU1652	-40.4828	-91.9564	-82.01	-51.5832	-45.517	-20.6555	-6.1929	54.2654	57.0483
JU1793	-1.4798	-26.4724	-34.0996	-28.6369	-18.0305	-10.9765	0.14876	74.4025	19.1632
JU1808	0	-11.4315	-9.4601	27.8717	6.7044	20.4253	1.1241	12.1156	19.5347
JU1896	-0.039898	-6.2542	-5.4921	7.9204	3.1532	9.9457	11.4112	8.74	12.8344
JU2001	-0.058075	-20.6179	-43.2261	-74.9937	-45.4759	-50.6579	-20.9014	-4.5068	-10.8906
JU2007	-0.59691	-11.103	-20.516	-27.5397	-20.6101	-24.7569	-15.0004	8.6391	-4.8177
JU2131	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
JU2141	-0.27196	-16.7999	-20.583	-24.7838	-14.4336	-8.9722	-0.64321	29.1533	2.9345
JU2234	-0.14141	-7.4178	-8.5844	5.5875	4.7222	22.6601	33.6645	37.7995	27.9182
JU2464	-0.051235	-6.7461	-7.519	-5.2861	0.49518	-1.6885	2.3212	36.1699	0.59045
JU2466	-0.064523	-20.9243	-40.8061	-58.1981	-37.5037	-49.8048	-17.6054	21.0828	-12.4489
JU2513	-0.12991	-12.3882	-14.4449	-10.1393	-18.0892	-28.9409	-22.7625	23.9991	-3.739
JU2519	-0.0082842	-7.7324	-24.0816	-28.0461	-20.9337	-21.1445	-22.5044	-6.5718	3.7132
JU2522	0.051458	7.9473	-1.6766	-23.3397	-7.7278	-3.7869	-0.12313	15.63	-4.9271
JU2526	0	-22.3717	-36.2698	-33.4496	-27.4555	-20.4068	-15.4255	-36.2889	10.2604
JU2534	-0.022185	-7.7471	-7.034	-4.4048	0.95385	5.1517	10.8048	26.978	5.2698
JU2565	-0.1597	6.4093	4.7964	-4.8125	1.6549	0.85002	3.9461	63.2571	27.9541
JU2566	-0.035653	-1.0285	-5.7731	-5.5294	0.78881	6.4621	1.9153	21.8791	-0.57529
JU2578	-0.075256	-23.313	-44.0117	-40.0136	-24.2977	-9.1747	2.4833	15.6952	34.837
JU258	-0.032659	-0.41939	-1.5417	-2.1349	4.5486	6.3005	16.3144	63.2151	14.2111
JU2587	0	-5.7653	-8.2878	-4.6384	-2.6177	-0.76991	16.6213	-32.1618	7.5179
JU2593	-0.034689	-0.33994	10.6457	57.9244	38.3104	59.8167	45.2821	34.2411	43.0235
JU2600	0	-2.5798	1.1176	-16.4119	-9.3852	-3.4058	1.7055	39.3378	9.1074
JU2800	0	3.7242	19.5523	25.3737	18.7834	19.6036	20.8167	49.0669	2.7772
JU2862	-0.023426	-32.3443	-46.6335	-55.1762	-41.493	-44.2145	-25.1519	-42.9116	2.3318
JU2866	-0.99083	-33.5481	-30.219	1.0704	0.96505	22.6834	33.0109	108.4207	54.0841
JU2878	-0.047983	-9.4002	-16.2813	-19.3921	-18.8865	-22.6107	-18.5955	30.0749	-7.8426
