strain,blob_area_90th_medianDiff_all,blob_area_w_paused_50th_medianDiff_all,blob_area_w_paused_90th_medianDiff_all,blob_area_w_paused_IQR_medianDiff_all,d_blob_area_10th_medianDiff_all,d_blob_area_90th_medianDiff_all,d_blob_area_IQR_medianDiff_all,d_blob_area_w_paused_10th_medianDiff_all,d_blob_area_w_paused_90th_medianDiff_all,d_blob_area_w_paused_IQR_medianDiff_all
AB1,139700,110500,283850,149150,-1718.75,1875,1093.75,-6875,7343.75,5468.75
BRC20067,82150,72425,214200,77381.25,-1015.625,1093.75,546.875,-4843.75,4765.625,3125
CB4852,51450,21950,91600,79750,-625,625,312.5,-3437.5,3437.5,937.5
CB4854,89200,51550,118600,44987.5,-1093.75,1250,625,-3281.25,2968.75,2500
CB4856,40575,38625,165970,66800,-546.875,546.875,312.5,-4843.75,4921.875,3515.625
CB4932,138350,66950,221250,82450,-937.5,937.5,625,-5000,5625,3750
CX11254,27600,41150,94350,30800,-625,781.25,468.75,-3125,3203.125,2031.25
CX11262,2750,-5675,49650,-2250,312.5,-468.75,-156.25,2968.75,-2656.25,-4218.75
CX11264,45250,55600,106200,49500,-625,625,312.5,-4218.75,4375,3125
CX11271,18600,7200,79850,35637.5,-625,468.75,312.5,-3906.25,3750,3281.25
CX11276,51900,22250,156695,53987.5,-937.5,1093.75,625,-5468.75,5000,2812.5
CX11285,16200,31175,50350,25425,-312.5,312.5,156.25,-2812.5,2031.25,703.125
CX11292,92700,40050,253250,162100,-625,625,312.5,-4218.75,3750,3593.75
CX11307,22050,30500,108495,38062.5,-312.5,312.5,312.5,-2031.25,1718.75,1562.5
CX11314,73075,49212.5,192642.5,83575,-781.25,859.375,468.75,-4609.375,4765.625,3828.125
CX11315,36500,58800,139000,63200,-625,625,312.5,-7812.5,7968.75,5625
DL200,59050,63750,251565,176400,-625,625,312.5,-4687.5,4687.5,2968.75
DL226,89650,100050,262200,98650,-937.5,1250,937.5,-7187.5,7812.5,4843.75
DL238,57325,39300,165800,86425,-625,625,312.5,-5156.25,5234.375,1953.125
ECA246,38550,42300,95575,67925,-312.5,312.5,156.25,-1796.875,2031.25,1562.5
ECA248,186400,124625,308700,138375,-781.25,937.5,468.75,-3437.5,4843.75,4843.75
ECA250,39250,46850,301125,120512.5,-781.25,781.25,312.5,-5468.75,6406.25,3593.75
ECA251,83350,34750,196750,69350,-468.75,625,312.5,-3437.5,3750,2812.5
ECA252,63250,9000,107100,51600,-468.75,468.75,156.25,-1093.75,1093.75,625
ECA259,34250,52550,100275,1425,-625,703.125,468.75,-7109.375,6250,4453.125
ECA348,18550,54600,168100,99400,-468.75,468.75,312.5,-3593.75,3906.25,1718.75
ECA349,76350,74200,260200,98050,-781.25,781.25,625,-7343.75,7656.25,5156.25
ECA36,22900,51650,109400,50700,-625,781.25,312.5,-3484.375,2656.25,1406.25
ECA363,27550,7925,14700,14000,-312.5,312.5,156.25,312.5,-312.5,-312.5
ECA372,68025,34750,193125,56725,-937.5,859.375,546.875,-3359.375,3359.375,2890.625
ECA396,8800,-4550,38800,35087.5,0,0,0,468.75,-2078.125,-1875
ED3005,94750,32550,160550,53100,-1406.25,1562.5,781.25,-4375,4843.75,3281.25
ED3011,52950,68650,180350,75950,-937.5,937.5,625,-6875,7500,4843.75
ED3012,46250,60600,241650,132687.5,-781.25,625,625,-6406.25,7343.75,4531.25
ED3017,45500,24750,130900,54900,-937.5,781.25,468.75,-5468.75,4843.75,2968.75
ED3040,93575,51500,256800,147025,-1093.75,1015.625,390.625,-4062.5,4296.875,937.5
ED3046,214500,145400,270350,151125,-1875,2031.25,937.5,-7031.25,7812.5,4687.5
ED3048,46575,55950,211150,70150,-859.375,859.375,468.75,-6015.625,6328.125,4765.625
ED3049,7300,4400,128700,84800,-156.25,0,0,8906.25,-8750,-8906.25
ED3052,51895,18100,152050,40300,-781.25,937.5,312.5,-4687.5,3750,2187.5
ED3073,78000,70400,177300,97650,-781.25,781.25,625,-5781.25,5781.25,3593.75
ED3077,117100,100700,268670,164200,-1093.75,1093.75,625,-9062.5,9218.75,6406.25
