strain,blob_box_width_90th_medianDiff_all,blob_box_width_IQR_medianDiff_all,blob_box_width_w_forward_IQR_medianDiff_all,blob_box_width_w_paused_10th_medianDiff_all,blob_box_width_w_paused_50th_medianDiff_all,blob_box_width_w_paused_90th_medianDiff_all,blob_box_width_w_paused_IQR_medianDiff_all,d_blob_box_width_10th_medianDiff_all,d_blob_box_width_90th_medianDiff_all,d_blob_box_width_IQR_medianDiff_all,d_blob_box_width_w_forward_10th_medianDiff_all,d_blob_box_width_w_forward_IQR_medianDiff_all,d_blob_box_width_w_paused_10th_medianDiff_all,d_blob_box_width_w_paused_90th_medianDiff_all,d_blob_box_width_w_paused_IQR_medianDiff_all,d_width_head_base_w_backward_50th_medianDiff_all,d_width_head_base_w_backward_90th_medianDiff_all
JU346,182.401,45.0685,8.8885,21.4334,135.574,298.1555,173.2156,-8.6873,10.6441,5.9557,-5.1871,3.2863,-21.0741,25.9632,15.3241,-0.066739,-5.2203
JU360,113.7994,22.1523,9.7778,45.0585,171.1568,247.4482,143.2304,-10.8833,12.8661,7.3845,-6.2149,5.0566,-47.4833,38.7255,28.3019,-1.216,-5.7024
JU367,206.7238,36.5552,8.2538,28.028,117.5416,244.6667,115.5548,-12.9442,14.1773,9.0426,-8.6921,6.5899,-16.0798,15.1144,5.42,-0.28252,-6.4864
JU393,238.0945,61.7968,8.4522,14.0422,127.276,250.4613,165.9934,-4.3296,1.5262,2.0402,-2.671,0.92275,-16.9605,20.5034,12.4832,-0.489,-2.9057
JU394,213.6365,57.0954,4.2147,25.6067,119.3606,244.4872,208.6662,-4.8143,4.2225,3.1591,-3.1032,1.7434,-14.1259,21.8795,11.2026,-0.35721,-3.1161
JU397,80.7778,13.4076,5.3856,21.7234,141.3123,250.7982,150.798,-4.6865,6.9984,3.5474,-2.1113,2.0062,-37.772,42.6018,25.1737,-0.79147,-3.2485
JU406,178.0627,32.5472,2.1695,20.7997,158.6505,341.343,208.7365,-5.21,7.8855,3.4601,-3.9052,2.712,-34.6778,35.5211,21.5035,-0.37377,-4.6144
JU440,55.4883,14.1439,9.4058,61.216,170.837,266.5804,139.1003,-8.6356,11.7783,6.4945,-6.9699,5.2954,-35.4161,37.7214,23.6606,-0.46266,-4.2168
JU561,201.7989,39.9193,6.702,38.9013,162.9644,284.8119,195.3647,-13.5339,13.9603,8.5373,-8.8585,5.9609,-25.7401,14.1242,17.1813,-0.40153,-1.3029
JU642,59.8407,20.0697,8.3175,30.2342,162.7656,311.0206,205.4777,-8.554,11.417,7.1362,-6.1903,6.3575,-34.4926,47.1033,23.0589,-0.71875,-3.5406
JU751,207.5352,45.0738,11.084,25.8308,115.1158,286.1975,185.4165,7.4934,-8.1347,-6.2157,8.5215,-6.3358,-9.326,15.4022,7.7927,0.16283,-3.9279
JU774,82.6042,23.4564,13.5267,43.5462,172.7755,395.0275,214.9411,-7.7951,11.1578,5.3167,-3.7561,2.9267,-46.4823,49.982,25.2456,-0.34996,-3.4459
JU775,183.0516,33.18,5.4622,21.3709,141.1152,291.1928,184.9646,-7.8422,8.8025,5.677,-6.8431,4.1085,-22.0506,24.0744,14.4815,-0.4126,-7.4536
JU778,221.4762,39.0098,10.0468,45.6384,187.6131,456.083,235.2083,-7.1639,9.3735,6.3543,-3.4017,2.3996,-28.3152,33.3717,16.0201,-0.58931,-3.2656
JU782,154.2142,37.0344,2.3556,50.2459,147.9057,383.3263,162.7028,-7.058,8.8717,6.1249,-3.7089,3.2331,-28.4103,33.5213,17.2092,-0.3857,-3.0762
JU792,120.0332,26.6599,5.8518,33.2782,161.9218,301.3512,153.9346,-11.4433,14.1742,10.4852,-8.859,7.4494,-29.6077,33.5674,19.0063,-0.30758,-2.5399
JU830,298.4537,66.4851,5.0195,-15.7821,173.249,457.2601,358.1937,-7.316,6.5253,7.3009,-5.0896,5.4091,-26.3242,26.4938,14.8249,-0.6737,-4.0103
JU847,120.9081,21.4263,4.4954,35.9921,152.1062,319.5442,187.2284,-5.6683,7.1361,4.4166,-3.9086,2.9277,-28.4432,30.6791,16.4478,-0.35683,-2.3072
KR314,198.7764,65.1235,5.8294,24.5639,123.9625,287.9662,166.1661,-10.3056,11.5541,6.1785,-6.7488,5.4476,-16.9207,17.3936,7.2798,-0.15665,-1.8749
LKC34,247.3312,48.8163,4.005,46.7189,181.4928,263.9271,224.6409,-5.8075,7.2733,5.4081,-4.1828,3.3104,-21.8039,27.173,14.4765,-0.5995,-2.7588
LSJ1,73.1095,16.4499,4.6095,47.0975,102.3472,374.5657,195.3982,-3.9001,6.8631,3.8913,-2.8205,2.758,-28.231,30.308,16.8637,0.0072658,-0.51398
MY1,163.4762,36.6171,1.1034,26.0198,108.2523,324.6523,171.505,-11.3053,14.4746,8.9756,-8.5757,6.5472,-24.4892,23.0108,11.6238,-0.41133,-3.3099
MY10,91.6378,3.2206,5.0982,29.8919,61.5455,375.5533,271.9287,-3.116,1.5189,1.6145,-0.33669,1.0943,-17.8053,21.5166,14.4617,-0.78477,0.39198
