strain	cluster	mw	sw	clusterNorm	mwNorm
JU367	24.7554	20.3142	101.6667	0.21572	0.3351
JU393	17.5947	19.4408	90.5439	0.22113	0.24199
JU394	22.6211	24.393	67.6485	0.33641	0.36031
JU397	27.166	38.5455	131.2373	0.21842	0.28038
JU406	31.8267	23.3893	78.6884	0.40447	0.32285
JU440	50.7929	54.232	117.9641	0.43443	0.44945
JU561	22.7242	33.5672	108.2935	0.20984	0.26754
JU642	28.4152	33.0114	119.5355	0.24248	0.30715
JU751	18.441	16.1428	93.1612	0.42957	0.32449
JU774	40.5712	40.2813	103.1626	0.37057	0.35604
JU775	23.0652	22.2601	104.8725	0.23286	0.28138
JU778	23.2329	23.948	84.8942	0.28003	0.2922
JU782	34.5502	23.0557	68.3209	0.49984	0.33566
JU792	20.5347	28.1818	100.096	0.2046	0.28623
JU830	26.1696	21.091	63.7796	0.40598	0.33069
JU847	20.9262	22.5194	128.6433	0.15784	0.21215
KR314	19.9266	19.3329	65.0458	0.28519	0.34855
LKC34	25.2418	26.1372	103.7926	0.26262	0.29103
LSJ1	27.6327	33.0708	89.1641	0.31081	0.37241
MY1	26.298	23.4336	109.6807	0.30174	0.3338
MY10	21.2702	33.03	63.3493	0.23987	0.65255
MY16	31.4583	34.8895	136.8335	0.24348	0.31426
MY18	19.3804	21.8808	61.5296	0.29208	0.25428
MY2212	25.5126	27.9424	134.4206	0.18149	0.2013
MY23	36.5289	49.2635	155.7308	0.24635	0.30752
MY2453	24.356	29.9746	96.2997	0.25912	0.31126
MY2530	21.8217	25.4283	118.3238	0.18028	0.21007
MY2535	25.0248	31.8156	134.2678	0.20623	0.23696
MY2573	20.2416	26.4537	97.9481	0.22023	0.24124
MY2693	23.6531	32.6062	108.922	0.21088	0.28345
MY2741	24.6794	27.5246	121.3046	0.19968	0.23102
MY679	22.5124	25.5042	107.2011	0.18756	0.24962
MY920	30.7468	53.4415	74.1614	0.42619	0.87423
N2	17.6782	14.0619	14.0455	1.0465	1.0372
NIC1	22.2626	22.6884	70.4167	0.28238	0.33388
NIC1107	21.6451	22.4632	94.3783	0.23828	0.27034
NIC166	19.8758	18.7738	41.7226	0.30047	0.69629
NIC195	33.1805	49.9052	109.4968	0.32826	0.45906
NIC199	29.1013	43.5398	131.7806	0.23843	0.33024
NIC2	26.4426	32.2733	95.1931	0.28014	0.31936
NIC207	22.3638	30.7898	104.0016	0.21503	0.29605
NIC231	23.883	24.7675	76.1725	0.30156	0.31577
NIC236	24.3645	26.827	122.905	0.19158	0.21094
NIC242	28.1586	29.0725	86.382	0.29881	0.32549
NIC251	23.1203	27.9611	76.3279	0.28716	0.37068
NIC252	35.752	42.2295	125.8971	0.28398	0.36619
NIC255	24.1705	25.9743	86.1481	0.26821	0.32326
NIC256	29.3779	25.4374	61.8193	0.41163	0.37071
NIC258	15.9259	15.2013	34.8336	0.42146	0.4364
NIC259	40.3013	38.9504	94.2219	0.42773	0.46866
NIC260	24.8409	29.2421	111.0427	0.23596	0.26334
NIC261	26.9338	32.8674	109.4926	0.27791	0.30632
NIC262	77.5547	43.4487	104.1131	0.74491	0.41732
NIC265	19.7705	13.9315	44.6771	0.2386	0.44829
