strain	cluster	mw	sw
AB1	0.04	0.04	0.04
BRC20067	0.04	0.04	0.04
CB4852	0.04	0.04	0.04
CB4854	0.04	0.04	0.04
CB4856	0.04	0.04	0.04
CB4932	0.04	0.04	0.04
CX11254	0.04	0.04	0.04
CX11262	0.04	0.04	0.04
CX11264	0.04	0.04	0.04
CX11271	0.04	0.04	0.04
CX11276	0.04	0.04	0.04
CX11285	0.04	0.04	0.04
CX11292	0.04	0.04	0.04
CX11307	0.04	0.04	0.04
CX11314	0.04	0.04	0.04
CX11315	0.04	0.04	0.04
DL200	0.04	0.04	0.04
DL226	0.04	0.04	0.04
DL238	0.04	0.04	0.04
ECA246	0.04	0.04	0.04
ECA248	0.04	0.04	0.04
ECA250	0.08	0.04	0.04
ECA251	0.04	0.04	0.04
ECA252	0.04	0.04	0.04
ECA259	0.04	0.04	0.04
ECA348	0.04	0.04	0.04
ECA349	0.04	0.04	0.04
ECA36	0.04	0.04	0.04
ECA363	0.04	0.04	0.04
ECA372	0.04	0.04	0.04
ECA396	0.04	0.04	0.04
ED3005	0.04	0.04	0.04
ED3011	0.04	0.04	0.04
ED3012	0.04	0.04	0.04
ED3017	0.04	0.04	0.04
ED3040	0.04	0.04	0.04
ED3046	0.04	0.04	0.04
ED3048	0.04	0.04	0.04
ED3049	0.04	0.04	0.04
ED3052	0.04	0.04	0.04
ED3073	0.04	0.04	0.04
ED3077	0.04	0.04	0.04
EG4347	0.04	0.04	0.04
EG4349	0.04	0.04	0.04
EG4724	0.04	0.04	0.04
EG4725	0.04	0.04	0.04
EG4946	0.04	0.04	0.04
GXW1	0.04	0.04	0.04
JT11398	0.04	0.04	0.04
JU1088	0.04	0.04	0.04
JU1172	0.04	0.04	0.04
JU1200	0.04	0.04	0.04
JU1212	0.04	0.04	0.04
JU1213	0.04	0.04	0.04
JU1242	0.04	0.04	0.04
JU1246	0.04	0.04	0.04
JU1395	0.04	0.04	0.04
JU1400	0.04	0.04	0.04
JU1409	0.04	0.04	0.04
JU1440	0.04	0.04	0.04
JU1491	0.04	0.04	0.04
JU1530	0.04	0.04	0.04
JU1543	0.04	0.04	0.04
JU1568	0.04	0.04	0.04
JU1580	0.04	0.04	0.04
JU1581	0.04	0.04	0.04
JU1586	0.04	0.04	0.04
JU1652	0.04	0.04	0.04
JU1793	0.04	0.04	0.04
JU1808	0.04	0.04	0.04
JU1896	0.04	0.04	0.04
JU2001	0.04	0.04	0.04
JU2007	0.04	0.04	0.04
JU2131	0.04	0.04	0.04
JU2141	0.04	0.04	0.04
JU2234	0.04	0.04	0.04
JU2464	0.04	0.04	0.04
JU2466	0.04	0.04	0.04
JU2513	0.04	0.04	0.04
JU2519	0.04	0.04	0.04
JU2522	0.04	0.04	0.04
JU2526	0.04	0.04	0.04
JU2534	0.04	0.04	0.04
JU2565	0.04	0.04	0.04
JU2566	0.04	0.04	0.04
JU2578	0.04	0.04	0.04
JU258	0.04	0.04	0.04
JU2587	0.04	0.04	0.04
JU2593	0.04	0.04	0.04
JU2600	0.04	0.04	0.04
JU2800	0.04	0.04	0.04
JU2862	0.04	0.04	0.04
JU2866	0.04	0.04	0.04
JU2878	0.04	0.04	0.04
JU2879	0.04	0.04	0.04
JU2906	0.04	0.04	0.04
JU310	0.04	0.04	0.04
JU311	0.04	0.04	0.04
JU3125	0.04	0.04	0.04
JU3127	0.04	0.04	0.04
JU3134	0.04	0.04	0.04
JU3135	0.04	0.04	0.04
JU3137	0.04	0.04	0.04
JU3140	0.04	0.04	0.04
JU323	0.04	0.04	0.04
JU346	0.04	0.04	0.04
JU360	0.04	0.04	0.04
JU367	0.04	0.04	0.04
JU393	0.04	0.04	0.04
JU394	0.04	0.04	0.04
JU397	0.04	0.04	0.04
JU406	0.04	0.04	0.04
JU440	0.04	0.04	0.04
JU561	0.04	0.04	0.04
JU642	0.04	0.04	0.04
JU751	0.04	0.04	0.04
JU774	0.04	0.04	0.04
JU775	0.04	0.04	0.04
JU778	0.04	0.04	0.04
JU782	0.04	0.04	0.04
JU792	0.04	0.04	0.04
JU830	0.04	0.04	0.04
JU847	0.04	0.04	0.04
KR314	0.04	0.04	0.04
LKC34	0.04	0.04	0.04
LSJ1	0.04	0.04	0.04
MY1	0.04	0.04	0.04
MY10	0.04	0.04	0.04
MY16	0.04	0.04	0.04
MY18	0.04	0.04	0.04
MY2212	0.04	0.04	0.04
MY23	0.04	0.04	0.04
MY2453	0.04	0.04	0.04
MY2530	0.04	0.04	0.04
MY2535	0.04	0.04	0.04
MY2573	0.04	0.04	0.04
MY2693	0.04	0.04	0.04
MY2741	0.04	0.04	0.04
MY679	0.04	0.04	0.04
MY920	0.04	0.04	0.04
N2	0.04	0.04	0.04
NIC1	0.04	0.04	0.04
NIC1107	0.04	0.04	0.04
NIC166	0.04	0.04	0.04
NIC195	0.04	0.04	0.04
