strain	cluster	mw	sw	clusterNorm	mwNorm
JU367	53.7511	51.5207	179.3785	0.48131	0.8796
JU393	48.3697	57.6015	181.1324	0.61368	0.72925
JU394	54.8053	65.7183	157.0162	0.85464	0.98733
JU397	68.3771	117.4316	187.5058	0.49942	0.85425
JU406	68.3098	69.3426	154.2457	0.86811	0.97114
JU440	104.153	135.3696	180.1527	0.80111	1.1423
JU561	56.0849	91.57	186.2338	0.5179	0.81049
JU642	65.1696	100.2589	191.7129	0.5623	0.8252
JU751	44.6481	44.5232	196.97	1.0308	1.0015
JU774	78.151	111.4654	182.8541	0.69196	1.1042
JU775	59.7991	75.2493	167.4977	0.57342	0.83925
JU778	58.6186	71.7627	159.6572	0.70379	0.86151
JU782	73.7309	63.5862	173.1938	1.073	0.92634
JU792	53.0603	77.767	161.6665	0.53058	0.79295
JU830	60.9334	61.014	182.6913	0.87237	0.95664
JU847	56.7569	77.2381	196.4015	0.42653	0.73673
KR314	51.0135	51.1885	163.0917	0.77235	0.90954
LKC34	61.4919	73.3401	197.0414	0.54457	0.75564
LSJ1	66.6818	86.3695	145.7121	0.74978	0.97021
MY1	63.7901	69.6378	196.244	0.68879	1.0051
MY10	47.0486	75.7218	126.0943	0.52502	1.2518
MY16	69.6602	104.6755	215.9079	0.54124	0.87959
MY18	45.9643	61.1502	147.6708	0.7164	0.94099
MY2212	58.1622	83.8283	203.2759	0.41894	0.64316
MY23	79.6972	138.8779	218.8912	0.58443	0.90674
MY2453	61.223	87.1511	181.5751	0.61904	0.87056
MY2530	53.4079	70.789	189.8231	0.44122	0.58482
MY2535	65.396	91.6121	193.0212	0.51108	0.69015
MY2573	49.6095	77.3377	171.8717	0.51404	0.70613
MY2693	61.3602	101.1337	179.5197	0.54707	0.85739
MY2741	57.4266	88.8579	205.3302	0.44841	0.72302
MY679	59.4081	80.0858	182.5815	0.53552	0.71087
MY920	67.3975	132.523	154.5841	0.93422	1.377
N2	56.5719	44.1999	42.8771	3.3973	3.1313
NIC1	54.3284	60.9122	153.0911	0.67015	0.90762
NIC1107	51.9784	59.4994	183.2131	0.54928	0.73507
NIC166	48.8994	49.5824	117.7566	0.73922	1.8588
NIC195	80.2356	119.2296	170.971	0.73653	1.1003
NIC199	73.6113	128.752	185.1689	0.57837	0.97667
NIC2	63.7066	88.1189	185.8833	0.67602	0.83738
NIC207	54.2115	86.7902	184.7557	0.52126	0.83451
NIC231	56.6861	58.3872	147.5772	0.79404	0.76486
NIC236	58.6969	75.4883	197.5269	0.46154	0.59358
NIC242	68.0005	77.3296	183.6898	0.63415	0.92263
NIC251	55.4739	67.8265	169.492	0.69981	0.92662
NIC252	76.2433	139.1497	199.16	0.6056	1.0709
NIC255	55.7532	78.0011	166.7794	0.65159	0.99424
NIC256	65.7114	74.033	153.71	1.1019	1.0265
NIC258	48.3039	60.6029	117.5171	1.2781	1.6035
NIC259	69.675	100.3126	181.1022	0.87338	1.0755
NIC260	61.4286	87.5083	196.4709	0.5532	0.75526
NIC261	62.0565	92.3732	185.745	0.62774	0.93341
NIC262	110.544	123.274	181.1714	1.0618	1.184
NIC265	46.4915	39.0941	96.5962	0.56109	1.4531
NIC266	68.2975	84.3127	179.9758	0.70263	0.84522
NIC267	68.993	89.2602	194.0686	0.62442	0.81809
NIC268	66.35	119.5198	203.8795	0.44901	0.80132
NIC269	143.0822	119.5319	186.4991	1.1982	1.0317
NIC271	72.4458	87.7557	169.3432	0.77918	0.89415
NIC272	42.569	63.686	178.1895	0.59344	0.88783
NIC274	63.9656	85.7623	172.6701	0.61009	0.71731
NIC275	57.3795	81.7979	180.9574	0.48774	0.83097
NIC276	63.9972	112.2936	216.8355	0.47571	0.76824
NIC277	58.6084	93.3255	192.4885	0.57136	0.88494
NIC3	50.6246	56.5414	152.7688	0.85665	1.133
NIC513	50.2262	76.7455	164.3123	0.46638	0.74776
NIC514	61.1873	95.1657	192.3597	0.61138	0.85981
NIC522	62.353	76.3267	174.5143	0.6556	0.85094
NIC523	57.2161	89.4366	175.0706	0.91855	1.1327
PB303	62.1585	100.566	172.3014	0.67175	1.0343
PS2025	84.0063	124.0362	182.1989	0.68003	1.0362
PX179	58.2848	80.8532	156.5865	0.60271	0.6975
QG2075	39.128	55.0657	124.9449	0.92244	1.0959
QG536	56.5156	76.4477	151.821	0.63663	0.87053
QG556	60.0673	112.8631	184.3772	0.49495	1.001
QG557	84.0267	99.8545	183.3781	0.62511	0.9069
QW947	63.818	79.4648	166.3139	0.79728	1.1303
QX1212	46.9047	53.586	167.9756	0.56746	0.77895
QX1233	56.1861	60.5445	171.5708	0.50342	0.90286
QX1791	66.3005	104.1283	189.0422	0.57646	0.91914
QX1792	62.2888	91.1226	187.5037	0.51323	0.75203
QX1793	54.363	66.6233	185.8233	0.40763	0.52537
QX1794	65.1052	80.2004	178.9096	0.6152	0.75334
RC301	71.7125	89.1409	172.4207	0.70996	0.87237
WN2001	57.0508	86.5582	184.9142	0.49933	0.79552
WN2002	56.1067	79.8736	184.9509	0.56386	0.86677
WN2033	58.3103	80.4589	189.3906	0.58708	0.81008
XZ1513	62.1389	94.6627	183.0065	0.50925	0.87436
XZ1514	59.9165	85.9245	182.6304	0.52046	0.87999
XZ1516	72.119	93.6095	153.3862	0.63281	0.8898
