strain	cluster	mw	sw	clusterNorm	mwNorm
MY2530	0.87506	0.84123	0.56778	1.7276	1.6774
MY2535	0.87256	0.83544	0.54454	1.7898	1.7253
MY2573	0.85886	0.85732	0.59564	1.6896	1.6261
MY2693	0.86145	0.85578	0.58669	1.7454	1.7045
MY2741	0.87002	0.86237	0.57105	1.7042	1.7031
MY679	0.85154	0.84062	0.58914	1.6202	1.5913
MY920	0.77069	0.90919	0.5676	1.5264	1.7999
N2	0.53027	0.73354	0.59255	1.0784	1.4496
NIC1	0.87082	0.85052	0.57988	1.7153	1.6802
NIC1107	0.86783	0.85593	0.58214	1.6966	1.6549
NIC166	0.86588	0.85448	0.65364	1.731	1.5439
NIC195	0.58136	0.70642	0.56921	1.1787	1.3936
NIC199	0.82883	0.79461	0.54013	1.7109	1.6518
NIC2	0.84447	0.81813	0.56952	1.625	1.5931
NIC207	0.82974	0.8183	0.57986	1.6319	1.6094
NIC231	0.8143	0.82771	0.5621	1.643	1.6485
NIC236	0.84649	0.81891	0.57192	1.6821	1.6089
NIC242	0.85415	0.84574	0.59005	1.644	1.6449
NIC251	0.86069	0.82878	0.57566	1.7563	1.6909
NIC252	0.68912	0.79176	0.53712	1.4441	1.6815
NIC255	0.84093	0.81234	0.56838	1.7004	1.6307
NIC256	0.75559	0.76468	0.59076	1.4518	1.5003
NIC258	0.75092	0.74857	0.60476	1.4349	1.4841
NIC259	0.74092	0.76604	0.56876	1.4466	1.5723
NIC260	0.73119	0.74784	0.58163	1.4649	1.4835
NIC261	0.83034	0.78991	0.57453	1.5924	1.5148
NIC262	0.53326	0.7719	0.55592	1.0927	1.5816
NIC265	0.88397	0.72435	0.56239	1.7651	1.4469
NIC266	0.74366	0.7644	0.58018	1.4547	1.4877
NIC267	0.81509	0.82566	0.53967	1.72	1.7159
NIC268	0.82182	0.80268	0.53323	1.7263	1.686
NIC269	0.75603	0.81251	0.57668	1.4532	1.573
NIC271	0.80348	0.8125	0.56155	1.5926	1.6105
NIC272	0.91492	0.8208	0.56905	1.8425	1.653
NIC274	0.79785	0.79101	0.56018	1.5984	1.6191
NIC275	0.8802	0.84752	0.57365	1.7193	1.6555
NIC276	0.79265	0.84116	0.56498	1.5474	1.6483
NIC277	0.78983	0.81711	0.56627	1.5833	1.6162
NIC3	0.79959	0.80952	0.60534	1.522	1.5275
NIC513	0.80667	0.83774	0.54983	1.6531	1.7149
NIC514	0.83557	0.82115	0.56266	1.6707	1.6227
NIC522	0.82364	0.78016	0.57846	1.5898	1.5548
NIC523	0.79006	0.78451	0.56375	1.6117	1.6004
PB303	0.8643	0.8506	0.56605	1.7293	1.6979
PS2025	0.65971	0.81132	0.56636	1.3106	1.5848
PX179	0.85439	0.81987	0.58846	1.6261	1.5695
QG2075	0.81756	0.82117	0.59804	1.5884	1.5873
QG536	0.85723	0.81692	0.53534	1.8166	1.7315
QG556	0.85272	0.85434	0.56627	1.7212	1.7121
QG557	0.77598	0.79849	0.56369	1.5456	1.617
QW947	0.77157	0.78547	0.5619	1.5614	1.5958
QX1212	0.83307	0.84963	0.61862	1.6145	1.6335
QX1233	0.82636	0.86473	0.58317	1.6468	1.6368
QX1791	0.7906	0.78761	0.55801	1.5706	1.5848
QX1792	0.74343	0.81786	0.58963	1.5077	1.6171
QX1793	0.85282	0.83407	0.56588	1.741	1.7056
QX1794	0.82948	0.81643	0.56497	1.6606	1.5915
RC301	0.85517	0.79382	0.55839	1.7227	1.6236
WN2001	0.86309	0.81987	0.56443	1.7579	1.6342
WN2002	0.8328	0.81689	0.56391	1.6714	1.6153
WN2033	0.83766	0.76449	0.58182	1.6315	1.4961
XZ1513	0.88136	0.85556	0.52547	1.8426	1.807
XZ1514	0.86377	0.89107	0.56642	1.6475	1.6995
XZ1516	0.68039	0.75519	0.51888	1.4546	1.6499
