strain	cluster	mw	sw
AB1	0.44	0.04	0.16
BRC20067	0.08	0.04	0.08
CB4852	0.16	0.04	0.2
CB4854	0.4	0.08	0.8
CB4856	0.64	0.16	1.68
CB4932	0.24	0.04	0.36
CX11254	0.28	0.04	0.12
CX11262	0.48	0.12	1.32
CX11264	0.32	0.04	0.16
CX11271	0.44	0.04	0.36
CX11276	0.56	0.08	0.16
CX11285	0.48	0.08	1.32
CX11292	4	0.08	0.44
CX11307	0.16	0.04	0.36
CX11314	0.32	0.04	0.44
CX11315	0.12	0.08	1
DL200	0.24	0.12	1.76
DL226	2	0.48	1.72
DL238	0.56	0.08	0.2
ECA246	0.04	0.04	0.16
ECA248	0.28	0.04	0.16
ECA250	4.48	0.16	1
ECA251	0.76	0.08	0.28
ECA252	0.24	0.04	0.2
ECA259	0.6	0.56	1.76
ECA348	2.48	0.04	0.2
ECA349	0.28	0.08	0.56
ECA36	0.68	0.12	1.16
ECA363	0.2	0.08	1.2
ECA372	1.2	0.12	1.32
ECA396	0.12	0.08	1.64
ED3005	0.16	0.12	1.08
ED3011	0.32	0.12	1.28
ED3012	1.36	0.08	1.52
ED3017	0.44	0.04	0.16
ED3040	1.68	0.12	1.4
ED3046	0.16	0.08	0.16
ED3048	1.12	0.12	1.08
ED3049	0.28	0.04	0.2
ED3052	1.28	0.4	1.68
ED3073	0.44	0.04	0.12
ED3077	0.76	0.04	0.24
EG4347	0.16	0.04	0.16
EG4349	1.88	0.08	0.32
EG4724	0.4	0.04	0.32
EG4725	0.24	0.08	0.32
EG4946	0.32	0.32	1.48
GXW1	0.24	0.16	1.32
JT11398	0.96	0.08	0.6
JU1088	0.52	0.04	0.24
JU1172	0.44	0.08	1.4
JU1200	2.4	0.04	0.36
JU1212	0.12	0.04	0.24
JU1213	0.48	0.08	0.56
JU1242	1.12	0.08	0.96
JU1246	2	0.12	1.96
JU1395	0.36	0.84	2.08
JU1400	0.76	0.08	0.4
JU1409	0.24	0.08	0.76
JU1440	0.48	0.04	0.12
JU1491	0.2	0.04	0.28
JU1530	0.68	0.08	1.2
JU1543	2	0.08	0.28
JU1568	0.2	0.04	0.04
JU1580	0.96	0.08	1
JU1581	0.72	0.12	1.52
JU1586	0.32	0.08	1.12
JU1652	1.4	0.16	1.36
JU1793	0.6	0.04	0.16
JU1808	1.56	0.08	0.24
JU1896	0.2	0.08	0.6
JU2001	0.48	0.04	0.12
JU2007	0.72	0.08	0.52
JU2131	0.4	0.04	0.48
JU2141	0.2	0.08	1.48
JU2234	0.96	0.32	1.68
JU2464	0.12	0.04	0.12
JU2466	0.4	0.04	0.16
JU2513	0.4	0.04	0.2
JU2519	0.36	0.04	0.28
JU2522	0.96	0.08	0.6
JU2526	0.48	0.08	1.16
JU2534	0.16	0.12	1.92
JU2565	0.84	0.08	0.28
JU2566	0.28	0.12	1.2
JU2578	1.8	0.08	0.12
JU258	0.52	0.08	1.04
JU2587	1	0.08	0.12
JU2593	1.92	0.16	1.36
JU2600	0.24	0.08	1.44
JU2800	0.84	0.08	1.08
JU2862	0.76	0.24	2
JU2866	0.8	0.04	0.56
JU2878	0.12	0.08	0.68
JU2879	0.24	0.04	0.4
JU2906	1.84	0.04	0.48
JU310	0.32	0.04	0.32
JU311	0.88	0.12	1.4
JU3125	0.96	0.08	0.44
JU3127	0.56	0.52	2.36
JU3134	0.56	0.16	1.56
JU3135	1.28	0.44	1.92
JU3137	0.56	0.16	1.64
JU3140	0.6	0.08	1.32
JU323	0.52	0.08	0.96
JU346	0.16	0.04	0.28
JU360	5.84	0.48	2.36
JU367	0.68	0.12	0.28
JU393	0.52	0.12	1.4
JU394	0.2	0.04	0.16
JU397	0.52	0.12	1.44
JU406	0.04	0.04	0.48
JU440	0.24	0.08	1
JU561	1.44	0.16	1.4
JU642	0.44	0.12	1.44
JU751	0.44	0.04	0.16
JU774	0.44	0.04	0.32
JU775	0.56	0.04	0.24
JU778	0.96	0.12	1.16
JU782	0.28	0.08	0.4
JU792	0.2	0.08	0.68
JU830	0.8	0.08	0.96
JU847	0.76	0.04	0.64
KR314	0.24	0.04	0.16
LKC34	0.64	0.04	0.2
LSJ1	0.56	0.2	2.04
MY1	0.2	0.08	0.52
MY10	0.12	0.04	0.2
MY16	0.96	0.08	0.32
MY18	0.12	0.04	0.04
MY2212	0.44	0.12	0.96
MY23	0.96	0.12	1.36
MY2453	0.84	0.16	1.6
MY2530	0.32	0.12	2
MY2535	0.88	0.16	1.44
MY2573	0.72	0.08	0.36
MY2693	3.36	0.24	1.4
MY2741	1.04	0.48	1.8
MY679	1.24	0.12	1.6
MY920	0.16	0.04	0.2
N2	0.12	0.04	0.12
NIC1	0.4	0.08	0.52
NIC1107	0.2	0.08	0.32
NIC166	12	0.04	1.12
NIC195	0.16	0.08	0.96
NIC199	0.6	0.08	0.16
NIC2	1.12	0.08	0.32
NIC207	0.4	0.08	1.4
NIC231	0.36	0.6	2.32
NIC236	1.72	0.28	1.76
NIC242	0.36	0.04	0.28
NIC251	0.16	0.04	0.16
NIC252	0.48	0.04	0.24
NIC255	1.44	0.04	0.12
NIC256	0.16	0.04	0.16
NIC258	0.04	0.08	0.44
NIC259	0.36	0.12	1.56
NIC260	0.32	0.04	0.28
NIC261	0.6	0.08	0.08
NIC262	0.32	0.08	1.68
NIC265	1.08	0.04	0.12
NIC266	0.68	0.04	0.6
NIC267	2.48	1.2	1.8
NIC268	2.32	0.08	1.28
NIC269	0.4	0.08	1.2
NIC271	1	0.08	1.28
NIC272	1.8	0.04	0.08
NIC274	0.32	0.2	1.4
