refName	refCode	metaName	metaCode	metaBaseName
NIC1107	08	NIC1107	8	13.2_1_nic1107_08_Set0_Pos0_Ch5_23022018_092957.hdf5
JU3125	04	JU3125	4	13.2_3_ju3125_04_Set0_Pos0_Ch5_23022018_111837.hdf5
JU3125	04	JU3125	4	13.2_3_ju3125_04_Set0_Pos0_Ch6_23022018_111837.hdf5
JU3125	04	JU3125	4	13.3_2_ju3125_04_Set0_Pos0_Ch1_24022018_104642.hdf5
JU3125	04	JU3125	4	13.3_2_ju3125_04_Set0_Pos0_Ch2_24022018_104642.hdf5
MY2453	0F	MY2453	OF	13.3_5_my2453_of_Set0_Pos0_Ch1_24022018_134311.hdf5
MY2453	0F	MY2453	OF	13.3_5_my2453_of_Set0_Pos0_Ch2_24022018_134311.hdf5
NIC1107	08	NIC1107	8	13.3_7_nic1107_08_ju1543_59_Set0_Pos0_Ch1_24022018_160718.hdf5
NIC1107	08	NIC1107	8	13.3_3_nic1107_08_Set0_Pos0_Ch3_24022018_113502.hdf5
NIC1107	08	NIC1107	8	13.3_3_nic1107_08_Set0_Pos0_Ch4_24022018_113502.hdf5
NIC1107	08	NIC1107	8	13.3_9_nic1107_08_ju3125_04_Set0_Pos0_Ch3_24022018_192945.hdf5
JU3125	04	JU3125	4	13.3_9_nic1107_08_ju3125_04_Set0_Pos0_Ch4_24022018_192945.hdf5
NIC1107	08	NIC1107	8	13.3_8_nic1107_08_ju2593_23_Set0_Pos0_Ch5_24022018_171418.hdf5
JU2866	05	JU2866	5	14.1_1_ju2866_05_Set0_Pos0_Ch5_25022018_091333.hdf5
JU2866	05	JU2866	5	14.1_1_ju2866_05_Set0_Pos0_Ch6_25022018_091333.hdf5
JU2866	05	JU2866	5	14.2_5_ju2866_05_Set0_Pos0_Ch1_26022018_155125.hdf5
JU2866	05	JU2866	5	14.2_5_ju2866_05_Set0_Pos0_Ch2_26022018_155125.hdf5
JU2866	05	JU2866	5	14.2_6_ju2862_24_ju2866_05_Set0_Pos0_Ch6_26022018_164513.hdf5
JU2866	05	JU2866	5	14.3_1_ju2866_05_Set0_Pos0_Ch4_27022018_101224.hdf5
JU2866	05	JU2866	5	14.3_1_ju2866_05_Set0_Pos0_Ch3_27022018_101224.hdf5
JU2866	05	JU2866	5	14.3_5_ju2866_05_nic195_f0_Set0_Pos0_Ch3_27022018_145053.hdf5
JU2866	05	JU2866	5	14.3_8_none_ju2866_05_Set0_Pos0_Ch4_27022018_182030.hdf5
JU2866	05	JU2866	5	14.3_6_ju2866_05_ju1793_60_Set0_Pos0_Ch5_27022018_154818.hdf5
NIC513	49	NIC513	89	15.2_5_xz1516_29_nic513_89_Set0_Pos0_Ch2_04032018_144818.hdf5
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
