strain,angular_velocity_head_tip_w_backward_IQR_medianDiff,angular_velocity_head_tip_w_backward_abs_10th_medianDiff,angular_velocity_head_tip_w_backward_abs_50th_medianDiff,d_angular_velocity_head_tip_w_backward_10th_medianDiff,d_angular_velocity_head_tip_w_backward_90th_medianDiff,d_angular_velocity_head_tip_w_backward_IQR_medianDiff,d_angular_velocity_head_tip_w_backward_abs_10th_medianDiff,d_angular_velocity_head_tip_w_backward_abs_50th_medianDiff,d_blob_compactness_w_backward_50th_medianDiff,d_curvature_std_hips_w_backward_50th_medianDiff,d_dist_from_food_edge_w_backward_10th_medianDiff,d_length_w_backward_10th_medianDiff,d_length_w_backward_50th_medianDiff,d_length_w_backward_IQR_medianDiff,d_path_curvature_body_w_backward_10th_medianDiff,d_path_curvature_body_w_backward_90th_medianDiff,d_path_curvature_body_w_backward_IQR_medianDiff,d_path_curvature_body_w_backward_abs_10th_medianDiff,d_path_curvature_body_w_backward_abs_50th_medianDiff,d_path_curvature_body_w_backward_abs_90th_medianDiff,d_path_curvature_body_w_backward_abs_IQR_medianDiff,d_path_curvature_head_w_backward_10th_medianDiff,d_path_curvature_head_w_backward_90th_medianDiff,d_path_curvature_head_w_backward_IQR_medianDiff,d_path_curvature_head_w_backward_abs_10th_medianDiff,d_path_curvature_head_w_backward_abs_50th_medianDiff,d_path_curvature_head_w_backward_abs_90th_medianDiff,d_path_curvature_head_w_backward_abs_IQR_medianDiff,d_path_curvature_midbody_w_backward_10th_medianDiff,d_path_curvature_midbody_w_backward_90th_medianDiff,d_path_curvature_midbody_w_backward_IQR_medianDiff,d_path_curvature_midbody_w_backward_abs_10th_medianDiff,d_path_curvature_midbody_w_backward_abs_50th_medianDiff,d_path_curvature_midbody_w_backward_abs_90th_medianDiff,d_path_curvature_midbody_w_backward_abs_IQR_medianDiff,d_path_curvature_tail_w_backward_10th_medianDiff,d_path_curvature_tail_w_backward_90th_medianDiff,d_path_curvature_tail_w_backward_IQR_medianDiff,d_path_curvature_tail_w_backward_abs_10th_medianDiff,d_path_curvature_tail_w_backward_abs_50th_medianDiff,d_path_curvature_tail_w_backward_abs_90th_medianDiff,d_path_curvature_tail_w_backward_abs_IQR_medianDiff,d_relative_to_head_base_angular_velocity_head_tip_w_backward_10th_medianDiff,d_relative_to_head_base_angular_velocity_head_tip_w_backward_90th_medianDiff,d_relative_to_head_base_angular_velocity_head_tip_w_backward_IQR_medianDiff,d_relative_to_head_base_angular_velocity_head_tip_w_backward_abs_10th_medianDiff,d_relative_to_head_base_angular_velocity_head_tip_w_backward_abs_50th_medianDiff,d_relative_to_head_base_angular_velocity_head_tip_w_backward_abs_90th_medianDiff,d_relative_to_head_base_angular_velocity_head_tip_w_backward_abs_IQR_medianDiff,d_relative_to_head_base_radial_velocity_head_tip_w_backward_10th_medianDiff,d_relative_to_head_base_radial_velocity_head_tip_w_backward_50th_medianDiff,d_relative_to_head_base_radial_velocity_head_tip_w_backward_90th_medianDiff,d_relative_to_head_base_radial_velocity_head_tip_w_backward_IQR_medianDiff,d_relative_to_neck_radial_velocity_head_tip_w_backward_50th_medianDiff,d_speed_head_base_w_backward_10th_medianDiff,d_speed_head_base_w_backward_50th_medianDiff,d_speed_head_base_w_backward_90th_medianDiff,d_speed_head_base_w_backward_IQR_medianDiff,d_speed_head_tip_w_backward_10th_medianDiff,d_speed_head_tip_w_backward_90th_medianDiff,d_speed_head_tip_w_backward_IQR_medianDiff,d_speed_hips_w_backward_50th_medianDiff,d_speed_hips_w_backward_IQR_medianDiff,d_speed_midbody_w_backward_10th_medianDiff,d_speed_midbody_w_backward_50th_medianDiff,d_speed_midbody_w_backward_IQR_medianDiff,d_speed_neck_w_backward_10th_medianDiff,d_speed_neck_w_backward_50th_medianDiff,d_speed_neck_w_backward_90th_medianDiff,d_speed_neck_w_backward_IQR_medianDiff,d_speed_tail_base_w_backward_50th_medianDiff,d_speed_tail_tip_w_backward_50th_medianDiff,d_speed_w_backward_50th_medianDiff,d_speed_w_backward_IQR_medianDiff,d_width_head_base_w_backward_50th_medianDiff,d_width_head_base_w_backward_90th_medianDiff,dist_from_food_edge_w_backward_90th_medianDiff,dist_from_food_edge_w_backward_IQR_medianDiff,motion_mode_backward_frequency_medianDiff,orientation_food_edge_w_backward_90th_medianDiff,orientation_food_edge_w_backward_IQR_medianDiff,path_curvature_body_w_backward_10th_medianDiff,path_curvature_body_w_backward_90th_medianDiff,path_curvature_body_w_backward_IQR_medianDiff,path_curvature_body_w_backward_abs_50th_medianDiff,path_curvature_body_w_backward_abs_90th_medianDiff,path_curvature_body_w_backward_abs_IQR_medianDiff,path_curvature_head_w_backward_10th_medianDiff,path_curvature_head_w_backward_90th_medianDiff,path_curvature_head_w_backward_IQR_medianDiff,path_curvature_head_w_backward_abs_10th_medianDiff,path_curvature_head_w_backward_abs_50th_medianDiff,path_curvature_head_w_backward_abs_90th_medianDiff,path_curvature_head_w_backward_abs_IQR_medianDiff,path_curvature_midbody_w_backward_10th_medianDiff,path_curvature_midbody_w_backward_90th_medianDiff,path_curvature_midbody_w_backward_IQR_medianDiff,path_curvature_midbody_w_backward_abs_50th_medianDiff,path_curvature_midbody_w_backward_abs_90th_medianDiff,path_curvature_midbody_w_backward_abs_IQR_medianDiff,path_curvature_tail_w_backward_10th_medianDiff,path_curvature_tail_w_backward_90th_medianDiff,path_curvature_tail_w_backward_IQR_medianDiff,path_curvature_tail_w_backward_abs_50th_medianDiff,path_curvature_tail_w_backward_abs_90th_medianDiff,path_curvature_tail_w_backward_abs_IQR_medianDiff,relative_to_body_radial_velocity_hips_w_backward_50th_medianDiff,relative_to_body_radial_velocity_tail_tip_w_backward_50th_medianDiff,relative_to_head_base_angular_velocity_head_tip_w_backward_10th_medianDiff,relative_to_head_base_angular_velocity_head_tip_w_backward_90th_medianDiff,relative_to_head_base_angular_velocity_head_tip_w_backward_IQR_medianDiff,relative_to_head_base_angular_velocity_head_tip_w_backward_abs_10th_medianDiff,relative_to_head_base_angular_velocity_head_tip_w_backward_abs_50th_medianDiff,relative_to_head_base_angular_velocity_head_tip_w_backward_abs_90th_medianDiff,relative_to_head_base_angular_velocity_head_tip_w_backward_abs_IQR_medianDiff,relative_to_head_base_radial_velocity_head_tip_w_backward_10th_medianDiff,relative_to_head_base_radial_velocity_head_tip_w_backward_50th_medianDiff,relative_to_head_base_radial_velocity_head_tip_w_backward_90th_medianDiff,relative_to_head_base_radial_velocity_head_tip_w_backward_IQR_medianDiff,relative_to_neck_radial_velocity_head_tip_w_backward_50th_medianDiff,speed_head_tip_w_backward_IQR_medianDiff
AB1,-0.12903,-0.012983,-0.065846,0.1205,-0.37159,-0.56036,-0.049758,-0.28077,-0.00078944,-4.6169e-05,4.2151,2.8088,1.3106,-2.2192,0.096221,-0.15086,-0.0044576,-5.5248e-05,-0.0023,-0.43433,-0.050332,0.014119,-0.0071545,-0.0010169,7.4196e-05,-0.00051481,-0.024538,-0.0033909,0.17084,-0.18647,-0.0032505,-6.52e-06,-0.0015475,-0.54703,-0.050202,0.18291,-0.10073,-0.0051847,1.7024e-05,-0.0027537,-0.82747,-0.050736,0.30162,-0.1558,-0.23105,-0.015033,-0.11691,-0.31353,-0.12288,3.9657,0.17233,-0.74897,-4.3545,2.5579,30.3735,-6.5364,-62.0396,-46.2877,56.4369,-208.8032,-71.3342,-7.69,-31.4336,22.9696,-6.8473,-30.0096,28.7302,-5.8849,-49.885,-39.0257,-7.4753,-6.0493,-5.3993,-26.7822,-0.59071,-2.6799,1349.1225,455.9424,-0.0083047,1.0982,24.6832,0.015639,-0.030229,-0.00084965,-0.00016135,-0.075279,-0.005396,0.00050683,-0.00042818,0.00030742,0.00015435,0.000199,0.00082781,-0.00027702,0.0061664,-0.019342,-0.0005688,-0.00022508,-0.17153,-0.0053562,0.012248,-0.010524,0.00087311,0.00045788,-0.13292,-0.0033377,0.62968,1.1467,0.052693,0.0084883,-0.0047174,0.0040799,-0.0017217,-0.076684,-0.03208,1.2213,0.35054,-0.047955,-0.75915,0.92409,-3.4646
BRC20067,-0.21419,-0.028351,-0.10875,0.44993,-0.40817,-1.1191,-0.16011,-0.55618,-0.00043168,-3.8345e-06,-22.825,3.3181,1.0488,-1.1625,0.34831,-0.35399,-0.010551,-0.00017802,-0.0052701,-1.0085,-0.1597,0.013255,-0.022396,-0.0042336,-0.00039154,-0.0021232,-0.060291,-0.0094209,0.39863,-0.50838,-0.010853,-0.00031607,-0.0053879,-1.3731,-0.1771,0.44816,-0.44953,-0.01154,-0.00039643,-0.0056542,-1.6229,-0.20215,0.21951,-0.27351,-0.39144,-0.042093,-0.197,-0.21604,-0.1289,1.4979,0.66444,-1.2765,-2.7583,3.9004,11.9353,-8.5994,-3.8771,-7.3528,25.7834,-71.1676,-53.8222,-7.669,6.9442,-1.5949,-8.143,3.9015,4.9487,-8.1446,-1.7694,-1.4097,-7.4203,-6.497,-8.4383,5.6447,-0.1249,-1.4999,1120.1085,922.1799,-0.012836,6.049,11.5087,0.077425,-0.021349,-0.0022084,-0.0010615,-0.22254,-0.016607,0.0059057,-0.0024626,-0.001602,-0.00012278,-0.00081087,-0.0079341,-0.0025952,0.037345,-0.03369,-0.0022367,-0.0011368,-0.29091,-0.015899,0.040619,-0.044452,-0.002045,-0.0010137,-0.29643,-0.019494,0.17,-0.19723,0.041824,-0.031762,-0.077582,-0.010211,-0.038587,-0.039156,-0.014414,0.43676,0.31326,-0.2608,-0.60423,0.70445,-34.7425
CB4852,0.064067,0.0043803,0.033668,0.59061,-0.17164,-1.1112,-0.12808,-0.55641,-0.00061071,-6.6264e-05,-35.8546,10.3342,2.0753,-5.3972,0.22068,-0.21826,-0.0057826,-0.00013118,-0.0028743,-0.81325,-0.084421,0.045766,-0.042914,-0.00772,-0.00057609,-0.0038607,-0.15648,-0.024011,0.25079,-0.24811,-0.0069616,-0.00022289,-0.0034796,-1.1504,-0.092173,0.32789,-0.21943,-0.0077715,-0.00028271,-0.0038674,-0.82615,-0.12051,0.52108,-0.48772,-0.60088,-0.067497,-0.3004,-0.5301,-0.32259,4.3566,0.52083,-6.4496,-4.4874,-0.53119,29.9532,-10.2083,-45.3881,-40.8324,36.9217,-133.1551,-88.4681,-10.9915,5.1198,1.0916,-9.7337,-7.2926,17.7307,-10.1415,-39.4349,-25.828,-10.6555,-8.1482,-9.1417,-10.6595,-0.36553,-2.6917,378.999,1061.9178,-0.0067238,-1.3414,30.5846,0.044605,-0.00886,-0.0015187,-0.00052047,-0.17742,-0.01182,0.0075752,-0.0076135,-0.002539,-0.00029465,-0.001351,-0.021651,-0.00445,0.037023,-0.016563,-0.0012303,-0.00057893,-0.18807,-0.01098,0.04215,-0.041594,-0.0044902,-0.0022215,-0.24295,-0.020054,0.56322,1.6371,0.021036,-0.032251,0.016177,-0.0012262,0.0079729,-0.047174,-0.013727,1.3306,0.47944,-0.58178,-0.80781,0.39312,-5.1485
CB4854,-0.37168,-0.036614,-0.18353,0.64733,-0.43659,-1.0695,-0.10124,-0.52819,-0.00092355,-5.4863e-05,-25.2877,2.4607,0.70705,-4.0361,0.51044,-0.49202,-0.0062861,-0.00010943,-0.0031292,-2.1598,-0.21283,0.032987,-0.030597,-0.0043637,-0.00061276,-0.0021777,-0.19003,-0.01743,0.70744,-0.65534,-0.0082038,-0.00018871,-0.0040667,-2.5843,-0.27577,0.67888,-0.78235,-0.013718,-0.00041125,-0.0067538,-2.3676,-0.32005,0.23929,-0.48735,-0.49589,-0.047422,-0.24678,-0.36155,-0.22662,6.1695,1.368,-3.8129,-5.5624,8.11,58.7648,-16.0112,-44.6888,-71.0744,74.2629,-132.6589,-101.5607,-20.9548,-59.271,51.6651,-20.5346,-55.1366,52.6516,-16.6669,-38.3888,-68.8107,-19.8325,-20.4509,-18.7374,-60.5961,-0.65618,-3.5958,1890.4471,525.6805,-0.019872,10.7355,15.4777,0.019019,-0.028495,-0.0012822,-0.00063781,-0.27405,-0.0083267,0.0031299,-0.0057848,-0.0010472,-0.00016506,-0.00046987,-0.01564,-0.0026648,0.022068,-0.031184,-0.0013027,-0.00068308,-0.34264,-0.0095316,0.039629,-0.040814,-0.0020107,-0.0010039,-0.43951,-0.021055,0.34372,0.75427,0.040278,-0.084278,-0.1134,-0.0087853,-0.057326,-0.07824,-0.047829,1.8222,0.2889,-0.97781,-1.2835,0.79092,-14.535
CB4856,-0.40835,-0.048053,-0.20294,1.3144,-1.1351,-1.676,-0.17426,-0.8572,-0.00064913,-4.8957e-05,-33.5208,7.6897,1.1411,-5.1047,0.55302,-0.52194,-0.0056011,-0.00013591,-0.0027485,-2.0547,-0.166,0.020025,-0.024196,-0.0048113,-0.00061405,-0.0024123,-0.10399,-0.0094207,0.53017,-0.54251,-0.0062421,-0.00037313,-0.0030286,-2.4989,-0.16031,0.70096,-0.60888,-0.008782,-0.0006179,-0.004433,-2.1425,-0.20823,0.53671,-0.57047,-0.6625,-0.068927,-0.33384,-0.5892,-0.35103,8.0086,1.6409,-7.4481,-7.4983,7.4533,83.0705,-12.5088,-89.2766,-90.247,88.8342,-266.8496,-104.4403,-14.5049,-65.0233,65.5074,-13.5972,-70.3624,76.6037,-10.885,-74.8368,-82.5666,-12.7537,-11.5928,-13.0842,-76.3118,-0.54619,-3.037,1238.2889,727.4411,0.00057192,9.3778,14.2324,0.022503,-0.024444,-0.00093168,-0.00043193,-0.34997,-0.010205,0.0036963,-0.0034315,-0.00083507,-0.00011054,-0.00041972,-0.012402,-0.0020998,0.019723,-0.019029,-0.00083471,-0.00039745,-0.32042,-0.0089118,0.024684,-0.026027,-0.0014098,-0.00069204,-0.42117,-0.010438,0.54507,0.92312,0.10904,-0.12803,-0.16342,-0.015868,-0.081461,-0.12115,-0.066364,1.9831,0.43742,-1.025,-1.4268,1.3394,-32.2765
CB4932,-0.069372,-0.0033273,-0.034832,0.24903,0.015111,-0.70373,-0.083251,-0.35504,-0.00024522,-2.6252e-05,-38.7203,4.9861,0.57312,-3.6367,0.28058,-0.26765,-0.0040764,-0.00014724,-0.0020485,-1.608,-0.079651,0.040899,-0.036276,-0.0060496,-0.00044249,-0.0030441,-0.12246,-0.023428,0.33423,-0.30485,-0.0041827,-0.00018458,-0.002093,-1.9436,-0.094785,0.38062,-0.4606,-0.0068884,-0.00033663,-0.0033442,-1.549,-0.13736,0.04183,-0.22339,-0.4014,-0.059819,-0.20003,0.043558,-0.040355,3.0464,0.82167,-5.8098,-4.318,1.6106,19.8892,-8.3117,-7.9657,-32.3853,23.9724,-60.4839,-70.3947,-7.1334,-7.7206,11.9482,-8.8511,-19.1956,15.5663,-8.7076,-6.7915,-25.9749,-7.5335,-6.1797,-7.7014,-20.0255,-0.16168,-1.1755,1956.865,2141.8872,-0.021853,16.35,21.5404,0.015473,-0.013337,-0.0015431,-0.00072055,-0.23633,-0.0071165,0.0086244,-0.0086956,-0.0014378,-0.0001638,-0.00070266,-0.024329,-0.0050938,0.031599,-0.019767,-0.0013305,-0.00065182,-0.25156,-0.0091015,0.020003,-0.029623,-0.0020916,-0.00105,-0.33344,-0.011472,0.54688,1.3162,0.017325,-0.042344,-0.04787,-0.0075767,-0.023625,-0.022655,-0.018819,0.49388,0.17848,-0.99124,-1.0767,0.095835,-11.2151
CX11254,-0.15033,-0.013712,-0.077215,0.98602,-0.83334,-1.1755,-0.15903,-0.59005,-0.00033316,-8.0758e-05,-15.2949,2.0814,-0.29826,-2.1968,0.14383,-0.086855,-0.0033274,-0.00011048,-0.0015602,-0.26007,-0.045648,0.013417,-0.010095,-0.0019304,-0.00025884,-0.00098114,-0.051703,-0.0071432,0.12678,-0.083934,-0.0061648,-0.00025217,-0.0030694,-0.98735,-0.037742,0.26098,-0.19922,-0.009439,-0.00022383,-0.0047087,-0.89557,-0.097445,0.505,-0.57306,-0.56068,-0.048623,-0.27343,-0.56852,-0.35588,1.0384,0.23181,-1.7957,-0.47601,0.5512,35.5987,-7.5778,-1.1998,-26.7698,40.502,-28.1801,-56.9712,-8.9075,-19.2855,20.797,-7.5675,-15.8413,25.6918,-5.9367,-4.8395,-25.5499,-10.1411,-8.6384,-7.7101,-19.1664,-0.45874,-2.5329,-1360.1031,572.5259,-0.0037687,6.5775,34.4695,0.0194,-0.0064598,-0.00060989,-0.000263,-0.16773,-0.0052846,0.0037411,-0.0038558,-0.00062339,-0.00017965,-0.000337,-0.010274,-0.0025571,0.011878,-0.012305,-0.00095648,-0.00042503,-0.20866,-0.0089189,0.021444,-0.017068,-0.0019817,-0.00097446,-0.24521,-0.0095322,0.54464,1.4277,0.0011462,-0.09314,-0.049368,-0.0047573,-0.023185,-0.090383,-0.036948,-0.41385,-0.010325,-0.41514,0.1425,0.1928,-28.6106
CX11262,-0.77161,-0.061528,-0.36027,1.2073,-1.85,-2.2194,-0.19242,-1.1108,-0.00028317,7.633e-05,-7.0437,4.1376,0.61737,-10.5527,0.054963,-0.075475,-0.0025495,-0.00014494,-0.0011347,-0.23642,-0.023079,0.0060279,-0.0030593,-0.0051873,-0.00061794,-0.0023056,-0.02424,-0.0010035,0.090545,-0.014268,-0.0078573,-0.00055814,-0.0039765,-0.23702,-0.028987,0.093526,-0.17125,-0.010191,-0.00041154,-0.0052695,-0.64609,-0.033535,0.94234,-0.64348,-1.0778,-0.054873,-0.54267,-1.1384,-0.56711,10.1669,1.5445,-9.9051,-11.7386,14.5041,77.2304,-15.589,-133.4066,-90.7175,89.6721,-368.9619,-97.7774,-16.6623,-97.3557,75.8496,-16.5932,-68.1671,70.796,-15.5846,-119.1638,-78.4022,-16.5847,-16.4383,-15.604,-69.5203,-0.41297,-1.4106,275.1217,-936.0776,0.010675,18.7196,1.4043,0.0032583,-0.026536,-0.0008888,-0.00040412,-0.063892,-0.0048481,-0.0023722,-0.0011763,-7.4394e-06,-7.0507e-05,-2.6859e-06,0.0026737,4.386e-05,0.010605,-0.0011629,-0.0014429,-0.00072808,-0.046696,-0.0050646,0.019707,-0.012396,-0.000499,-0.00031639,-0.11835,-0.005212,-0.26211,-0.24728,0.22086,-0.16497,-0.26556,-0.025894,-0.13211,-0.21447,-0.11911,2.8111,0.18399,-1.9791,-1.2389,1.4069,-46.0545
CX11264,-0.16069,-0.022387,-0.085924,0.51635,-0.61311,-1.005,-0.12184,-0.50051,-0.00051325,-6.6029e-06,-1.3452,3.1637,0.62744,-2.3557,0.052832,-0.036057,-0.0023121,-0.00010052,-0.0011529,-0.5869,-0.014697,0.0076712,-0.01558,-0.0032386,-0.00044444,-0.0016667,-0.029586,-0.0059556,0.044476,-0.067965,-0.003945,-0.00017096,-0.0020137,-0.60338,-0.015465,0.087734,-0.077298,-0.0064808,-0.00031838,-0.0033682,-0.51968,-0.038002,0.32406,-0.36268,-0.36223,-0.043128,-0.1802,-0.40925,-0.22107,2.575,0.087785,-1.3412,-1.8468,1.9526,11.2112,0.64022,-17.93,-9.0649,47.6178,-94.2513,-53.938,-0.040359,-4.8148,-3.3061,0.16225,8.8598,0.16138,-1.3329,-15.0309,2.2859,0.89635,2.4754,-0.5835,12.2697,-0.76329,-5.033,1542.1002,822.7954,0.0049836,-2.1912,15.5683,-1.814e-05,0.0023003,-0.0019476,-0.00061832,-0.03618,-0.0039436,0.0011788,-0.0010893,-0.00021275,-5.825e-05,-0.00018044,-0.008103,-0.0019729,0.0024732,-0.0023077,-0.0012292,-0.00060086,-0.053526,-0.0034497,0.0067337,0.0024069,-0.00062765,-0.00035768,-0.050765,-0.0028577,0.20064,-0.1441,0.022257,-0.0067244,-0.0085968,-0.0026903,-0.0033275,-0.0021174,-0.010199,0.50111,0.098735,-0.23423,-0.32818,1.5158,-24.5961
CX11271,0.025961,0.0030828,0.012011,0.45405,-0.44862,-0.89476,-0.0891,-0.44557,-0.00091046,-9.2855e-05,-45.8092,16.4448,2.4784,-9.0418,0.59042,-0.45147,-0.0062534,-0.00012636,-0.003061,-2.6511,-0.15041,0.041586,-0.048195,-0.0072379,-0.00041531,-0.0035367,-0.21901,-0.025535,0.58224,-0.48845,-0.0085881,-0.00021485,-0.0042928,-3.2941,-0.16681,0.56284,-0.63667,-0.012562,-0.00034038,-0.0062009,-3.4051,-0.18492,0.6598,-0.55536,-0.61712,-0.044358,-0.30679,-0.70574,-0.42398,9.9764,1.4014,-8.0293,-7.531,2.685,144.7248,-18.9091,-152.4991,-151.343,150.0172,-247.4482,-188.9646,-16.5765,-95.388,107.5482,-16.4918,-110.4508,130.4779,-17.9102,-142.443,-139.0856,-17.3658,-15.4917,-16.2145,-112.6752,-0.71542,-4.4099,1326.2183,1205.6704,-0.0060058,18.9667,26.3659,0.027239,-0.040679,-0.00048511,-0.00022563,-0.37441,-0.0077715,0.0074976,-0.0083731,-0.0020809,-0.00017056,-0.001048,-0.02033,-0.0050679,0.016612,-0.044064,-0.00088821,-0.0004376,-0.37882,-0.0080185,0.053339,-0.054655,-0.0010572,-0.00053144,-0.47987,-0.018338,0.62269,1.0712,0.063781,-0.050551,-0.029821,0.00032369,-0.015535,-0.10832,-0.050964,2.5922,0.58061,-0.74118,-1.5409,1.4232,-39.0152
