strain,d_curvature_std_hips_w_backward_50th_medianDiff_all,d_path_curvature_body_IQR_medianDiff_all,d_path_curvature_body_abs_10th_medianDiff_all,d_path_curvature_body_abs_50th_medianDiff_all,d_path_curvature_body_norm_abs_10th_medianDiff_all,d_path_curvature_body_w_backward_10th_medianDiff_all,d_path_curvature_body_w_backward_90th_medianDiff_all,d_path_curvature_body_w_backward_IQR_medianDiff_all,d_path_curvature_body_w_backward_abs_10th_medianDiff_all,d_path_curvature_body_w_backward_abs_50th_medianDiff_all,d_path_curvature_body_w_backward_abs_90th_medianDiff_all,d_path_curvature_body_w_backward_abs_IQR_medianDiff_all,d_path_curvature_body_w_forward_abs_10th_medianDiff_all,d_path_curvature_head_IQR_medianDiff_all,d_path_curvature_head_abs_10th_medianDiff_all,d_path_curvature_head_abs_50th_medianDiff_all,d_path_curvature_head_abs_IQR_medianDiff_all,d_path_curvature_head_norm_abs_10th_medianDiff_all,d_path_curvature_head_w_backward_10th_medianDiff_all,d_path_curvature_head_w_backward_90th_medianDiff_all,d_path_curvature_head_w_backward_IQR_medianDiff_all,d_path_curvature_head_w_backward_abs_10th_medianDiff_all,d_path_curvature_head_w_backward_abs_50th_medianDiff_all,d_path_curvature_head_w_backward_abs_90th_medianDiff_all,d_path_curvature_head_w_backward_abs_IQR_medianDiff_all,d_path_curvature_head_w_forward_abs_10th_medianDiff_all,d_path_curvature_head_w_paused_10th_medianDiff_all,d_path_curvature_midbody_IQR_medianDiff_all,d_path_curvature_midbody_abs_10th_medianDiff_all,d_path_curvature_midbody_abs_50th_medianDiff_all,d_path_curvature_midbody_norm_abs_10th_medianDiff_all,d_path_curvature_midbody_w_backward_10th_medianDiff_all,d_path_curvature_midbody_w_backward_90th_medianDiff_all,d_path_curvature_midbody_w_backward_IQR_medianDiff_all,d_path_curvature_midbody_w_backward_abs_10th_medianDiff_all,d_path_curvature_midbody_w_backward_abs_50th_medianDiff_all,d_path_curvature_midbody_w_backward_abs_90th_medianDiff_all,d_path_curvature_midbody_w_backward_abs_IQR_medianDiff_all,d_path_curvature_midbody_w_paused_IQR_medianDiff_all,d_path_curvature_tail_IQR_medianDiff_all,d_path_curvature_tail_abs_10th_medianDiff_all,d_path_curvature_tail_abs_50th_medianDiff_all,d_path_curvature_tail_norm_abs_10th_medianDiff_all,d_path_curvature_tail_w_backward_10th_medianDiff_all,d_path_curvature_tail_w_backward_90th_medianDiff_all,d_path_curvature_tail_w_backward_IQR_medianDiff_all,d_path_curvature_tail_w_backward_abs_10th_medianDiff_all,d_path_curvature_tail_w_backward_abs_50th_medianDiff_all,d_path_curvature_tail_w_backward_abs_90th_medianDiff_all,d_path_curvature_tail_w_backward_abs_IQR_medianDiff_all,d_path_curvature_tail_w_forward_abs_10th_medianDiff_all,path_curvature_body_10th_medianDiff_all,path_curvature_body_50th_medianDiff_all,path_curvature_body_abs_50th_medianDiff_all,path_curvature_body_abs_90th_medianDiff_all,path_curvature_body_w_backward_10th_medianDiff_all,path_curvature_body_w_backward_90th_medianDiff_all,path_curvature_body_w_backward_IQR_medianDiff_all,path_curvature_body_w_backward_abs_50th_medianDiff_all,path_curvature_body_w_backward_abs_90th_medianDiff_all,path_curvature_body_w_backward_abs_IQR_medianDiff_all,path_curvature_body_w_paused_50th_medianDiff_all,path_curvature_body_w_paused_abs_50th_medianDiff_all,path_curvature_head_10th_medianDiff_all,path_curvature_head_50th_medianDiff_all,path_curvature_head_abs_90th_medianDiff_all,path_curvature_head_w_backward_10th_medianDiff_all,path_curvature_head_w_backward_90th_medianDiff_all,path_curvature_head_w_backward_IQR_medianDiff_all,path_curvature_head_w_backward_abs_10th_medianDiff_all,path_curvature_head_w_backward_abs_50th_medianDiff_all,path_curvature_head_w_backward_abs_90th_medianDiff_all,path_curvature_head_w_backward_abs_IQR_medianDiff_all,path_curvature_head_w_paused_50th_medianDiff_all,path_curvature_head_w_paused_abs_50th_medianDiff_all,path_curvature_midbody_10th_medianDiff_all,path_curvature_midbody_50th_medianDiff_all,path_curvature_midbody_abs_50th_medianDiff_all,path_curvature_midbody_abs_90th_medianDiff_all,path_curvature_midbody_w_backward_10th_medianDiff_all,path_curvature_midbody_w_backward_90th_medianDiff_all,path_curvature_midbody_w_backward_IQR_medianDiff_all,path_curvature_midbody_w_backward_abs_50th_medianDiff_all,path_curvature_midbody_w_backward_abs_90th_medianDiff_all,path_curvature_midbody_w_backward_abs_IQR_medianDiff_all,path_curvature_midbody_w_paused_50th_medianDiff_all,path_curvature_midbody_w_paused_abs_50th_medianDiff_all,path_curvature_tail_10th_medianDiff_all,path_curvature_tail_50th_medianDiff_all,path_curvature_tail_abs_50th_medianDiff_all,path_curvature_tail_abs_90th_medianDiff_all,path_curvature_tail_w_backward_10th_medianDiff_all,path_curvature_tail_w_backward_90th_medianDiff_all,path_curvature_tail_w_backward_IQR_medianDiff_all,path_curvature_tail_w_backward_abs_50th_medianDiff_all,path_curvature_tail_w_backward_abs_90th_medianDiff_all,path_curvature_tail_w_backward_abs_IQR_medianDiff_all,path_curvature_tail_w_paused_10th_medianDiff_all,path_curvature_tail_w_paused_50th_medianDiff_all,path_curvature_tail_w_paused_abs_50th_medianDiff_all,path_curvature_tail_w_paused_abs_90th_medianDiff_all
ED3077,-4.2503e-05,-0.00054449,-0.00012722,-0.00027239,-0.036519,0.46558,-0.47645,-0.0079386,-0.00016409,-0.0039824,-1.5066,-0.19675,-2.4327e-05,-0.0059195,-0.0014793,-0.0029597,0.0028334,-0.83409,0.03274,-0.033038,-0.005332,-0.00070884,-0.0026919,-0.14633,-0.015059,-0.00076503,0.14135,-0.0027091,-0.00041069,-0.0013552,-0.21975,0.4647,-0.46073,-0.0091724,-0.00034286,-0.0045881,-2.4563,-0.19606,-0.0076555,-0.0036624,-0.00076905,-0.0018327,-0.45025,0.65205,-0.44072,-0.012142,-0.00063218,-0.0060688,-1.1063,-0.25224,-0.00034537,-9.223372036854776e+18,-0.00020378,0.00049974,9.223372036854776e+18,0.047793,-0.036397,-0.00032012,-0.00012577,-0.3073,-0.015803,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.000994,9.223372036854776e+18,0.0036734,-0.003943,-0.0011925,-0.00017351,-0.00058513,-0.011203,-0.0022503,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.0004592,0.00053256,9.223372036854776e+18,0.019924,-0.0609,-0.0010454,-0.00057082,-0.21791,-0.015308,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.00080488,0.00076552,9.223372036854776e+18,0.061661,-0.052264,-0.0013912,-0.00067072,-0.31197,-0.01988,-9.223372036854776e+18,-9.223372036854776e+18,9.223372036854776e+18,9.223372036854776e+18
EG4347,-0.00010247,-0.00051699,-0.00010465,-0.00025893,-0.032073,0.32951,-0.31901,-0.0029917,-3.2325e-05,-0.0014816,-1.4388,-0.11424,-2.0885e-05,-0.003694,-0.00096529,-0.0018441,0.0019435,-0.4856,0.022739,-0.018514,-0.0034975,-0.00020127,-0.001754,-0.069462,-0.011208,-0.00031275,0.032763,-0.0013626,-0.00020615,-0.00068144,-0.051762,0.46813,-0.34904,-0.0045844,-3.4555e-05,-0.002318,-1.6834,-0.12095,-0.0029936,-0.002524,-0.00043165,-0.0012639,-0.15525,0.3407,-0.35554,-0.0071175,-0.00019118,-0.0035167,-1.5519,-0.13837,-0.00011852,-9.223372036854776e+18,-0.00025461,0.00042239,9.223372036854776e+18,0.015884,-0.017183,-0.00084088,-0.00037958,-0.24383,-0.0051542,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.0011342,9.223372036854776e+18,0.0040868,-0.0056125,-0.002204,1.6195e-06,-0.0010827,-0.010487,-0.0029965,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.00052342,0.00061218,9.223372036854776e+18,0.018722,-0.024678,-0.00079582,-0.00036729,-0.28216,-0.0059528,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.00076214,0.00081886,9.223372036854776e+18,0.034296,-0.032674,-0.001915,-0.00089111,-0.29665,-0.011575,-9.223372036854776e+18,-9.223372036854776e+18,9.223372036854776e+18,9.223372036854776e+18
EG4349,-8.8118e-05,-0.00069579,-9.4555e-05,-0.00034783,-0.018064,0.18413,-0.18202,-0.0037164,-8.1631e-05,-0.0018473,-0.36385,-0.061301,-1.3855e-05,-0.0043395,-0.00083382,-0.0021707,2.6233e-05,-0.18384,0.012809,-0.0043614,-0.0049852,-0.0004659,-0.0024747,0.0013957,-0.0051588,-0.00011363,0.082357,-0.0011983,-0.00015998,-0.00059768,-0.030369,0.22667,-0.1715,-0.0032202,-9.7628e-05,-0.0015607,-0.93415,-0.047669,-0.0023348,-0.002253,-0.0003243,-0.0011258,-0.062349,0.16534,-0.26714,-0.0060932,-0.00016024,-0.0030089,-0.13145,-0.08086,-2.9481e-05,-9.223372036854776e+18,-0.00034635,0.00025615,9.223372036854776e+18,0.027029,-0.022211,-0.00094359,-0.0004666,-0.089641,-0.007169,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.0018848,9.223372036854776e+18,0.0031914,-0.007739,-0.0025989,-0.00016466,-0.0012288,-0.0071754,-0.0039017,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.00068356,0.00059173,9.223372036854776e+18,0.02371,-0.0051223,-0.00065536,-0.00028455,-0.15898,-0.0068929,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.0012684,0.00073285,9.223372036854776e+18,0.026338,-0.029757,-0.0017331,-0.00082731,-0.15542,-0.013634,-9.223372036854776e+18,-9.223372036854776e+18,9.223372036854776e+18,9.223372036854776e+18
EG4724,1.0746e-06,-0.0006156,-7.2269e-05,-0.00030826,-0.010898,0.29983,-0.29388,-0.0052133,-0.0001591,-0.0026073,-1.6015,-0.091424,-1.6432e-05,-0.0023156,-0.00065026,-0.0011542,0.0015382,-0.26311,0.0056679,-0.0023456,-0.0035423,-0.00061571,-0.0017767,-0.00047627,-0.0029604,-0.00018456,0.047386,-0.0016677,-0.00013419,-0.00083268,-0.026542,0.31644,-0.37878,-0.0050412,-0.00030048,-0.0025332,-1.8164,-0.10423,-0.0014716,-0.0026609,-0.00027001,-0.0013325,-0.062598,0.46703,-0.54429,-0.0059871,-0.00050551,-0.0029908,-1.9942,-0.15871,-5.5529e-05,-9.223372036854776e+18,-0.00024375,0.00030326,9.223372036854776e+18,0.0080074,-0.018967,-0.00077775,-0.00036833,-0.29429,-0.0066169,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.0011195,9.223372036854776e+18,0.0038286,-0.00054923,-0.00076313,-0.00019471,-0.00041439,-0.0023649,-0.0011331,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.000576,0.00036521,9.223372036854776e+18,0.013874,-0.020802,-0.00079162,-0.00040371,-0.30332,-0.0069281,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.00057313,0.00063764,9.223372036854776e+18,0.037696,-0.0079134,-0.001629,-0.00073905,-0.39076,-0.010184,0,-9.223372036854776e+18,9.223372036854776e+18,0
EG4725,-5.7619e-05,-0.0004655,-0.00010852,-0.00023323,-0.040058,0.16937,-0.16296,-0.003618,-6.7067e-05,-0.0017033,-0.85246,-0.063363,-2.0526e-05,-0.0037367,-0.0010256,-0.0018576,0.00086693,-0.43273,0.013444,-0.0079232,-0.0026593,-0.00028681,-0.0013219,-0.027414,-0.0048402,-0.00030356,0.035441,-0.0011681,-0.00023703,-0.00058365,-0.081033,0.22312,-0.20808,-0.003576,-0.00011979,-0.0017776,-1.371,-0.072498,-0.0020481,-0.0015343,-0.00041283,-0.00076441,-0.15455,0.16403,-0.23755,-0.0044554,-0.00022374,-0.0021889,-0.79257,-0.074374,-6.4901e-05,-9.223372036854776e+18,-0.00026738,0.00015579,9.223372036854776e+18,0.030045,-0.0058429,-0.00087539,-0.00041083,-0.22547,-0.0061693,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.0011421,9.223372036854776e+18,0.003736,-0.0044804,-0.0011413,-1.3544e-05,-0.00055084,-0.005674,-0.0021045,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.0005114,0.00035947,9.223372036854776e+18,0.014169,-0.013992,-0.00067968,-0.00034473,-0.25315,-0.0065903,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.00082313,0.00063739,9.223372036854776e+18,0.018886,-0.020305,-0.00078744,-0.00041342,-0.17539,-0.0080397,-4.611686018427388e+18,-9.223372036854776e+18,9.223372036854776e+18,4.611686018427388e+18
EG4946,-5.5353e-05,-0.00048398,-0.0001062,-0.00024194,-0.017348,0.53163,-0.43082,-0.0062294,-9.8373e-05,-0.002929,-1.1432,-0.17065,-1.957e-05,-0.0037949,-0.00097214,-0.0018936,0.0013079,-0.22696,0.03771,-0.044373,-0.0065325,-0.00041173,-0.0032972,-0.16542,-0.022317,-0.00015284,0.013397,-0.0012021,-0.00024818,-0.00060103,-0.025185,0.54498,-0.38965,-0.0065325,-0.00015011,-0.0033189,-1.4799,-0.13595,-0.00020306,-0.0021259,-0.00049785,-0.0010617,-0.095527,0.45945,-0.54321,-0.008992,-0.00025351,-0.0045194,-1.5562,-0.17868,-8.7306e-05,-9.223372036854776e+18,-0.00017416,0.00018249,9.223372036854776e+18,0.027834,-0.029723,-0.0011358,-0.00056767,-0.36796,-0.012944,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.00084004,9.223372036854776e+18,0.0078741,-0.0147,-0.0018172,-0.00011317,-0.0009409,-0.02987,-0.0070698,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.00045118,0.00038931,9.223372036854776e+18,0.026124,-0.026454,-0.0015416,-0.00069966,-0.31401,-0.011428,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.00066625,0.00064882,9.223372036854776e+18,0.033386,-0.055521,-0.0023772,-0.0012492,-0.42347,-0.018912,-9.223372036854776e+18,-9.223372036854776e+18,9.223372036854776e+18,9.223372036854776e+18
GXW1,-2.0126e-05,-0.00067158,-0.00013336,-0.00033563,-0.031625,0.6254,-0.64242,-0.0061609,-0.00014808,-0.0029525,-2.797,-0.20765,-2.4113e-05,-0.0061344,-0.0013918,-0.0030297,0.0022156,-0.65268,0.045913,-0.02263,-0.0062524,-0.00072605,-0.0030917,-0.16995,-0.017801,-0.00045414,0.083777,-0.0026233,-0.00034318,-0.0013083,-0.12835,0.64461,-0.76488,-0.0062849,-0.00027533,-0.0031473,-3.0536,-0.20259,-0.00427,-0.005058,-0.00074232,-0.0025266,-0.38421,0.71534,-0.72519,-0.012712,-0.00052954,-0.0062417,-2.6959,-0.27343,-0.00025766,-9.223372036854776e+18,-0.00028706,0.00054289,9.223372036854776e+18,0.032809,-0.02861,-0.00060299,-0.0002797,-0.48527,-0.0076735,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.001601,9.223372036854776e+18,0.0061658,-0.0075278,-0.0016351,-0.00015099,-0.00080681,-0.02373,-0.0043479,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.00060026,0.00065924,9.223372036854776e+18,0.028314,-0.015821,-0.0010927,-0.00051541,-0.42996,-0.0074049,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.0009599,0.0008863,9.223372036854776e+18,0.018806,-0.041272,-0.0016512,-0.00082607,-0.46601,-0.0094974,-9.223372036854776e+18,-9.223372036854776e+18,9.223372036854776e+18,9.223372036854776e+18
JT11398,-5.9814e-05,-0.00062933,-8.6408e-05,-0.00031417,-0.020564,0.28357,-0.29071,-0.0040184,-8.9513e-05,-0.0020092,-1.111,-0.090663,-1.8269e-05,-0.0029439,-0.00063906,-0.0014717,0.00088374,-0.13405,0.021025,-0.02726,-0.0043251,-0.00021794,-0.0021535,-0.086698,-0.013877,-0.00011714,0.0024261,-0.0014833,-0.00020038,-0.00074177,-0.033317,0.27847,-0.30837,-0.0046114,-0.00011505,-0.002228,-1.0717,-0.098648,0,-0.0026511,-0.00036689,-0.0013276,-0.070515,0.48848,-0.37389,-0.0057941,-0.00020255,-0.0028766,-1.0935,-0.16803,-7.3526e-05,-9.223372036854776e+18,-0.00032193,0.00026984,9.223372036854776e+18,0.0067177,-0.022961,-0.00083809,-0.00040709,-0.16167,-0.0070091,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.0012628,9.223372036854776e+18,0.0053031,-0.0025139,-0.0010918,-6.9407e-05,-0.00065313,-0.010373,-0.0031447,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.00069885,0.00055559,9.223372036854776e+18,0.0066316,-0.018857,-0.00099071,-0.00040231,-0.16939,-0.0063935,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.0011733,0.00073076,9.223372036854776e+18,0.032334,-0.027473,-0.00085316,-0.00041462,-0.31548,-0.0094267,0,-9.223372036854776e+18,9.223372036854776e+18,0
JU1088,-3.5481e-05,-0.00054398,-0.00012551,-0.00027268,-0.034494,0.29257,-0.30741,-0.0044558,-6.4029e-05,-0.0022228,-0.93287,-0.09932,-3.2273e-05,-0.0027351,-0.00087844,-0.001369,0.0014283,-0.26143,0.0049528,-0.023743,-0.002857,-0.00034971,-0.0013707,-0.055342,-0.0071594,-0.00036062,0.081942,-0.00093389,-0.00024283,-0.0004663,-0.04736,0.28015,-0.31089,-0.0037765,-6.402e-05,-0.0018796,-1.3057,-0.10282,-0.0055966,-0.0019334,-0.00045139,-0.00096201,-0.09867,0.34037,-0.42049,-0.0044806,-0.00012011,-0.0021565,-1.7094,-0.13812,-0.00011656,-9.223372036854776e+18,-0.00016281,0.00014486,9.223372036854776e+18,0.012241,-0.01364,-0.0011428,-0.0005645,-0.24389,-0.0087965,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.00080572,9.223372036854776e+18,0.0025549,-0.0014647,-0.0010171,-0.00010282,-0.00052102,-0.0029375,-0.0013433,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.00041529,0.00033283,9.223372036854776e+18,0.01677,-0.020172,-0.00069019,-0.00035148,-0.21718,-0.0081165,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.00066151,0.00041775,9.223372036854776e+18,0.037459,-0.022352,-0.0018008,-0.00085354,-0.34785,-0.015543,-9.223372036854776e+18,-9.223372036854776e+18,9.223372036854776e+18,9.223372036854776e+18
JU1172,-7.6377e-05,-0.00020299,-6.9247e-05,-0.00010335,-0.019954,0.5286,-0.61187,-0.0071615,-0.00013277,-0.0034017,-1.8049,-0.24903,-1.5183e-05,-0.0028412,-0.00097557,-0.0014084,0.00024188,-0.48721,0.028422,-0.027816,-0.0053249,-0.00051409,-0.0026684,-0.10105,-0.013658,-0.00046881,0.0013638,-0.00044632,-0.00024363,-0.00022332,-0.082252,0.85133,-0.60959,-0.0077108,-0.00022649,-0.0038727,-3.12,-0.26881,-2.6266e-05,-0.0012883,-0.00045463,-0.000642,-0.2155,0.91158,-0.7138,-0.011036,-0.00031796,-0.0054744,-2.8493,-0.31843,-0.00023609,-0.0095171,1.7588e-05,5.4082e-05,0.084606,0.058209,-0.0034235,-0.001928,-0.00062547,-0.3413,-0.0092184,-9.223372036854776e+18,9.223372036854776e+18,-0.0062702,-0.000117,0.025289,0.0047011,-0.0056471,-0.0014071,-0.00018755,-0.00070507,-0.013647,-0.0032882,-9.223372036854776e+18,9.223372036854776e+18,-0.0092883,-0.00010693,1.6224e-05,0.091793,0.031961,-0.022954,-0.00092386,-0.00046453,-0.47422,-0.0081486,-9.223372036854776e+18,9.223372036854776e+18,-0.011708,-0.0001951,4.8721e-05,0.090859,0.024129,-0.05299,-0.0010523,-0.00051524,-0.45796,-0.012913,0,-9.223372036854776e+18,9.223372036854776e+18,0
JU1200,-0.0001159,-0.00036613,-9.4141e-05,-0.00018293,-0.020477,0.31247,-0.28941,-0.0041124,-0.00012321,-0.0020691,-1.239,-0.10532,-8.2527e-06,-0.0014643,-0.0009117,-0.00073652,0.0019117,-0.22513,0.01671,-0.012512,-0.00293,-0.0004073,-0.0014456,-0.065454,-0.0088091,-6.4497e-05,0.018329,-0.00040161,-0.00022758,-0.00020087,-0.069372,0.29175,-0.39183,-0.0055155,-0.00021757,-0.00271,-1.9845,-0.10601,-0.00035812,-0.0010005,-0.00046328,-0.0005004,-0.14816,0.56259,-0.40612,-0.0090509,-0.00050142,-0.0044309,-1.7186,-0.18515,1.3038e-05,-9.223372036854776e+18,-0.00016552,0.00010698,9.223372036854776e+18,0.032605,-0.0083851,-0.0011349,-0.00050249,-0.2332,-0.0074531,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.00057288,9.223372036854776e+18,0.0047857,-0.0038365,-0.0011297,-0.00011456,-0.00057043,-0.0094627,-0.002529,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.00027613,0.00030476,9.223372036854776e+18,0.019979,-0.015987,-0.0012948,-0.00062978,-0.35304,-0.0064098,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.00041618,0.00041804,9.223372036854776e+18,0.024627,-0.046909,-0.0017203,-0.00086422,-0.41335,-0.013523,0,-9.223372036854776e+18,9.223372036854776e+18,0
JU1212,-6.0817e-05,-0.0001774,-5.8774e-05,-8.8197e-05,-0.022833,0.49581,-0.45405,-0.0073285,-0.00018621,-0.0035879,-1.3782,-0.16635,-2.3843e-05,-0.0011575,-0.00058914,-0.00057741,0.0015842,-0.30845,0.039107,-0.027175,-0.0061479,-0.0005627,-0.002983,-0.14262,-0.019436,-0.0003516,-0.0013833,-0.00060912,-0.00015631,-0.00030484,-0.042095,0.57515,-0.45349,-0.0084629,-0.00026291,-0.0042098,-1.8431,-0.16136,-2.8889e-32,-0.00073613,-0.0003329,-0.00037304,-0.15453,0.75051,-0.56523,-0.012832,-0.00063884,-0.0060336,-2.1704,-0.22024,-0.00010965,-9.223372036854776e+18,-0.00017445,0.00020747,9.223372036854776e+18,0.025302,-0.015611,-0.00081031,-0.00061233,-0.34128,-0.0085473,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.00021587,9.223372036854776e+18,0.0047654,-0.0059749,-0.00084826,-0.00011407,-0.00043985,-0.018404,-0.0034974,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.0001974,0.000317,9.223372036854776e+18,0.016832,-0.01519,-0.00073424,-0.00042739,-0.33057,-0.0091529,-9.223372036854776e+18,9.223372036854776e+18,-1165.7326,-0.00030568,0.00019471,1449.5394,0.041873,-0.023603,-0.0011903,-0.00054045,-0.41735,-0.015491,0,-9.223372036854776e+18,9.223372036854776e+18,0
JU1213,-5.4656e-05,-0.00045767,-0.00011958,-0.00022874,-0.042011,0.62129,-0.75447,-0.0049763,-0.00014348,-0.0025377,-2.3012,-0.27008,-3.3088e-05,-0.0035844,-0.0011939,-0.0017925,0.0017608,-0.58455,0.02877,-0.02175,-0.0058359,-0.00059984,-0.0028381,-0.10344,-0.012344,-0.00046245,0.036051,-0.001051,-0.00027044,-0.00052558,-0.10741,0.87463,-0.95213,-0.0067687,-0.00027106,-0.0034045,-2.6881,-0.32569,-0.0016173,-0.0017242,-0.00052968,-0.0008616,-0.21196,0.76647,-0.81982,-0.0099244,-0.00034165,-0.0049376,-2.2729,-0.28594,-0.00013537,-9.223372036854776e+18,-0.00018968,0.00020957,9.223372036854776e+18,0.071496,-0.02728,-0.00071429,-0.00029028,-0.42024,-0.01376,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.0009791,9.223372036854776e+18,0.0048827,-0.007156,-0.0016698,-0.0001953,-0.00080734,-0.016031,-0.0040344,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.00034096,0.00040765,9.223372036854776e+18,0.059561,-0.024733,-0.0010051,-0.00044999,-0.51519,-0.011602,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.00059967,0.0005926,9.223372036854776e+18,0.031698,-0.037288,-0.0018992,-0.0009472,-0.44062,-0.012282,0,-9.223372036854776e+18,9.223372036854776e+18,0
JU1242,-2.2056e-05,-0.00053219,-0.00012068,-0.00026604,-0.032435,0.60945,-0.56699,-0.0064133,-0.00012177,-0.003172,-2.2088,-0.21738,-2.9026e-05,-0.0025482,-0.0010999,-0.0012744,0.0021038,-0.54622,0.023659,-0.018567,-0.0038553,-0.00057337,-0.001954,-0.066495,-0.011416,-0.00023803,0.066434,-0.0010663,-0.00032374,-0.00053182,-0.10455,0.68521,-0.64775,-0.0080809,-0.00027964,-0.0040583,-2.332,-0.23599,-0.0030918,-0.0020579,-0.00061794,-0.0010299,-0.15867,0.95177,-0.62669,-0.0097786,-0.00045525,-0.0047713,-2.5768,-0.27439,-0.00012273,-9.223372036854776e+18,-0.00022078,0.00016948,9.223372036854776e+18,0.040457,-0.038934,-0.0012044,-0.00058399,-0.35293,-0.014338,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.00082235,9.223372036854776e+18,0.0054074,-0.0048469,-0.0014326,-0.00016134,-0.00073098,-0.014021,-0.0035,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.00043729,0.0003335,9.223372036854776e+18,0.011983,-0.046449,-0.0015435,-0.00070962,-0.38661,-0.013208,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.00059343,0.00033027,9.223372036854776e+18,0.057458,-0.03313,-0.0013135,-0.00063331,-0.60624,-0.017259,0,-9.223372036854776e+18,9.223372036854776e+18,0
JU1246,-6.2373e-05,-0.00060055,-0.00011638,-0.00030025,-0.039519,1.5719,-1.3012,-0.0063071,-0.00011592,-0.002773,-3.1292,-0.59897,-2.1233e-05,-0.0040701,-0.0012984,-0.0020154,0.0013989,-0.61148,0.021865,-0.053784,-0.0066314,-0.00060856,-0.0032192,-0.13341,-0.015477,-0.00028801,0.0085497,-0.0011929,-0.00028072,-0.0005949,-0.10668,1.4415,-1.5943,-0.0066498,-0.00022876,-0.003329,-4.1108,-0.56505,0,-0.0019596,-0.00051612,-0.00098156,-0.22519,0.95753,-1.1217,-0.0094365,-0.00054515,-0.0046666,-2.5266,-0.57102,-0.00011954,-9.223372036854776e+18,-0.00027907,0.00016642,9.223372036854776e+18,0.045777,-0.058512,-0.0004912,-0.0002511,-0.62485,-0.013422,0,0,-9.223372036854776e+18,-0.0013586,9.223372036854776e+18,0.0083358,-0.0051407,-0.0018294,-0.00020857,-0.00091166,-0.015789,-0.0036334,0,0,-9.223372036854776e+18,-0.00057149,0.00039569,9.223372036854776e+18,0.058149,-0.037735,-0.00063376,-0.00027281,-0.62857,-0.013834,0,0,-9.223372036854776e+18,-0.00095395,0.00041657,9.223372036854776e+18,0.015517,-0.071111,-0.0010338,-0.00046995,-0.56559,-0.01093,0,0,0,0
