strain,blob_box_length_IQR_medianDiff_all,blob_box_length_w_paused_90th_medianDiff_all,blob_box_length_w_paused_IQR_medianDiff_all,d_blob_box_length_10th_medianDiff_all,d_blob_box_length_90th_medianDiff_all,d_length_w_backward_10th_medianDiff_all,d_length_w_backward_50th_medianDiff_all,d_length_w_backward_IQR_medianDiff_all,length_norm_10th_medianDiff_all,length_norm_90th_medianDiff_all,length_norm_IQR_medianDiff_all
NIC166,14.2455,307.3124,54.5868,-16.7757,16.3048,8.5348,1.1291,-6.6056,0.015289,-0.0071151,-0.012501
NIC195,11.8326,246.1011,223.1804,-14.7779,17.6671,-2.3419,1.3204,1.4481,0.0043,-0.0011169,-0.0039419
NIC199,10.2794,246.2325,154.7224,-11.2174,12.2878,8.681,1.1102,-4.4499,0.011975,-0.0033576,-0.0086076
NIC2,17.8414,202.5961,125.595,-16.5365,13.9061,4.8907,1.283,-2.5741,0.0092444,-0.0029426,-0.0069029
NIC207,20.1295,372.1295,92.4053,-18.3196,17.1224,5.294,0.85205,-3.3709,0.009042,-0.0042183,-0.0076483
NIC231,22.4062,385.5198,172.6904,-8.4808,8.19,1.8941,2.4909,0.41247,0.0055401,-0.004154,-0.0068237
NIC236,26.756,432.0803,89.1246,-12.454,12.577,7.5691,0.77647,-5.0279,0.0085862,-0.0052357,-0.0068988
NIC242,-2.5507,250.2527,78.6294,-12.0482,14.3279,6.8729,1.2925,-5.1633,0.0084307,-0.0059257,-0.0096117
NIC251,43.7082,245.8195,140.6245,3.7718,-2.3656,-0.81393,2.9506,1.3763,0.0046765,-0.00073683,-0.0035963
NIC252,45.2877,378.4649,170.1774,-12.2123,12.9059,2.9015,1.2938,-1.4981,0.0067748,-0.00045913,-0.0038744
NIC255,57.8538,151.0315,113.5873,-3.6549,7.0429,1.9479,2.4752,-1.9305,0.005032,-0.0016432,-0.0050976
NIC256,14.7429,188.7567,27.3772,-7.3802,9.3361,3.5735,1.1838,-2.9079,0.0085924,-0.0040617,-0.0080353
NIC258,-0.83313,212.6312,15.6118,-1.4622,1.8013,1.1971,0.68869,-1.6022,0.0028946,-0.0014706,-0.0027313
NIC259,27.6208,-41.1169,-92.0879,-7.9938,8.6496,2.4984,0.72875,-3.9101,0.0021188,-0.00082755,-0.0023973
NIC260,26.7974,641.3528,245.6173,-25.9916,25.3143,-2.5795,1.0835,0.72234,0.012814,-0.00762,-0.011303
NIC261,-6.8459,-46.1122,-116.9793,-6.4747,6.5922,13.7656,1.939,-10.0655,0.0076913,-0.0029147,-0.0069785
NIC262,20.3281,22.582,110.5091,2.9096,-1.2091,10.5808,0.1719,-6.5482,0.0055035,-0.0045322,-0.0052449
NIC265,48.2878,189.3492,155.0378,-7.0033,7.066,13.5279,0.90809,-10.9711,0.0094438,-0.0059353,-0.010209
NIC266,25.6425,328.0477,238.7761,-13.2853,15.7274,14.2395,1.8586,-9.9501,0.012308,-0.0054376,-0.010769
NIC267,21.8766,184.7058,179.6671,-2.009,3.1461,7.6364,2.1311,-6.5774,0.0020942,0.00026786,-0.0027332
NIC268,36.6706,347.5651,229.5764,-16.3653,16.362,1.8345,1.2044,-0.74531,0.0014904,-0.00014973,-0.001403
NIC269,37.9273,524.8394,252.3383,-12.3879,13.1841,0.68895,0.77302,-2.0691,0.004887,-0.0014439,-0.003445
NIC271,46.1543,366.4998,153.1435,-12.2052,11.9299,22.8068,2.5656,-13.8075,0.016312,-0.010236,-0.016318
NIC272,45.0164,353.0408,225.7163,0.45789,0.33991,11.3939,1.4031,-7.085,0.0071798,-0.0027064,-0.006366
NIC274,48.6242,423.4173,153.8224,-23.3347,19.3003,4.878,0.98578,-3.7381,0.0093139,-0.003305,-0.0078844
NIC275,12.721,367.8635,75.4324,-11.8925,11.9314,5.4213,0.59956,-2.2132,0.010897,-0.0054007,-0.0098335
NIC276,35.842,186.7578,112.2957,-14.1625,17.268,8.7413,1.7235,-8.0832,0.010899,-0.0062938,-0.011551
NIC277,-1.2771,123.0607,83.6112,-13.9804,15.1239,9.5354,2.2452,-7.1648,0.011653,-0.0048386,-0.0098161
NIC3,33.0045,203.1235,41.4467,-7.1819,9.3727,5.6911,0.89182,-3.5833,0.011868,-0.0026683,-0.0097986
NIC513,43.2343,136.5339,-9.3935,-6.0414,6.9457,7.092,0.58814,-4.9601,0.011754,-0.004244,-0.0064225
NIC514,-0.99003,144.4795,51.2852,-12.1893,11.7244,7.6928,0.55947,-4.6995,0.0044802,-0.0013667,-0.0035062
NIC522,20.5456,292.8326,113.4245,-7.0142,8.8038,13.0873,1.0586,-7.8114,0.013253,-0.006584,-0.0096206
NIC523,24.0202,273.4338,108.2033,-5.8828,7.781,4.6673,0.77837,-3.2926,0.0098051,-0.0041796,-0.0077482
PB303,20.7562,389.5269,186.4168,-17.5885,18.5461,0.40694,1.1872,0.060387,0.0092665,-0.0036629,-0.0075408
PS2025,25.4604,294.1178,152.5009,-11.542,10.2802,14.3633,1.1883,-8.799,0.0076347,-0.003065,-0.0050576
PX179,20.2109,227.6387,195.5028,-11.6315,9.6771,9.0924,1.4017,-5.4802,0.0095029,-0.0039376,-0.0085923
QG2075,48.8387,72.2466,76.6677,2.879,-3.7888,8.0663,0.86411,-4.5041,0.008972,-0.0044755,-0.0077306
QG536,23.8457,113.8169,76.9207,-1.535,5.3094,8.8303,1.7984,-5.3252,0.0071824,-0.0024581,-0.0044737
QG556,12.7523,320.2216,176.4105,-6.3424,4.823,5.776,1.043,-5.0766,0.0047124,-0.0024146,-0.0047444
QG557,23.0987,277.2142,154.1388,-12.389,15.1173,3.3744,0.60844,-2.7948,0.0024932,-0.00096375,-0.0024973
QW947,47.9845,508.7806,267.278,-14.0044,12.8835,5.0418,1.1344,-4.447,0.008704,-0.0032812,-0.0090749
QX1212,48.7463,407.753,153.0068,-14.5392,14.2593,-0.049099,0.6178,-1.3901,0.0090656,-0.0079566,-0.010204
QX1233,25.1041,412.0456,-9.634,-8.9332,11.9915,1.2031,1.0225,-0.096001,0.0046371,-0.00088239,-0.0036223
QX1791,37.899,-43.6902,-2.6723,-6.6853,8.2656,5.3362,1.1465,-3.7513,0.0095519,-0.0046152,-0.008709
QX1792,47.8975,307.4996,146.1238,-7.686,9.6451,1.2572,0.90917,-0.55998,0.0062942,-0.0037729,-0.0069588
QX1793,33.4879,107.0809,138.4104,-12.125,12.8169,14.8316,2.4284,-12.08,0.0090174,-0.0046949,-0.0077006
QX1794,48.9337,286.9487,106.2757,-12.9403,13.6199,10.7211,0.9489,-4.6803,0.0097242,-0.0049992,-0.007524
RC301,34.0643,202.9203,97.3105,-9.8557,9.6627,3.0696,1.7373,-3.1365,0.0031354,-0.0027897,-0.0034544
WN2001,9.7265,365.9084,-9.2709,-3.7427,4.8957,5.3863,0.40713,-4.4059,0.0046093,-0.0012486,-0.0028152
WN2002,26.5939,392.5811,117.1982,-17.1613,16.1969,6.721,1.5087,-4.2188,0.016024,-0.0075504,-0.013096
WN2033,38.3661,233.339,154.0308,-5.8619,7.0516,-0.13922,0.134,0.10526,0.0007838,-0.00010085,-0.00093752
