strain	median
AB1	486.3881
BRC20067	208.2603
CB4852	321.3491
CB4854	60.557
CB4856	205.1447
CB4932	130.7328
CX11254	415.5101
CX11262	51.0853
CX11264	302.7971
CX11271	27.3887
CX11276	293.9808
CX11285	345.4201
CX11292	179.642
CX11307	346.3144
CX11314	185.1478
CX11315	456.3479
DL200	482.3436
DL226	274.8882
DL238	308.2761
ECA246	353.0458
ECA248	507.607
ECA250	247.1298
ECA251	141.7877
ECA252	403.3489
ECA259	310.3483
ECA348	437.5621
ECA349	429.4749
ECA36	181.8094
ECA363	73.3829
ECA372	512.123
ECA396	108.2198
ED3005	219.8252
ED3011	557.4526
ED3012	447.1702
ED3017	241.6177
ED3040	97.7791
ED3046	304.6546
ED3048	256.6851
ED3049	308.3422
ED3052	159.1559
ED3073	475.2352
ED3077	648.7573
EG4347	416.6256
EG4349	383.8884
EG4724	171.0856
EG4725	242.544
EG4946	255.5103
GXW1	403.2285
JT11398	218.8362
JU1088	194.1014
JU1172	359.5565
JU1200	290.8351
JU1212	38.135
JU1213	271.0557
JU1242	167.5791
JU1246	534.8427
JU1395	190.7356
JU1400	288.9117
JU1409	54.4447
JU1440	216.0022
JU1491	176.7527
JU1530	369.3994
JU1543	487.9486
JU1568	201.0427
JU1580	168.1981
JU1581	197.0844
JU1586	55.683
JU1652	425.6139
JU1793	234.6468
JU1808	397.0082
JU1896	275.4723
JU2001	69.9841
JU2007	234.7444
JU2131	55.0175
JU2141	262.6678
JU2234	426.11
JU2464	111.6618
JU2466	299.9465
JU2513	186.4335
JU2519	320.3632
JU2522	276.3407
JU2526	117.2676
JU2534	452.0156
JU2565	324.1822
JU2566	356.0273
JU2578	315.0151
JU258	362.2894
JU2587	102.8584
JU2593	278.2177
JU2600	277.7064
JU2800	188.7651
JU2862	213.858
JU2866	478.5108
JU2878	10.6918
JU2879	466.1405
JU2906	433.1902
JU310	208.1783
JU311	523.9871
JU3125	567.1699
JU3127	180.5719
JU3134	269.4843
JU3135	241.5636
JU3137	203.6122
JU3140	358.7513
JU323	243.52
JU346	187.8431
JU360	245.3
JU367	188.9003
JU393	234.4947
JU394	52.5168
JU397	264.0499
JU406	353.7199
JU440	420.1918
JU561	241.4761
JU642	349.2305
JU751	182.8811
JU774	495.0578
JU775	266.4398
JU778	91.8491
JU782	527.0186
JU792	473.3105
JU830	481.5985
JU847	351.7719
KR314	381.2007
LKC34	237.3121
LSJ1	437.6852
MY1	135.6145
MY10	237.817
MY16	399.0328
MY18	-139.3534
MY2212	-38.0385
MY23	357.3746
MY2453	470.2911
MY2530	155.928
MY2535	199.7257
MY2573	378.0146
MY2693	274.601
MY2741	276.9409
MY679	279.299
MY920	311.1988
N2	372.7405
NIC1	270.3677
NIC1107	368.8731
NIC166	307.3124
NIC195	246.1011
NIC199	246.2325
NIC2	202.5961
NIC207	372.1295
NIC231	385.5198
NIC236	432.0803
NIC242	250.2527
NIC251	245.8195
NIC252	378.4649
NIC255	151.0315
NIC256	188.7567
NIC258	212.6312
NIC259	-41.1169
NIC260	641.3528
NIC261	-46.1122
NIC262	22.582
NIC265	189.3492
NIC266	328.0477
NIC267	184.7058
NIC268	347.5651
NIC269	524.8394
NIC271	366.4998
NIC272	353.0408
NIC274	423.4173
NIC275	367.8635
NIC276	186.7578
NIC277	123.0607
NIC3	203.1235
NIC513	136.5339
NIC514	144.4795
NIC522	292.8326
NIC523	273.4338
PB303	389.5269
PS2025	294.1178
PX179	227.6387
QG2075	72.2466
QG536	113.8169
QG556	320.2216
QG557	277.2142
QW947	508.7806
QX1212	407.753
QX1233	412.0456
QX1791	-43.6902
QX1792	307.4996
QX1793	107.0809
QX1794	286.9487
RC301	202.9203
WN2001	365.9084
WN2002	392.5811
WN2033	233.339
XZ1513	578.4558
XZ1514	281.0398
XZ1516	421.7357
