strain,d_dist_from_food_edge_IQR_medianDiff_all,d_dist_from_food_edge_norm_IQR_medianDiff_all,d_dist_from_food_edge_w_backward_10th_medianDiff_all,d_dist_from_food_edge_w_forward_IQR_medianDiff_all,dist_from_food_edge_IQR_medianDiff_all,dist_from_food_edge_norm_IQR_medianDiff_all,dist_from_food_edge_w_backward_90th_medianDiff_all,dist_from_food_edge_w_backward_IQR_medianDiff_all,dist_from_food_edge_w_forward_50th_medianDiff_all,dist_from_food_edge_w_forward_IQR_medianDiff_all,food_region_edge_duration_50th_medianDiff_all,food_region_edge_frequency_medianDiff_all,food_region_inside_duration_50th_medianDiff_all,food_region_inside_frequency_medianDiff_all,food_region_outside_duration_50th_medianDiff_all,orientation_food_edge_in_edge_10th_medianDiff_all,orientation_food_edge_in_edge_IQR_medianDiff_all,orientation_food_edge_w_backward_90th_medianDiff_all,orientation_food_edge_w_backward_IQR_medianDiff_all,orientation_food_edge_w_forward_10th_medianDiff_all,orientation_food_edge_w_forward_90th_medianDiff_all,orientation_food_edge_w_forward_IQR_medianDiff_all,orientation_food_edge_w_paused_10th_medianDiff_all
JU2519,14.9566,0.023164,-18.5713,20.8744,404.1447,0.39011,981.6417,367.8674,324.5255,264.2015,-23.74,0.016823,-54.88,0.0049326,-30.36,-12.9397,7.9718,8.2042,22.1986,-7.7268,7.3277,16.7305,2.7705
JU2522,12.4902,0.01791,-19.0768,14.8656,-348.9349,-0.36377,-897.3014,-145.2092,-609.2739,-300.4019,-8.64,0.01058,-28.48,0.0019172,-7.22,-12.5007,18.9881,6.3704,15.9905,-4.6165,-0.28065,9.7558,-0.48679
JU2526,2.8942,-0.0066611,-59.4604,13.8418,369.3003,0.44982,1822.1214,890.9008,499.1163,488.0826,-6.44,0.014994,-38.72,0.0088602,-11.22,-10.9847,18.8907,32.8612,14.1357,-4.4086,2.2915,11.9435,-56.8007
JU2534,22.4832,0.026321,-15.7867,13.6711,798.467,0.93528,979.4963,697.1167,248.9594,770.754,-6.6,0.017152,-45.3,0.010086,-10.02,-8.8799,17.3301,2.1396,16.5246,-5.9581,0.39433,7.9043,-17.4638
JU2565,1.6848,0.002088,-3.6647,-4.7199,665.5842,0.36424,484.6162,606.569,185.6533,191.9006,-3.7,0.0076578,-38.84,0.0037311,-14.78,-10.3886,12.5042,1.7297,11.1673,-5.7308,1.8063,8.5487,-36.9253
JU2566,28.1153,0.035388,-22.8589,26.6709,172.2751,-0.15573,-320.0322,317.8567,322.883,205.4343,-13.48,0.014102,-48.2,0.0079428,-6.96,-15.2881,31.2387,13.4679,30.6467,-1.3699,3.2188,16.2368,-23.7168
JU2578,30.8565,0.048798,-0.57395,40.8579,937.9796,1.1446,1400.3828,471.2099,235.5606,1030.3634,-3.92,0.0045231,-28.12,0.0024166,-21.12,-14.7014,13.3085,-0.17068,6.8997,-5.921,6.9361,20.4893,-34.6161
JU258,12.2063,0.0075008,-33.6614,13.8808,357.0648,0.040945,378.2361,1033.4975,394.0808,129.1901,-11.52,0.020588,-39.7,0.013956,-7.19,-14.8299,19.1669,5.8631,18.7853,-3.1716,-0.39993,6.3526,-10.1477
JU2587,39.2471,0.045044,-23.9806,47.521,1586.5913,1.8292,1748.9979,880.2764,651.935,1529.484,-10.58,0.007973,-43.2,0.0069482,-3.24,-38.0486,17.9766,10.763,38.9398,-22.9703,12.3984,38.6396,-25.0455
JU2593,64.653,0.059069,-42.5353,67.5347,1171.2753,0.98637,2128.9205,165.0004,430.3202,1060.4885,-8.18,0.017191,-49.08,0.010373,-12.74,-21.8118,37.3835,6.8971,31.7774,-2.1025,5.6038,17.6902,-31.995
JU2600,7.8602,0.012752,-6.3282,1.7741,398.2496,0.7554,1230.2405,326.0737,348.9168,441.6805,-7.38,0.01881,-32.22,0.0081052,-7.48,-14.5078,21.2405,-4.9023,6.2089,-1.3395,0.18254,0.44351,-11.5435
JU2800,33.3116,0.027045,-32.7258,38.357,155.7798,0.1314,1.9854,587.2497,245.4686,281.6003,-8,0.018266,-21.28,0.0031632,-10.3,-15.0814,19.6131,5.1546,5.6613,-9.6118,3.7746,18.3252,-2.2555
JU2862,-0.86557,0.016911,-3.9654,6.3122,446.5524,0.63912,756.4832,243.6998,157.4194,580.4436,-7.14,0.021903,-30.76,0.0036926,-13.8,-2.1335,9.5079,8.4447,4.2742,-1.9477,-0.75533,4.4915,30.8939
JU2866,39.6987,0.031665,-53.5421,26.1447,598.7247,0.64734,2240.1779,899.1235,26.1125,218.8472,-6.64,0.018824,-58.06,0.0089031,-18.16,-12.5224,4.364,-0.98036,17.5895,-2.5798,0.52387,5.4925,-3.7253
JU2878,3.7029,0.016524,-30.0292,8.3068,344.2289,0.63823,567.3937,449.3555,151.897,468.7379,-11.88,0.018918,-46.55,0.0056129,-6.34,-7.9435,18.58,22.9433,16.3239,-7.7815,5.6051,13.844,-40.1983
JU2879,2.9953,-0.00077198,-32.2985,-4.3477,-420.7117,-0.6464,2261.5085,-512.0479,550.2168,-325.1853,-7.92,0.024278,-47.54,0.012941,-18.14,-9.6769,17.3057,20.7609,-5.1884,-3.42,-2.058,-2.2366,22.1283
JU2906,-10.6937,-9.2268e-05,-17.9466,-1.7582,-461.3308,-0.5031,1199.8983,427.1339,244.9184,-223.5244,-5.08,0.013495,-53.36,0.0046022,-14,6.362,-11.56,-8.295,-12.1802,1.7877,0.74297,-0.87115,-33.723
JU310,27.9429,0.030163,-15.337,31.1279,751.283,0.9724,108.2092,643.1705,49.7683,880.4761,-5.74,0.0052488,-35.44,0.0014721,-10.54,-12.7366,11.781,0.14645,12.7219,-8.9578,4.46,13.7805,-38.5609
JU311,51.4902,0.055904,-33.85,29.5084,-18.6901,-0.041582,403.3328,1239.4361,448.783,156.3938,-36.52,0.019735,-48.77,0.0159,-9.17,-13.717,15.5106,11.8394,14.1634,-0.76057,0.93952,8.1661,-10.5052
JU3125,29.3574,0.024997,-11.0697,21.4204,-413.5715,-0.77595,1379.7206,438.7421,403.0677,-676.937,-7.84,0.021241,-47.54,0.0058778,-12.04,-17.6306,-8.786,-16.1179,-6.8802,-6.6638,-4.3106,0.3025,-69.2942
JU3127,55.6783,0.068325,-16.4908,48.816,1005.8495,0.9144,1458.0555,1430.688,564.4695,783.5865,-13.8,0.012068,-32.68,0.011166,-5.84,-22.2192,17.859,-0.31994,16.6053,-10.4918,3.3224,20.3747,-22.1325
JU3134,40.0236,0.051537,-30.7096,37.9158,911.23,1.1719,2375.3619,1031.1401,394.3535,876.5569,-11.72,0.011974,-41.68,0.0048274,-11.5,-18.2202,27.0063,8.2948,39.5362,-11.5082,7.4474,26.8538,29.9772
JU3135,-2.0146,-0.0033237,-13.0146,2.5008,-58.3931,-0.09725,213.3022,148.9913,24.3428,62.7454,-9.94,0.017082,-35.4,0.0030824,-6.6,-8.5725,19.6744,10.1215,15.1212,-1.5285,0.58357,9.183,55.7833
JU3137,-2.097,-0.0003392,8.3901,1.8735,211.5203,0.18725,1843.1459,350.8818,631.0879,163.8689,-6.2,0.010721,-57.64,0.0078628,-11.32,-8.6978,17.5125,0.088264,6.4902,0.011009,0.89857,4.9557,-52.7953
JU3140,21.7143,0.016522,-17.5539,6.8364,475.2529,0.24645,1281.1268,484.4403,86.4911,214.5886,-3.82,0.011217,-38.88,0.0030452,-9.86,-26.5391,13.6321,5.3704,21.5574,-2.547,-0.86092,0.35319,-31.7655
JU323,48.702,0.058173,-41.5758,46.9563,76.6669,0.087767,-144.9036,379.7457,344.2717,137.0217,-11.44,0.024964,-28.36,0.0090627,-14.6,-11.7528,27.3204,22.0984,32.9175,-9.1761,8.0708,28.4054,10.9524
JU346,33.5991,0.049374,-22.5309,42.7685,1129.1828,1.2958,1380.3597,524.8234,685.981,991.4663,-8,0.014056,-49.04,0.0087806,-27.4,-26.052,23.7915,21.619,31.4505,-14.345,17.7851,35.5356,-31.446
JU360,37.3094,0.033132,-74.7772,35.1588,510.2433,0.31694,1843.6176,1122.9837,447.1022,508.5771,-7,0.016116,-35.96,0.011944,-3.64,-13.9287,25.0463,35.8501,16.6955,-6.8386,2.9505,19.5669,-34.8089
JU367,23.095,0.022352,-50.0065,29.2514,1202.2295,1.3952,1722.583,742.5828,672.8849,1133.9622,-3.8,0.014221,-33.52,0.0072867,-27.86,-21.3145,26.2399,32.0738,43.6366,-8.3659,12.0945,28.0294,-42.5155
JU393,16.0853,0.020679,-20.6708,22.4887,675.4811,0.95457,1451.5876,592.6904,309.1386,687.3129,-30.28,0.010927,-40.92,0.0046682,-15.78,-8.7699,23.6571,16.0736,22.8282,-3.3694,9.0794,24.6349,-37.0277
JU394,34.1218,0.038777,-5.1953,38.3044,1445.9361,1.46,1532.3293,1088.3318,674.7665,1336.0109,-2.98,0.013813,-48.6,0.0072833,-5,-17.1119,16.9203,5.1653,27.8337,-11.5256,2.8401,28.2278,-2.4928
JU397,1.873,-0.0051902,-17.8312,1.227,-345.1572,-0.34836,1662.4448,-707.7675,-29.733,62.4297,-12,0.010559,-48.68,0.016966,-15.42,-11.345,3.5107,0.6406,5.2657,-2.0258,-2.5605,11.7735,-52.6567
JU406,36.6975,0.055824,-11.9041,41.8687,1253.0001,1.583,1485.871,777.4527,741.4823,1350.0508,-9.78,0.017811,-38.42,0.010301,-10.54,-12.9831,19.0927,-1.3681,22.4559,-5.5221,-2.2694,19.8934,-31.5533
JU440,22.2148,0.024434,-40.6867,22.3211,75.3245,0.25967,1281.6411,1324.9647,-69.366,116.9663,-14.94,0.011258,-28.84,0.011698,-6.78,-2.7488,18.671,22.1636,15.6641,-0.68679,4.4293,9.9364,-52.2992
JU561,22.8876,0.037487,-35.3765,25.3011,868.678,0.82593,2064.0112,1340.3649,258.1313,832.8091,-9.36,0.012056,-44.52,0.010741,-12.28,-28.0422,17.7297,-5.6092,14.9877,-10.3744,5.5151,19.9871,-41.8284
JU642,22.1265,0.028676,-15.7096,27.8253,423.1206,0.65811,1243.4943,938.2964,394.6559,510.4952,-12.52,0.015168,-40.28,0.011228,-20.74,-13.748,23.0705,-4.1741,16.5682,-5.3295,3.4982,15.7346,-42.1958
JU751,27.9387,0.036442,-36.6557,42.5977,996.4474,1.1745,1747.5156,-518.3594,212.0779,-42.2195,-5.28,0.013664,-34.6,0.0072831,-25.14,-22.5963,-4.6294,6.3139,12.4305,-3.7676,-0.22752,4.6654,-41.948
JU774,19.0303,0.027725,-24.7383,25.8032,402.2867,0.7027,384.1094,1322.2647,596.6899,329.2683,-13.32,0.018337,-39.52,0.024413,-8.06,-20.6569,22.2005,1.0256,18.9195,-7.31,4.0478,18.5804,-52.3577
JU775,40.1777,0.051429,-32.7341,34.5204,1111.34,1.215,2285.4907,1087.4708,814.2908,1009.1222,-9.08,0.018812,-44.14,0.0096413,-10.46,-24.9963,24.7246,12.5121,40.2613,-11.8936,4.2725,24.6181,-41.0032
JU778,15.2861,0.0097155,-6.3871,6.6197,517.3019,0.53272,2225.6183,1323.9515,448.9258,412.8042,-17.6,0.017545,-46.78,0.0078732,-15.57,-11.6584,16.1016,2.3769,21.6116,-5.1685,2.1815,12.9719,-44.7428
JU782,33.9348,0.021599,-24.1834,32.408,1136.7812,1.2423,2405.6268,780.9508,683.8804,1011.3502,-7.44,0.0181,-42.52,0.0069035,-15.28,-13.5927,29.5588,30.4942,34.0101,-7.8901,9.4522,22.7641,9.1132
JU792,18.1138,0.015107,-32.2959,18.9315,982.5919,1.1209,2377.574,1421.9065,776.0545,863.1047,-17.4,0.015715,-44.52,0.010348,-0.84,-19.83,16.3128,8.4634,28.9802,-8.4273,-0.98146,17.8957,-46.5711
JU830,12.3895,0.017924,-0.83181,24.2575,981.8279,0.85199,1330.9961,1320.8075,708.8027,994.2216,-7.6,0.0091674,-25.24,0.012612,-25.6,-8.7379,16.8788,7.4092,28.1992,-6.1408,1.0741,19.7533,-58.5241
JU847,7.3881,0.0087444,-6.3204,15.6721,62.0839,-0.047119,-1295.8391,-486.6602,400.0791,142.636,-12.76,0.015746,-51.64,0.0082077,-6.96,-12.9366,18.1591,9.1411,16.1736,-1.8507,2.819,8.8614,-40.2193
KR314,26.4401,0.029727,-20.1174,29.3446,441.929,0.45487,659.2936,697.8947,524.9848,336.4224,-4.44,0.012949,-46.18,0.0037566,-20.64,-12.924,21.6312,2.9567,22.9548,-8.315,7.3549,29.6013,-24.697
LKC34,33.3739,0.028511,-22.0742,34.1073,1029.6726,1.3077,2264.943,997.0014,659.9363,1010.4014,-7,0.015078,-37.44,0.0089317,-14.36,-16.2475,21.093,18.2772,20.7808,-12.5624,9.7266,25.3598,-33.7825
LSJ1,11.633,0.024961,-14.404,15.8763,-101.0137,-0.41432,1935.3085,648.6718,542.5918,-241.1047,-10.64,0.011358,-47.24,0.011003,-16.16,-17.4668,18.3286,12.4565,18.2282,-3.8593,2.4809,16.8335,-22.7108
MY1,54.5987,0.063772,-27.2173,63.1088,752.8604,0.8454,1612.9336,444.2067,463.5193,588.7114,-17.92,0.020533,-31.9,0.0061469,-14.56,-36.5147,27.3934,16.8379,45.2663,-17.3338,7.8305,39.6342,-25.4
MY10,28.078,0.038785,-20.9347,29.5748,1083.3713,1.32,1907.2476,816.691,88.5867,1059.7286,-5.32,0.0079201,-65.28,0.0014345,-9.42,-0.69139,20.9537,13.6921,33.6716,-9.1793,3.6102,22.3353,-19.076
MY16,33.4923,0.033918,-21.8775,28.6942,659.4962,0.56007,1584.6943,931.0474,571.1011,534.1555,-10.56,0.020855,-35.88,0.010615,-9.12,-7.6786,19.4275,6.6849,8.6412,-4.2232,5.5869,17.7842,-17.9216
MY18,13.3655,0.002173,8.6797,17.2773,-13.0432,-0.34573,-225.7838,-97.1943,-80.8619,200.1741,-12.24,0.013473,-26.44,0.00057482,-9.8,3.2097,0.10359,11.7377,-0.94431,5.1137,-2.7728,-8.5025,-2.3527
MY2212,58.822,0.068284,-32.3826,60.0452,851.5347,1.044,2356.6157,1039.2239,418.7361,918.9224,-3.74,0.0082354,-38.82,0.0096936,-9.2,-17.0995,38.1831,38.1165,50.7378,-9.2755,7.281,31.7437,-60.1351
MY23,31.4896,0.035343,-64.0066,32.5016,252.9958,0.34051,1764.6864,831.2508,322.6464,223.3635,-13.6,0.023707,-30.92,0.019521,-7.76,-10.1742,17.7702,29.3268,11.8172,-5.1922,3.517,14.7986,-23.2045
MY2453,35.0675,0.043862,-28.7765,28.2348,1078.9041,1.0904,2371.8284,1411.5171,628.7332,838.9084,-4.92,0.014629,-44.24,0.010466,-21.18,-17.5508,20.6254,7.1242,23.1324,-4.5574,-0.31361,12.5733,-52.8407
MY2530,7.0531,0.016124,-10.7598,7.9775,690.7832,0.80761,1285.4451,750.6212,421.7884,648.1904,-9.88,0.0092887,-38.8,0.004946,-10.24,-6.5337,22.3457,0.19566,32.2182,-5.6658,5.5798,18.3884,25.9974
MY2535,38.9355,0.050881,-22.5431,38.3769,1026.6273,1.284,2440.1824,833.2072,506.1243,1011.8807,-5.52,0.017473,-48.56,0.0094025,-9.7,-21.0427,20.2214,5.962,15.752,-11.3968,5.332,17.2618,-54.571
MY2573,41.8533,0.051031,-43.4902,37.6303,1112.8723,1.3135,1914.8964,1269.6882,494.5249,809.421,-6.86,0.0086112,-40.64,0.004266,-15.74,-18.2006,16.2273,9.941,34.4824,-3.4355,1.7446,16.4819,-31.8914
MY2693,10.6227,0.011223,-13.7128,13.5752,804.7349,0.97192,1518.0673,427.172,376.0029,831.354,-5,0.012175,-34.28,0.0061689,-12.44,-1.9935,19.1005,6.6927,15.18,-7.4775,2.7903,10.3804,-70.3425
MY2741,38.8093,0.049816,-47.4771,33.7443,756.8987,0.81517,2297.777,1253.3279,570.4353,560.1892,-4.9,0.0084377,-27.08,0.0083253,-7.32,-8.0306,23.8163,6.5678,14.5994,-4.3192,7.6086,15.6371,-52.4847
MY679,37.2644,0.0286,-23.9886,35.8429,533.1417,0.64702,1136.5597,1189.7035,-167.3742,431.6299,-10.08,0.010521,-46.88,0.0056508,-16.1,-7.7074,32.1233,10.1597,17.0681,-3.7305,4.5865,19.0905,-9.0859
MY920,58.7121,0.060136,-22.5493,51.5646,1466.7533,1.8991,1505.7474,1048.4135,407.8725,1469.5583,-4.72,0.010358,-47.6,0.0057756,-17.04,-23.666,27.6787,2.6451,32.5588,-12.6811,5.2791,19.7183,-36.5929
N2,2.9378,0.0031225,-4.5742,2.3232,828.3448,0.91824,1086.0883,770.8505,613.0677,398.0305,-6.56,0.019404,-63.46,0.01038,-22.96,-12.4722,14.2905,2.2015,11.6693,-3.6366,1.7662,8.7334,-11.9426
NIC1,-1.3399,-0.00067418,-19.7813,6.0296,310.2769,0.35635,1053.1636,1130.5685,267.3558,58.0371,-9.8,0.012731,-25.6,0.0061102,-10.44,-20.7822,17.9107,3.5488,20.8506,-2.5767,3.449,15.1421,-3.9435
NIC1107,1.4069,-0.0062111,5.4494,-1.4168,472.9578,0.26156,754.1541,732.1515,40.9673,347.6902,-3.06,0.0069805,-43.72,0.0029148,-13.56,-18.8819,11.1758,-3.4923,13.8917,-3.2718,1.8913,5.3628,-54.0316
NIC166,43.9616,0.043199,-37.1975,44.3602,358.5535,0.53698,507.3774,846.6893,501.9053,379.5847,-19.3,0.021174,-33.6,0.010812,-11.68,-11.0102,23.7498,15.4981,24.5329,-6.092,9.7788,21.8444,-21.9304
NIC195,2.0787,0.0018158,-30.2125,0.98112,373.2961,0.42713,1118.2324,968.6145,973.4523,360.3398,-8.88,0.029542,-58.62,0.024755,-23.22,-6.9912,9.5186,-8.077,14.1985,-2.3705,-4.0605,-2.8147,-12.5978
NIC199,34.2352,0.053472,-31.7726,39.8824,353.2042,0.63332,322.1013,568.5699,284.4339,367.073,-10.46,0.022785,-36.2,0.01331,-1.28,-9.08,19.8967,2.4442,19.1525,-0.97025,2.711,10.6885,5.5987
NIC2,34.417,0.030257,-20.0218,33.1717,845.7345,0.93929,1339.0874,783.3212,527.4377,844.8505,-11.04,0.025949,-36,0.013972,4.6,-6.2219,19.4019,7.426,23.1366,-2.2278,1.8484,10.891,-51.3456
NIC207,26.3261,0.030268,-31.7759,31.4654,501.5635,0.52542,756.1946,1104.5034,716.0095,531.0122,-8.44,0.016387,-43.24,0.0085445,-29.66,-8.9505,17.9449,8.7099,19.0023,-2.409,1.0346,12.1687,-2.722
NIC231,40.8576,0.043877,-28.7872,37.4953,1055.7076,1.275,605.3623,430.4015,18.326,1028.0441,-10.68,0.012715,-36.22,0.0023776,-11.46,-16.6234,11.6487,-9.6442,25.8844,-4.0698,1.4343,13.5504,-32.2062
NIC236,22.8355,0.022732,-28.6241,25.4268,547.3777,0.72342,1531.6022,1122.0191,619.2042,427.0294,-20,0.025992,-46.32,0.013778,-7.16,-10.0328,19.9643,13.7057,20.7663,-2.4564,2.3763,10.355,-18.1173
NIC242,47.3152,0.052239,-24.1075,45.249,102.6063,0.083296,367.8445,490.9184,411.4962,191.5876,-10.74,0.021266,-37.84,0.010428,-9.46,-10.5846,18.9726,3.0623,19.0964,-7.934,5.7932,21.8359,-30.7489
NIC251,-20.045,-0.019371,6.3847,-11.5184,-15.5658,-0.13317,-232.8523,212.6398,87.7068,-45.1095,-6.34,0.014341,-25.4,0.0013134,0.34,0.47334,0.24911,1.0375,0.0854,-3.2208,1.4535,4.655,-18.6513
NIC252,9.9632,0.010856,-4.705,3.9402,373.6799,0.48576,290.7253,608.9539,300.6078,329.7441,-8.25,0.024017,-26.51,0.012655,-10.36,-2.0076,8.8747,3.7193,6.5558,-2.4149,2.1045,7.9787,-31.184
NIC255,0.44019,-2.1577e-05,-17.7757,14.6913,500.9946,0.3306,982.9164,962.2747,566.3019,553.6783,-11.44,0.0077724,-31.16,0.0044954,-1.28,-16.8794,16.2305,4.6297,17.6247,-6.4324,2.2303,16.9418,-9.2696
NIC256,1.9639,0.0025143,-15.8011,8.0667,465.5788,0.47126,415.4888,1070.122,172.8872,298.8501,-6.88,0.015998,-31.18,0.0091163,-17.75,-8.9881,21.927,13.5807,21.6487,-6.066,5.5556,20.1519,-10.8171
NIC258,-6.4953,-0.0080597,-6.8556,-4.258,518.1355,0.6015,1248.8281,735.5137,216.1697,-219.1167,-24.76,0.010828,-65.42,0.0042051,-1.1,-1.3012,3.7779,13.985,13.5458,-0.83363,4.2854,12.6873,-14.378
NIC259,-5.7481,0.0025867,-26.2915,-1.3121,359.2814,0.28144,897.4817,1008.5252,393.9305,378.4038,-12.72,0.016685,-34.24,0.0067982,-18.34,-3.0739,21.5403,26.8303,15.5452,-2.0302,2.0553,11.1177,9.6225
NIC260,45.8687,0.043556,-38.6799,34.3099,245.0883,-0.22671,-338.3365,381.9601,298.8158,316.0856,-14.48,0.026924,-42.08,0.00898,-12.4,-7.7151,13.1477,13.7909,10.9096,-4.3697,2.4586,9.6558,-23.3226
NIC261,30.2893,0.051009,-38.0565,38.3754,815.1594,1.01,1588.1511,1327.4526,770.6338,761.1343,-3.2,0.012758,-48.12,0.012652,-36.92,-21.3868,26.4356,22.8457,30.7752,-10.1316,9.0313,32.2086,-29.9893
NIC262,0.068542,-0.0088001,1.8963,-1.64,-533.1267,-0.61727,1976.979,-309.927,245.2958,-469.2379,-4.2,0.0031693,-49.56,0.005575,-10.66,-16.8951,7.5786,3.6347,-2.0704,-2.5185,2.4965,0.55919,-43.6641
NIC265,23.7099,0.028969,-28.4121,33.8468,894.27,1.1101,1878.201,1112.5889,712.3614,980.2031,-7.76,0.0105,-40.28,0.0048641,1.92,-24.4373,31.0583,17.7088,54.3151,-10.4008,5.9477,29.7012,-58.3676
NIC266,48.1968,0.061187,-48.3068,31.7028,597.6962,0.63065,1850.3555,726.3818,367.0905,487.7183,-10.8,0.019708,-39.74,0.010318,-15.56,-14.5627,33.0418,23.4965,47.7132,-6.3784,3.9462,25.9816,-38.7904
NIC267,11.798,0.0341,-30.6902,24.4201,1147.6439,1.1902,1215.6326,489.1978,205.6175,644.1391,-8.11,0.022242,-40.84,0.0054914,-11.14,-2.5288,16.1028,14.8672,20.9912,-5.0537,7.7433,19.6879,5.141
NIC268,-10.8346,-0.014191,-15.0467,-4.6527,-38.6893,0.077274,-611.7476,345.5256,-80.4734,14.5056,-7.88,0.0289,-26.88,0.009379,-13.12,-3.0756,6.6671,7.5907,9.2851,-1.7809,0.11274,4.4178,-55.1807
NIC269,-3.2183,-0.021019,13.2486,-6.3254,-68.7748,-0.22548,1268.3394,315.5551,181.0829,-46.3091,-9.88,0.015958,-58.42,0.0097138,-11.08,-0.63058,4.4381,-1.9529,-2.0167,1.7605,-1.1953,0.52671,12.1979
NIC271,37.0195,0.043264,-40.835,37.8409,1385.7112,1.5453,2559.4895,1158.7778,778.4774,1094.2621,-11,0.019934,-48.18,0.012545,-16.86,-24.6466,28.7744,24.7838,39.2558,-7.7587,6.5458,38.6617,-50.0088
NIC272,22.9303,0.031815,-26.3589,31.3595,1104.7917,1.0929,1774.8212,712.0969,273.679,1021.3359,-4.48,0.011082,-39.54,0.0031275,-0.58,-4.258,23.2265,12.4433,20.9779,-7.528,11.3526,24.9805,2.5543
NIC274,57.0392,0.068545,-49.9789,40.543,641.5406,0.73888,-367.1428,138.4878,216.0613,312.6644,-16.66,0.023196,-49.66,0.0092289,-18.6,-14.9811,26.6431,6.3779,17.7697,-6.9985,8.753,16.1245,-22.5697
NIC275,45.5593,0.065203,-35.6863,45.7137,840.9562,0.5725,1268.6314,958.3748,494.5564,744.8989,-8.64,0.011265,-37.82,0.0108,-12.41,-12.953,23.8013,4.5586,24.7751,-8.4548,5.0443,23.2228,-9.8499
NIC276,40.8392,0.045445,-62.7631,30.7167,559.7528,0.74801,1649.2195,811.6532,249.3548,388.2499,-7.08,0.019232,-33.3,0.0071189,-14.48,-11.4489,19.4295,11.7524,21.4956,-6.3674,6.3698,22.6565,-33.5188
NIC277,27.4491,0.034931,-45.6917,12.7672,471.8781,0.56876,1959.6985,1177.2218,368.7451,191.2693,-11.69,0.022794,-28.19,0.015605,0.29,-9.2183,21.0133,25.681,20.3124,-2.0658,7.4074,14.1415,-20.4521
NIC3,1.3954,0.0032584,-2.7527,8.0795,1058.8855,0.98488,1869.9988,1173.1188,270.9579,834.5093,-9,0.02088,-52.3,0.0055284,-10.26,-18.1544,24.3433,-1.5683,19.3366,-4.4477,1.172,11.3333,-43.7909
NIC513,22.0938,0.032582,-20.8946,23.014,348.7322,0.55498,1651.6302,307.7923,236.4821,207.1251,-29.26,0.015233,-37.4,0.004772,-7.2,-20.4606,18.5333,25.4829,17.3481,-6.8928,9.7168,19.0631,-34.436
NIC514,25.375,0.027563,-11.1347,25.1129,211.6042,0.12278,83.6816,240.7437,206.4108,220.4851,-4,0.015895,-37.04,0.0091674,-7.1,-7.5923,19.7541,8.285,15.4001,-3.4755,5.313,13.3681,-21.4704
NIC522,36.381,0.040262,-32.0816,36.6618,1182.9393,1.2903,2259.1786,1498.2191,764.8596,920.817,-10.38,0.018341,-41.5,0.012153,-15.57,-18.9319,29.2102,9.4256,34.4148,-9.852,7.2513,29.624,-35.8183
NIC523,29.9246,0.039384,-8.9205,26.5403,178.3416,0.30112,442.0085,859.8391,612.5479,104.8564,-5.96,0.013785,-29.88,0.015452,-6.8,-18.0981,24.4726,-0.096199,27.2784,-4.2551,0.10309,17.659,-1.7084
PB303,39.4021,0.039238,-44.3461,32.2146,305.483,0.33166,848.3943,-358.5038,343.7154,291.1416,-15.18,0.020118,-33.06,0.0075527,-23.96,-10.1502,11.7753,-1.3087,7.722,-5.4126,1.1882,11.5817,1.9362
PS2025,17.8649,0.021685,-24.238,12.0922,77.9025,0.065826,1658.4105,675.0517,9.5067,-270.7205,-4.48,0.00985,-68.5,0.0028285,-8.42,-15.2116,17.7206,4.0945,33.5415,-11.2101,7.1267,17.3401,-18.8923
PX179,30.7234,0.040814,-8.9917,24.984,858.2375,1.2506,-847.9214,1387.0399,150.7769,608.9229,-6,0.0084234,-52.12,0.0045456,-12.56,-16.6292,25.1474,5.4243,25.3394,-6.5233,4.9631,16.5191,-28.1733
QG2075,18.413,0.032523,-31.4971,21.9499,1240.9224,1.9099,2919.9026,1819.3618,730.2392,950.4965,-10.36,0.0044734,-39.91,0.0078776,-6.9,-16.0457,16.7206,26.8103,18.1585,-9.2107,5.8088,22.6839,-56.0628
QG536,1.4791,-0.004607,-23.5808,1.7328,410.8124,0.40702,1214.1045,1071.0286,460.5531,401.7577,-23.48,0.01807,-43.84,0.0093339,-11.84,-8.8292,15.4659,8.0847,11.9555,-4.8971,5.118,10.1228,-3.1271
QG556,25.8564,0.038648,-2.3028,29.6185,778.6062,1.0848,1083.2747,970.1229,224.937,696.5388,-7.28,0.012805,-45.34,0.0057574,-20.1,-13.1515,28.5089,1.7379,15.8959,-5.4896,0.31891,20.7626,-50.7592
QG557,17.5375,0.019998,-13.6128,20.9066,-77.0909,-0.18949,188.8405,167.8601,-16.1227,-39.9529,-10.48,0.014764,-56.58,0.0093059,-5.7,-6.4181,20.3502,3.1046,9.099,-0.88255,2.5599,4.115,-26.4029
QW947,20.722,0.026067,-11.3945,23.1293,209.5645,0.22215,-215.9409,-15.1163,241.6138,196.2106,-12.28,0.017008,-50.8,0.013342,-12.06,-9.8695,15.2342,9.1977,13.2158,-5.6102,3.2957,15.9145,-7.0672
QX1212,41.2055,0.054643,-28.6729,35.6882,1298.0027,1.5901,2082.789,875.3632,594.0724,1085.0181,-7.48,0.012814,-48.64,0.0056284,-15,-20.5033,16.0559,7.4795,27.6445,-7.1597,2.199,21.1157,-30.7549
QX1233,22.8245,0.036359,-17.5219,17.9706,280.4248,0.4144,1361.4309,678.6854,148.7077,338.2513,-13.96,0.012586,-42.76,0.006278,-17.44,-10.0257,18.4204,4.0146,24.0411,-6.628,3.0783,12.1603,-40.4253
